[37.37s -> 39.17s]  Hello, everyone. Hello.
[16240.24s -> 16241.20s]  um
[16241.20s -> 16245.68s]  And then the actual game portion of it can probably live pretty indefinitely through the digital version. So
[16246.97s -> 16248.81s]  Yeah, that's the idea
[16248.81s -> 16251.69s]  But we don't know we don't know how it's going to work out. We're
[16253.72s -> 16257.16s]  We're operating on it being a limited run piece of merch
[16258.03s -> 16262.35s]  That is going to exist until it doesn't and we have we have plenty of inventory
[16262.75s -> 16286.20s]  Let's see how it goes. I need to upgrade. I need a third spell
[16286.76s -> 16288.76s]  And I think it's going to be
[16288.76s -> 16290.76s]  All right. I need to slow people down
[16290.92s -> 16298.52s]  What about should it be flame shield?
[16298.52s -> 16300.81s]  That seems kind of good
[16300.81s -> 16308.25s]  I'm doing it
[16308.25s -> 16313.13s]  So you're immune when it's active. So if there's a bunch of enemies I can just press it and just go boom boom boom
[16313.93s -> 16321.47s]  Now these are the players I think
[16321.47s -> 16323.47s]  Oh it is these are other players
[16330.17s -> 16332.17s]  I need to go to the
[16332.17s -> 16341.71s]  Blacksmith what else is in here?
[16346.39s -> 16351.71s]  3,500 I wonder if it's always salvage
[16354.68s -> 16356.68s]  Let's have a look at you. Hmm
[16359.02s -> 16361.02s]  Buckets need reinforcing
[16361.50s -> 16363.93s]  This leather's cracked
[16363.93s -> 16366.25s]  What have you been getting yourself into? Huh?
[16367.72s -> 16371.16s]  Look you live or die by the quality of your equipment
[16371.88s -> 16373.88s]  If you have the coin and materials
[16374.28s -> 16376.28s]  I can improve it for you
[16376.36s -> 16381.23s]  Okay, so need something for
[16383.39s -> 16386.27s]  All right. Don't do this yet. Let me see
[16386.27s -> 16387.63s]  All right, give her to that
[16387.63s -> 16391.53s]  Get rid of that. That's good salvage
[16399.58s -> 16403.71s]  Hmm. Yeah, I just don't want to accidentally give her something I can use
[16407.71s -> 16409.87s]  You can take what's left like that. Okay
[16410.43s -> 16420.20s]  Let me get out of this menu
[16420.20s -> 16426.20s]  But this is more if I have 1.5 percent of 60 damage is like point like two or something. Who cares?
[16438.27s -> 16442.11s]  All right
[16442.99s -> 16451.69s]  Can't salvage that one, huh?
[16451.69s -> 16459.05s]  upgrade
[16459.05s -> 16461.05s]  What? Okay. Hold on a second
[16461.37s -> 16473.47s]  This is probably a bad idea
[16473.47s -> 16477.15s]  What about nancy drew? I oh my god nancy drew is just sitting in the cold
[16477.95s -> 16484.08s]  I don't think i'm gonna do this. You replace so much stuff in the early levels at what's the point
[16486.06s -> 16492.73s]  Is there a stash?
[16492.73s -> 16516.67s]  Where is it? There it is. I wonder how the stash works. Is it account found? Is it account stuff or is
[16517.23s -> 16524.11s]  Is it between characters? Is it just individual? Is there a a shared tab? How does it work?
[16524.75s -> 16527.08s]  What about sorcery?
[16527.08s -> 16528.60s]  Yeah, I know
[16528.60s -> 16532.12s]  I got to finish breath of the wild before sorcery though. I feel like that's more
[16533.40s -> 16535.40s]  Necessary because the new one's coming out soon
[16547.88s -> 16549.56s]  So you can buy
[16549.56s -> 16551.56s]  more tabs i'm assuming
[16551.72s -> 16560.78s]  Do I give these two?
[16560.78s -> 16570.03s]  Ravenous dead
[16570.03s -> 16572.11s]  Oh, it's part of the quest. I have to upgrade one thing
[16575.44s -> 16578.17s]  All right. I'll go i'll do it healing potion upgrade
[16583.14s -> 16598.75s]  Interesting. I'll do this first. Wait, hold on. You're not gonna play tears of the kingdom for years
[16611.21s -> 16613.21s]  excellent work friend
[16613.45s -> 16616.81s]  Ghoul hearts seem to have captivated the clergy as of late
[16617.61s -> 16619.61s]  It's no surprise really
[16620.07s -> 16623.53s]  Understanding your enemy is the first step to defeating them
[16624.17s -> 16626.17s]  What would you do if your soul was trapped in a cube?
[16626.97s -> 16630.65s]  Uh, I would wait patiently until some random dumb adventurer let me out
[16631.69s -> 16637.10s]  It might take a few thousand years might take a few million, but it would probably happen eventually
[16637.82s -> 16649.70s]  I could be patient
[16649.70s -> 16656.74s]  My husband feodor left our home in the middle of the night. I heard him talking to someone another woman
[16658.63s -> 16663.59s]  I went to confront them, but they fled towards a strange light in the forest
[16664.15s -> 16666.15s]  They have been gone all night
[16666.55s -> 16670.47s]  I think it's time. I went after him, but the forest is dangerous
[16671.03s -> 16673.03s]  Would you accompany me?
[16673.11s -> 16675.11s]  Hmm escort quest
[16678.01s -> 16679.37s]  Sure, let's go
[16679.37s -> 16686.44s]  Let me try my new move
[16686.44s -> 16695.40s]  That's fine. How does the new move work the radius?
[16707.13s -> 16708.82s]  Jesus
[16708.82s -> 16713.24s]  Uh, that's the case down here. I'll help the lady. Why not?
[16725.18s -> 16727.34s]  I wonder is magic find in the game
[16728.06s -> 16734.97s]  Because that was always fun in um
[16735.77s -> 16738.26s]  Diablo 2
[16753.14s -> 16755.26s]  All right, that was pretty good
[16755.26s -> 16757.82s]  That's pretty good. You group them all up and then just do the big fireball
[16759.02s -> 16771.46s]  Remember, would you go back to cuphead for money?
[16772.73s -> 16786.65s]  No, just out of curiosity though. How much money i'm just curious
[16787.29s -> 16811.62s]  What do you mean by that?
[16811.62s -> 16813.62s]  No, I got everything I wanted at a cuphead
[16815.43s -> 16818.23s]  It was a very very fun experience. The game was great
[16819.13s -> 16827.64s]  But i'm done with it games like that. I probably go back to every so often usually like a year or two will
[16828.84s -> 16831.74s]  Cuphead's one of those gamer cooldowns
[16834.55s -> 16836.55s]  You know what I mean? You got like a gamer cooldown
[16837.19s -> 16841.51s]  Where you play it and a year goes by and it's like, all right, i'm ready to do it again
[16841.91s -> 16847.30s]  that happens to me with dark souls it happens to me with
[16847.86s -> 16850.95s]  pretty much any
[16850.95s -> 16852.47s]  Game that requires
[16852.47s -> 16860.50s]  very intense focus
[16860.50s -> 16869.72s]  You get the gamer cooldown
[16873.24s -> 16877.08s]  I said, oh come off it. What do you mean? What's that? That was very
[16877.88s -> 16880.25s]  Oh, come on
[16880.78s -> 16883.21s]  Come off it
[16883.21s -> 16884.84s]  Is he drunk?
[16884.84s -> 16887.06s]  No, what?
[16887.06s -> 16890.90s]  Why was that such a weird that was a weird take to some people what was it?
[16897.05s -> 16901.08s]  It's kind of like a movie or some really really
[16901.96s -> 16932.57s]  There's a lot of movies that I you know, movie cooldown same thing. Do I have to stand still for that?
[16933.21s -> 16946.87s]  Wait, will neff wants to play bill wants to play
[16948.20s -> 16951.88s]  Oh, hold on. I think wait is that what I I got a notification over here. Hold on a second
[16955.38s -> 16958.52s]  Oh, no, the dru the dru crew is about to be very disappointed
[16960.76s -> 16967.16s]  Oh
[16967.24s -> 16969.72s]  But that's not hold on that's not accurate
[16970.83s -> 16973.71s]  It's very possible that I get booted and have a 20 minute queue
[16976.57s -> 16979.93s]  How about this dru crew? Let's let's do some bargaining here
[16980.81s -> 16982.25s]  dru crew
[16982.25s -> 16984.28s]  I've come to bargain
[16984.28s -> 16986.28s]  I want to play
[16987.39s -> 16989.39s]  nancy dru and the ice wolf
[16992.64s -> 16993.96s]  on
[16993.96s -> 16996.27s]  Thursday of next week
[16997.66s -> 17004.67s]  You understand me? Oh, no, that's resident evil 4. Um
[17007.69s -> 17018.57s]  Fuck you think you guys might be in a little bit of trouble here. How about this dru crew?
[17019.13s -> 17022.17s]  I'll tell you
[17022.17s -> 17027.21s]  If I don't play nancy dru and the ice wolf, whatever that game was that we were playing earlier
[17028.78s -> 17036.12s]  By the end of march 31st, I will delete my twitch channel. Okay, there you go
[17037.23s -> 17041.79s]  If I do not play dru crew in the icicle wolf, whatever that game that we played earlier, I will um
[17044.27s -> 17045.95s]  That's a bad thing to say
[17045.95s -> 17047.15s]  Okay, yes
[17047.15s -> 17051.80s]  I'll just play it before the okay wipe that bet wipe that deal
[17052.28s -> 17054.60s]  I will just play it before the 31st
[17055.16s -> 17057.24s]  Of march of this year. There you go
[17068.03s -> 17070.03s]  Dru crew accepts
[17077.29s -> 17079.29s]  Uh, what was I supposed to do?
[17079.37s -> 17081.37s]  Oh find her husband
[17081.77s -> 17088.64s]  It might be worth checking out the multiplayer say at work
[17089.28s -> 17093.68s]  Although i'm gonna have to add a few people though
[17094.32s -> 17102.43s]  Did I level up again?
[17102.43s -> 17112.14s]  Oh, I like that more damage more duration
[17113.50s -> 17123.74s]  What do you guys think? I think it's a pretty good escape wills in a party right now
[17124.84s -> 17126.84s]  Uh, well, whatever figure it
[17127.00s -> 17132.81s]  We'll figure it out. I think I want more damage
[17133.37s -> 17137.44s]  Because this move actually and you don't have to stand still that's okay. Just just checking to make sure
[17138.16s -> 17142.49s]  All right. Where is your husband?
[17142.49s -> 17144.41s]  Are you really gonna go all fire?
[17144.41s -> 17146.41s]  I'm gonna go mostly fire
[17158.70s -> 17164.86s]  Fire sorceress is one thing I never really did in diablo 2 so i'm going to fix that and do it in diablo 4
[17165.42s -> 17169.37s]  Are you gonna explain to the that group that you only have three skills?
[17170.17s -> 17171.53s]  I'm not gonna
[17171.53s -> 17174.59s]  I'm not gonna say that
[17174.59s -> 17176.75s]  But who cares if I only have three skills. They're very powerful
[17177.39s -> 17181.07s]  It doesn't matter. You know, hey here's the nature of diablo
[17184.33s -> 17187.05s]  This I make my build you make your build if you want
[17187.37s -> 17191.29s]  You want a whole hot bar of moves and you don't just want three fire abilities in that then you do it
[17191.85s -> 17196.28s]  Good luck
[17196.28s -> 17199.48s]  Good luck. Oh my god
[17201.04s -> 17203.04s]  My sweet fedor
[17204.09s -> 17206.41s]  May you know bliss fedor
[17207.37s -> 17209.37s]  What has happened
[17210.01s -> 17212.01s]  Well, don't let don't let her run
[17212.17s -> 17215.18s]  What did a little run?
[17215.34s -> 17218.32s]  Such sights I have witnessed
[17219.28s -> 17221.37s]  such pleasure
[17221.37s -> 17223.47s]  such pain
[17223.47s -> 17225.80s]  I must have
[17225.80s -> 17228.17s]  more
[17230.73s -> 17238.11s]  How is it that you more please go after that woman who did this to him
[17240.96s -> 17242.96s]  More more more
[17243.52s -> 17250.17s]  I'm gonna leave you two to sort this up
[17250.49s -> 17258.08s]  And i'm gonna go this way
[17258.08s -> 17261.36s]  It's no surprise fedor was drawn to me
[17262.64s -> 17266.64s]  But I have given only what was desired
[17270.08s -> 17275.78s]  His petty soul has been torn asunder by agony and ecstasy
[17276.64s -> 17279.14s]  But his flesh is unyielding
[17281.12s -> 17283.12s]  He will not interfere
[17285.29s -> 17315.76s]  Uh, i'm gonna go back over there. Uh, I don't I don't really want to know what's over there
[17332.70s -> 17338.22s]  You you deserve much worse than the mercy I have just shown you
[17338.94s -> 17350.03s]  That woman was demon. I have dealt with her if it's a reward you want
[17350.67s -> 17352.67s]  Take the dagger from his chest
[17353.47s -> 17355.47s]  And leave me be
[17367.44s -> 17373.32s]  Oh shit
[17387.08s -> 17388.68s]  Help him
[17388.68s -> 17389.96s]  Help him
[17389.96s -> 17420.27s]  10 more damage to injured enemies 10 11 is a basic skill damage. I don't think it's better than this
[17423.37s -> 17428.41s]  Neither this staff is actually really good. I get a plus damage increase to anything
[17428.89s -> 17442.24s]  Doesn't matter how close or how far away. I think i'll hold on to that. Yeah, I think that sounds good
[17448.84s -> 17450.84s]  That was an interesting quest
[17451.56s -> 17454.38s]  Any advice on how to stop slouching?
[17454.38s -> 17461.05s]  Um, not really but i'll tell you a little tip every I would say in between
[17461.45s -> 17464.97s]  Okay, let's say you're playing let's say playing apex legends, right?
[17465.77s -> 17466.73s]  drop
[17466.73s -> 17468.73s]  Got 100 people that you have to fight
[17468.73s -> 17472.09s]  You get that guy you get that one you get that person boom. You're in the top 10
[17472.65s -> 17474.09s]  you got
[17474.09s -> 17476.09s]  Set nine people running around
[17476.17s -> 17480.73s]  Ah, you got sniped from the window, but you nice nice fucking work. Nice job. You did it
[17481.79s -> 17484.09s]  After every round just sit up
[17484.73s -> 17486.73s]  Sit up after every run
[17487.50s -> 17491.74s]  Just make it clear that every time that you are gonna get and that was a who cares
[17492.54s -> 17505.85s]  Okay, all right going this way just make a conscious effort
[17506.73s -> 17508.41s]  every so often
[17508.41s -> 17510.97s]  Every 20 30 minutes or so or like 40 minutes
[17512.00s -> 17514.08s]  Correct it. That's what I do. You see it happen all the time
[17515.20s -> 17517.84s]  How many times you see me just kind of move and go wait a minute. Hold on
[17518.97s -> 17520.97s]  Re-adjust and stay that way
[17529.15s -> 17532.67s]  Who cares? No, I didn't mean that. I just mean like who cares about that story. I was telling
[17533.31s -> 17541.69s]  All right. The fireball is kind of destructive
[17542.33s -> 17547.18s]  A lot of people didn't believe in that
[17547.26s -> 17549.26s]  I'm a dental assistant
[17551.02s -> 17553.98s]  Um, so yeah, does everything just after you do the teeth?
[17554.94s -> 17561.90s]  Um work then just kind of sit up for a little bit stretch a little bit you get nice target ass shirt
[17563.20s -> 17565.20s]  Don't know where I got this shirt
[17565.44s -> 17567.44s]  All you can do is speculate
[17581.40s -> 17583.45s]  Ooh
[17583.45s -> 17585.80s]  Ring
[17585.80s -> 17598.92s]  Do anything with this?
[17599.00s -> 17606.54s]  So it's close range this far away range. Is there a medium range?
[17610.48s -> 17612.48s]  Got that shirt kids are us
[17612.48s -> 17614.16s]  Rafflecopter
[17614.16s -> 17621.45s]  Behold the truths that lie within
[17621.69s -> 17626.64s]  Try to do anything with this stuff. There's something strange going on here
[17627.77s -> 17634.43s]  They around must be nearby
[17634.43s -> 17636.43s]  Who the fuck just said rafflecopter?
[17636.75s -> 17644.38s]  Come on, dude
[17644.38s -> 17647.45s]  All right search
[17647.69s -> 17651.34s]  Am I the right level for this place? Yeah
[17654.96s -> 17657.04s]  Oh somebody wanted to see this i'll show it to you
[17658.08s -> 17665.10s]  You're still here
[17665.10s -> 17667.10s]  Is there a place to see the?
[17670.36s -> 17673.00s]  Um the difficulties or is it a different menu?
[17673.72s -> 17685.50s]  We've had the mcdonald's shamrock shake
[17686.30s -> 17687.26s]  uh
[17687.26s -> 17689.26s]  Yeah, i've had a sip or two of it
[17689.26s -> 17693.18s]  one of those items where you can only have one sip or two sips before you just like
[17694.06s -> 17696.06s]  Just never want to drink it ever again
[17696.06s -> 17698.06s]  But those three or four sips
[17698.86s -> 17710.08s]  Are delicious the first sip of a shamrock shake is
[17710.96s -> 17713.39s]  This is the greatest thing i've ever had in my life
[17713.55s -> 17715.79s]  There's nothing nothing will ever compare to how good this tastes
[17716.75s -> 17718.43s]  sip two
[17718.43s -> 17720.43s]  Is kind of mostly just sugar flavor
[17721.85s -> 17724.81s]  Sip three is this is the best thing i've ever had in my whole life again
[17725.85s -> 17729.45s]  And then sip five hurts and makes me kind of want to like put it down
[17742.86s -> 17745.53s]  mist for
[17745.53s -> 17759.23s]  Exactly
[17759.23s -> 17761.23s]  Sip four is between you and god
[17761.23s -> 17763.23s]  That's right
[17769.08s -> 17771.52s]  We don't talk about sip four
[17771.52s -> 17799.42s]  We don't discuss sip four
[17799.42s -> 17801.42s]  I do appreciate that that thought
[17801.96s -> 17803.96s]  Shows you if it's going to kill them
[17811.00s -> 17818.40s]  If you're not out of shake by sip four you're doing it wrong
[17821.93s -> 17840.76s]  That depends
[17840.76s -> 17842.36s]  Sips or gulps
[17842.36s -> 17844.73s]  Well, that's what I was saying to you guys earlier
[17844.73s -> 17846.01s]  drinking water
[17846.01s -> 17850.88s]  Sometimes I can drink a water
[17851.04s -> 17852.40s]  Faster than anything
[17852.40s -> 17855.92s]  All right, where am I going here?
[17865.77s -> 17875.16s]  All right this way what temperature do you like your water at water to me needs to be
[17876.46s -> 17879.10s]  Just above room temperature
[17879.82s -> 17881.42s]  It's not cold
[17881.42s -> 17883.34s]  above room temp
[17883.34s -> 17889.85s]  but maybe something like
[17890.56s -> 17893.76s]  Oh, no, no, no below below below. Sorry. Sorry. Sorry below just below
[17897.45s -> 17900.76s]  Just below room temp
[17900.76s -> 17904.76s]  So let's say room temp is somewhere between what like sixty eight seventy
[17909.56s -> 17915.16s]  I like a like a sixty degree like fifty to sixty degrees created by the horror
[17916.46s -> 17921.48s]  The portal will lead you through this crude nancy
[17926.97s -> 17932.22s]  the ice wolf
[17932.22s -> 17934.80s]  Okay
[17934.80s -> 17942.41s]  chest
[17942.41s -> 17946.65s]  Relax no harm will come to you here. Who is this?
[17955.96s -> 17961.00s]  Who are you n of sorts?
[17962.04s -> 17964.04s]  I saved you in the mountains
[17964.76s -> 17968.36s]  You'd lost your horse and crawled into that cave
[17969.32s -> 17971.72s]  Would have frozen to death if not for me
[17974.46s -> 17976.46s]  Why are you helping me?
[17977.02s -> 17978.86s]  Oh, it's very simple
[17978.86s -> 17982.62s]  You want to stop lilith and I want you to succeed
[17983.42s -> 17986.78s]  But you'll never do that by following the whole rotrim
[17994.58s -> 17998.90s]  Their path always ends in fire and death
[18000.50s -> 18007.03s]  So what is this path exactly seems pretty fiery and seems pretty deadly seen enough
[18008.15s -> 18014.63s]  Open the door. Uh, you don't bring people here
[18015.78s -> 18017.78s]  and say that you know, you gotta
[18018.26s -> 18022.18s]  You've got to clean this place up a little bit before you say it's not fire and death over here
[18022.82s -> 18038.12s]  It's a cool looking place though
[18038.12s -> 18040.12s]  Why are you telling me all this?
[18041.08s -> 18043.06s]  to warn you
[18043.06s -> 18046.34s]  A day will come when the horodrum stumble
[18047.54s -> 18050.82s]  Don't be there when they do it's gonna be diablo
[18052.60s -> 18056.44s]  The portal will lead you to that little girl you're looking for
[18057.56s -> 18068.78s]  I like the world the way it was
[18069.82s -> 18071.82s]  without lilith
[18072.14s -> 18076.38s]  A little game of rebellion will only lead to chaos
[18077.34s -> 18080.86s]  You've already seen visions of the damage she can do
[18083.46s -> 18086.50s]  Yes, I know you were fed her blood
[18087.38s -> 18089.46s]  Do you feel it changing you?
[18090.50s -> 18092.34s]  Perhaps not yet
[18092.34s -> 18095.54s]  But as long as lilith walks in your world
[18096.26s -> 18098.34s]  It is only a matter of time
[18105.67s -> 18107.13s]  Tristram
[18107.45s -> 18114.09s]  The horodrum of old imprisoned diablo the lord of terror beneath the earth
[18115.21s -> 18117.85s]  And then they built this town nearby
[18122.22s -> 18124.46s]  You can see how that turned out
[18134.86s -> 18136.22s]  This worked
[18136.22s -> 18148.87s]  Okay, let's go back in the horodrums illusion
[18149.59s -> 18151.59s]  illusion
[18151.59s -> 18156.07s]  What are you hiding?
[18156.07s -> 18157.35s]  nairo
[18157.35s -> 18159.35s]  There you are. All right, let's go
[18161.83s -> 18165.75s]  I think i've lost my way the same thing happened to my mother and me earlier on
[18167.32s -> 18171.56s]  The trail to the vault ends here. So it should be somewhere around in these woods
[18177.14s -> 18179.94s]  Find the way to the horodric vault
[18188.79s -> 18193.59s]  Someone toying with us. This place is amazing. Oh, I should have held on to that
[18195.35s -> 18205.83s]  We need time to prepare
[18206.71s -> 18211.34s]  Where they go
[18211.34s -> 18214.30s]  All right, punch everybody up punch everybody up punch punch punch punch
[18240.78s -> 18243.10s]  You actually despawned them. Oh
[18245.85s -> 18250.42s]  What the heck?
[18250.42s -> 18255.10s]  How does it feel so far?
[18255.10s -> 18258.18s]  It feels good to play
[18258.18s -> 18261.38s]  I do like
[18261.38s -> 18263.82s]  Okay, i'm gonna give you a take
[18263.82s -> 18268.22s]  one of the things I really like about these kinds of games, especially like d2 and
[18269.02s -> 18272.26s]  um others
[18272.26s -> 18274.34s]  I played grim dawn. I did
[18274.34s -> 18275.30s]  and
[18275.30s -> 18277.30s]  I'm gonna pick my nose on camera
[18278.22s -> 18282.38s]  I really didn't like in d3 and I know this is people are gonna say what's the difference
[18282.86s -> 18285.02s]  It doesn't matter. You can just respec or whatever
[18285.74s -> 18287.74s]  But having access to every single
[18288.36s -> 18289.78s]  ability
[18289.78s -> 18296.49s]  Every single one and you can just kind of if you make a barbarian you are every barbarian if you want to be
[18297.54s -> 18300.98s]  And it's only you diablo 3 really relied on you finding
[18301.54s -> 18303.05s]  a set
[18303.05s -> 18305.93s]  That had some crazy modifier to something
[18307.86s -> 18309.86s]  But I like so far
[18310.34s -> 18313.61s]  That you have to pick stuff
[18313.77s -> 18314.81s]  And it's
[18314.81s -> 18319.69s]  I guess permanent unless you refund it which it looks like I wonder if I do this. It's four gold. It probably
[18320.94s -> 18326.74s]  Will go higher i'm imagining so I don't know if that's the accurate who knows but I like the fact that if you make a
[18327.30s -> 18329.14s]  a sorceress or wizard or
[18329.14s -> 18330.42s]  A barbarian
[18330.42s -> 18334.98s]  It's not not every barbarians the same barbarian because I can just do the moves you're doing if I really feel like it
[18334.98s -> 18341.13s]  I can just swap them out. Um, I like building characters. I like making a wizard for instance
[18342.49s -> 18345.45s]  That I have to make two I have to make three I have to make five
[18346.15s -> 18350.71s]  I have to make 10 to experience some of the all the builds that I would like to experience
[18350.95s -> 18358.33s]  I like it more that way now. You could say well, you're just kind of adding more unnecessary time
[18359.13s -> 18364.54s]  But I like that. I kind of like having permanent decisions that maybe they're not completely permanent
[18364.62s -> 18374.57s]  But they're permanent and i'm talking to my channel. I wanted to be permanent this dude's waffling
[18375.59s -> 18396.01s]  I don't think so. What is right here because I can do it. He's talking to his kids. Is that rare?
[18396.81s -> 18406.70s]  That was like bold letters. I kind of like being able to make
[18407.40s -> 18413.59s]  Mistakes or make characters that are kind of maybe unconventional that are just strange
[18414.82s -> 18419.62s]  That maybe they're not the most powerful but you can still do it and maybe you find items that make it fun to do
[18423.34s -> 18427.10s]  the ruins in d3 were interesting, but it really did feel like
[18427.90s -> 18430.30s]  and this is probably likely to happen here, too, but
[18432.57s -> 18436.57s]  It was there were a few ruins that were just so good. It was unbelievably good
[18437.29s -> 18464.17s]  And why would you pick anything else? Uh, what I have to do pray give thanks. Hello. I appreciate that
[18466.39s -> 18468.39s]  Nice, what is this?
[18469.75s -> 18477.08s]  elixir of what
[18477.08s -> 18481.16s]  Increases lucky hit chance by 30% in an experience gained for 30 minutes
[18481.72s -> 18485.11s]  Oh, I can't even use these
[18485.11s -> 18498.02s]  That's pretty cool. I like unique gear. I like collecting stuff and I like making characters that other people might not have
[18498.98s -> 18502.98s]  Yes
[18502.98s -> 18505.14s]  Diablo 2 shout barbarians come to mind
[18505.78s -> 18511.05s]  Ocean find barbarians come to mind if you got into a game where there was a potion find barbarian
[18512.17s -> 18513.53s]  It was just like
[18513.53s -> 18518.81s]  Ah, you're okay. You're a weirdo and that's okay. That's all right
[18520.09s -> 18522.73s]  It was it was kind of interesting. It's a grandpa take. That's fine
[18527.80s -> 18536.50s]  now obviously diablo 2 was it with things that you should do it with things that were just crazy and
[18537.06s -> 18540.34s]  you'd see a lot of sorceresses running around with frozen orb or
[18541.30s -> 18543.30s]  Like nova was
[18543.36s -> 18545.36s]  unbelievably good for a while
[18545.62s -> 18547.62s]  But you still could do the other stuff and it was still
[18552.78s -> 18557.24s]  You're muted
[18557.24s -> 18559.24s]  What I just said a bunch of stuff
[18562.04s -> 18567.13s]  Who we're going in here?
[18567.13s -> 18569.13s]  Summoner was op
[18569.13s -> 18573.78s]  Like we're gonna boot it now
[18574.58s -> 18577.30s]  Summoning necromancer was so it was just so goofy
[18577.30s -> 18580.58s]  I don't know how you do that now
[18581.54s -> 18585.93s]  Because I think the technology might not be able to handle
[18587.48s -> 18592.92s]  Hundreds if not, you know two or three hundred if you got three or four necromancers in a game
[18593.00s -> 18595.00s]  Maybe it would just break the server. I don't know
[18598.52s -> 18621.05s]  How is he not noticed what are you talking about everyone say one I win is that the only thing in here
[18621.93s -> 18630.06s]  missed experience
[18630.06s -> 18632.38s]  Featured peaks total real never known
[18634.25s -> 18641.08s]  Whoa, what's this?
[18641.08s -> 18647.14s]  Just got 3 000 gold in the skill point. Holy shit
[18650.92s -> 18657.34s]  All right, one skill point is way way way way has been added for all characters on this realm
[18662.47s -> 18680.38s]  I did that want the movement speed. This is good, too. It's all your characters, too
[18680.78s -> 18682.78s]  How are they gonna handle that?
[18682.78s -> 18687.62s]  Does that just cap out at some point?
[18687.62s -> 18698.65s]  I have to imagine that that would get kind of weird after a while only a certain number per region
[18699.05s -> 18708.33s]  It's just the characters you own
[18709.61s -> 18716.62s]  You did that I did that so you don't have to replay everything
[18717.18s -> 18729.85s]  Compound. Oh, okay. Is there a town hub? Looks like there's quite a few of them show the map
[18730.41s -> 18758.23s]  We might be getting booted here. I think so. I think we're getting booted
[18758.79s -> 18797.80s]  I'll give it 30 more seconds. So then i'm gonna restart it 10 seconds 10 seconds messed up
[18800.60s -> 18811.34s]  Uh, I hope I don't lose progress or something. I was wondering why my room was hotter
[18812.41s -> 18822.74s]  It's because I have two games open running at the same time. I was wondering like why is it so hot in here?
[18822.90s -> 18832.42s]  Let's try to get in the queue again
[18841.91s -> 18852.10s]  Nancy drew is definitely not running the gpu hot. Yeah, but it's still operating. We've got a long one here
[18852.34s -> 18855.99s]  In fact, we might not even
[18856.15s -> 18864.39s]  Do this anymore. It's 20 minutes in the queue. We might just be doing drew crew for a little while
[18868.47s -> 18883.26s]  Let's see. Can you see nancy drew the problem with playing two games at the same time is I need to remember what the hell
[18883.26s -> 18889.21s]  We just did an hour and 25 minutes ago. That's the hard part
[18895.99s -> 18921.03s]  Hmm
[18921.03s -> 18932.62s]  I'm just gonna tell uh, tell will and I just got a big pretty big queue. So
[18946.28s -> 18966.73s]  I how do you spell queue? It's such a weird word to spell then i'm gonna i'm gonna do an emote
[18967.05s -> 18974.79s]  What's a good emote to do the sideways crying laughing face?
[18976.66s -> 18978.65s]  Zany
[18978.65s -> 19008.70s]  I was gonna put bugleberry in here. All right, nancy. What are we what are we doing? Where were the those?
[19009.18s -> 19012.78s]  They were playing that game and they were saying hey fix the lake, please
[19013.18s -> 19039.13s]  Where was that wasn't it here? It was here. Maybe they went out to the lake should I go upstairs going to their rooms?
[19042.01s -> 19073.94s]  This shoot is for dirty laundry. Do I have to do the match the colors or something? What was it red?
[19078.22s -> 19101.62s]  Red blue then green it was it was like certain colors, right? Definitely to get this right. Nobody has an actual
[19102.58s -> 19114.44s]  Key thing on their door emergency exit only cold warning
[19117.32s -> 19121.64s]  I shouldn't open this door unless I absolutely have to put the key in your bag and use it on the door
[19127.34s -> 19143.78s]  Oh, okay, what do you got in here rudimentary geology structural engineering
[19146.82s -> 19179.56s]  Large machinery safety protocol make the bed. What about this? Wait a minute. Hold on back over there. We're coming
[19182.18s -> 19187.26s]  Shoot, I can't clean this room yet. I don't have anything to put the dirty laundry in the chute
[19189.19s -> 19192.58s]  What do I need a basket?
[19192.98s -> 19194.98s]  That's not scary music
[19197.82s -> 19199.34s]  The diablo q
[19199.34s -> 19221.06s]  Can I open this? I cannot well, what about whatever's going on? I need a laundry basket or something, right?
[19222.22s -> 19238.18s]  I've been so itchy today hates to lose expected to win and I always did
[19238.84s -> 19244.66s]  Knowing your enemy is the surest way to defeat them. I know some of my competition is better than I know
[19246.44s -> 19252.73s]  Myself
[19252.73s -> 19260.26s]  Some believe he studies his competitors so he can eliminate them. Why is she on a rifle?
[19262.47s -> 19286.70s]  Environmental champion. I have long bobs tip of the month. Shoot. I can't clean this room. I need a laundry basket
[19286.70s -> 19293.99s]  I'm not doing this till I get a laundry basket. Is there a staff room or something I can get to
[19295.53s -> 19297.53s]  That's not what goes here
[19300.10s -> 19304.55s]  I need a laundry basket. Is there like a staff room or a
[19318.34s -> 19319.96s]  Contents deleted
[19319.96s -> 19327.30s]  Wonder why from last year? Interesting
[19328.42s -> 19336.18s]  Okay, pick up laundry bag at the front desk available after 5 45 a.m
[19336.42s -> 19388.10s]  But I took too long. Well, isn't this the front desk? We're sorry. I won the jackpot
[19388.34s -> 19424.63s]  Check the number and dial again might as well leave a message. Hi sheriff. It's Nancy Drew. Nothing urgent
[19424.79s -> 19429.91s]  I'm just kind of checking in. So if I don't hear from you, I'll call you back later. Bye. Okay
[19430.47s -> 19433.27s]  All right. What about uh, Tino Balducci?
[19441.59s -> 19443.59s]  That was a pointless message
