[1.66s -> 3.66s]  Just because.
[3756.34s -> 3758.34s]  when you, when you load it in because it says
[3758.34s -> 3760.34s]  it wants me to invite, um,
[3760.34s -> 3763.29s]  it wants to invite me to watch
[3763.29s -> 3765.59s]  your stream. It wants to invite
[3765.59s -> 3767.59s]  you to watch my stream? To watch your
[3767.59s -> 3769.59s]  gameplay, yes. Oh, you're going to come watch
[3769.59s -> 3771.59s]  my gameplay? That's what it wants, yeah.
[3771.59s -> 3774.28s]  Share play? Yeah,
[3774.28s -> 3776.28s]  it's the end of the phone call voice.
[3776.28s -> 3778.71s]  Yeah, that's, when you
[3778.71s -> 3781.46s]  talk to somebody on the phone. And you're
[3781.46s -> 3783.77s]  like, oh, all right. Yeah,
[3783.77s -> 3785.77s]  that's how people end conversations.
[3785.77s -> 3787.77s]  You add some inflection to let people know
[3787.77s -> 3789.77s]  that, hey, this is like, the conversation
[3789.77s -> 3792.33s]  is going to be over here in a minute.
[3792.33s -> 3794.33s]  My, my, like, here's mine.
[3794.33s -> 3796.33s]  All right. Yeah.
[3796.33s -> 3798.33s]  All right.
[3798.33s -> 3800.33s]  All right. And then it goes up real
[3800.33s -> 3802.33s]  high. All right. Yep.
[3802.33s -> 3805.59s]  Mine is usually,
[3805.59s -> 3807.59s]  it starts with, okay, so,
[3807.59s -> 3809.59s]  or it's, but,
[3809.59s -> 3811.96s]  yeah. Okay, so, I
[3811.96s -> 3815.10s]  think. How about cool?
[3815.10s -> 3817.10s]  You're doing one of the cool.
[3817.10s -> 3819.10s]  I don't know if I like cool, because
[3819.10s -> 3821.10s]  cool kind of sounds like I'm not interested in
[3821.10s -> 3823.10s]  conversation, like a cool, all
[3823.10s -> 3825.10s]  right, I gotta go. It's like, you didn't think that was cool.
[3825.10s -> 3827.10s]  If you thought that was cool, you'd just stick around a little bit longer, right?
[3827.10s -> 3829.10s]  Yeah, it's a little passive
[3829.10s -> 3831.53s]  aggressive. Yeah. I think
[3831.53s -> 3833.53s]  all right works, because all right's like, all right, like, it's over.
[3833.53s -> 3836.90s]  All right. How's
[3836.90s -> 3838.90s]  the weather on your phone, by the way?
[3838.90s -> 3841.40s]  My phone? It's pretty good.
[3841.40s -> 3843.70s]  Yep. All right.
[3843.70s -> 3846.46s]  All right.
[3846.46s -> 3848.46s]  My invites are grayed out.
[3848.46s -> 3850.46s]  There we go. I gotcha. Okay, the invites are still
[3850.46s -> 3852.46s]  grayed out, but I can invite you to the posse. We're in the same
[3852.46s -> 3854.46s]  server. Oh. All right.
[3854.46s -> 3857.46s]  Come find me. Come find me, and
[3857.46s -> 3859.96s]  come take a picture with me.
[3859.96s -> 3861.96s]  Okay. Well, I think we should try to do,
[3861.96s -> 3863.96s]  while we're in a server together, we should try to do, like,
[3863.96s -> 3865.96s]  an actual, like,
[3865.96s -> 3867.96s]  fight match. Yeah.
[3867.96s -> 3869.96s]  Okay. So it starts now,
[3869.96s -> 3872.97s]  then. I think we have to be in the posse.
[3872.97s -> 3876.42s]  Oh, okay. I thought
[3876.42s -> 3878.42s]  you meant, like, you and me are just gonna fight.
[3878.42s -> 3880.98s]  Oh, no, no, no, no, no. I was, I was gonna say
[3880.98s -> 3883.86s]  we could do a, like,
[3883.86s -> 3886.36s]  you know, like a team death match thing.
[3886.36s -> 3888.79s]  Oh, I actually tried to load, yeah, I tried to load into one.
[3888.79s -> 3891.10s]  No, that, apparently
[3891.10s -> 3893.10s]  the weather is a little too harsh on these, yeah,
[3893.10s -> 3896.30s]  I'm disconnected.
[3896.30s -> 3898.30s]  No shit already? No shit, yep.
[3898.30s -> 3900.66s]  Already, this is way,
[3900.66s -> 3902.84s]  we at least, three days ago, we could
[3902.84s -> 3904.84s]  play for at least 20, 30 minutes
[3904.84s -> 3908.17s]  before it would do this, so. It's a shame.
[3908.17s -> 3910.17s]  This is a shame. Well, I mean, this is not, this is
[3910.17s -> 3912.17s]  not a bother to me. I want you to know
[3912.17s -> 3914.17s]  that this is also affecting me.
[3914.17s -> 3916.17s]  That's okay, it's affecting me too.
[3916.17s -> 3918.17s]  Okay. I think, let's just wait
[3918.17s -> 3920.17s]  a little bit, wait a couple days, and then we'll try
[3920.17s -> 3923.18s]  again. That sounds good to me. I wanna, I wanna
[3923.18s -> 3925.18s]  actually play this with you, but yeah, it's a
[3925.18s -> 3928.31s]  shame that this isn't happening.
[3928.31s -> 3930.31s]  It is a shame, but it's alright. It happens.
[3930.31s -> 3932.62s]  Nothing to do about it.
[3932.62s -> 3934.62s]  What are you gonna, what are you gonna cry, just cry over
[3934.62s -> 3937.11s]  spell servers? I can jump off a cliff.
[3937.11s -> 3939.67s]  Oh, I just did that.
[3939.67s -> 3941.67s]  I love how that's both the go-to
[3941.67s -> 3943.67s]  thing, whatever.
[3943.67s -> 3948.52s]  Sleep off.
[3948.52s -> 3950.52s]  You can't cry, you can't cry over
[3950.52s -> 3952.82s]  spilled servers. No, you can't.
[3952.82s -> 3955.58s]  I'm just gonna go and do
[3955.58s -> 3957.58s]  like a showdown match.
[3957.58s -> 3960.63s]  You know, I have like another
[3960.63s -> 3962.63s]  10, 20 minutes that I'm gonna play this, so
[3962.63s -> 3964.63s]  may as well play.
[3964.63s -> 3967.45s]  Oh shit, someone got a jump. Can you
[3967.45s -> 3969.45s]  explain, is it, it's
[3969.45s -> 3971.62s]  jup or jump?
[3971.62s -> 3973.62s]  It is, it is
[3973.62s -> 3975.86s]  Jupiter, jup.
[3975.86s -> 3977.86s]  Okay, because I've been saying, I think the chat tricked me into
[3977.86s -> 3979.86s]  saying jup. They did. I was like, yeah, but it's Jupiter.
[3979.86s -> 3981.86s]  It's pronounced jup. Yeah, they lied to you.
[3981.86s -> 3984.04s]  They were like, nah, bro. Yeah, figures.
[3984.04s -> 3986.04s]  I mean, I've said, I've clarified
[3986.04s -> 3988.04s]  it at least a hundred times. It is
[3988.04s -> 3990.04s]  Jupiter, the planet is Jupiter, it's not Jupiter.
[3990.04s -> 3993.37s]  Oh yeah, there's the moon, there's
[3993.37s -> 3995.37s]  the, oh, there's, there's the mon.
[3995.37s -> 3997.54s]  There's Murs.
[3997.54s -> 3999.54s]  What's back there, oh, that's Venus.
[3999.54s -> 4002.10s]  What else? Oh, Jupiter.
[4002.10s -> 4004.10s]  Oh, of course. Behind that you got
[4004.10s -> 4006.10s]  Plateau, yeah.
[4006.10s -> 4011.22s]  Plateau is my favorite, yeah.
[4011.22s -> 4013.22s]  So, can I ask you why it
[4013.22s -> 4015.22s]  exists? Because it's become a bit of
[4015.22s -> 4017.22s]  a local chat, like a lot of your memes have spilled
[4017.22s -> 4019.22s]  over into my life. I want you to know that.
[4019.22s -> 4021.53s]  Oh, I'm sorry. I don't mind.
[4021.53s -> 4023.53s]  I'm sure it's been somewhat vice versa,
[4023.53s -> 4027.94s]  but I'll take it.
[4027.94s -> 4029.94s]  Well, I don't, I just
[4029.94s -> 4032.25s]  one day was looking through
[4032.25s -> 4034.42s]  my, my mother got me
[4034.42s -> 4037.11s]  a telescope when I was younger, and
[4037.11s -> 4039.11s]  I've always been like interested in the stars
[4039.11s -> 4041.29s]  and the moon and everything.
[4041.29s -> 4043.59s]  And that just, I just, those are
[4043.59s -> 4045.59s]  images that were taken. I just
[4045.59s -> 4047.59s]  I'm into the planets and I think the solar
[4047.59s -> 4049.90s]  system's really cool and just
[4049.90s -> 4051.90s]  through the telescope I have a picture
[4051.90s -> 4054.58s]  that's able to take photos. It's one of those things
[4054.58s -> 4056.58s]  that you know of, oh, you can take binoculars, you can take pictures.
[4056.58s -> 4058.58s]  But if you're at like the baseball game
[4058.58s -> 4060.58s]  or you have a telescope and you're at the baseball
[4060.58s -> 4062.58s]  game, you want to get like a good close up of a home plate
[4062.58s -> 4064.58s]  and who's batting when you're in the bleachers.
[4064.58s -> 4066.89s]  So yeah, it's a telescopic
[4066.89s -> 4069.83s]  view of just, that's just what they look like.
[4069.83s -> 4072.78s]  Chat, is he lying? I mean,
[4072.78s -> 4074.78s]  the telescope is an incredibly expensive
[4074.78s -> 4076.78s]  it's at least like a
[4076.78s -> 4079.02s]  it's like $145. It's like
[4079.02s -> 4081.02s]  $144.99.
[4081.02s -> 4083.02s]  No, that doesn't sound like an expensive telescope.
[4083.02s -> 4085.02s]  It makes it the most expensive one you can get on Amazon.
[4085.02s -> 4089.05s]  I believe you because
[4089.05s -> 4094.30s]  I don't know why I believe you, but I do, but I
[4094.30s -> 4096.30s]  feel like I shouldn't. No, that's just
[4096.30s -> 4098.60s]  what the planets look like. Go do it.
[4098.60s -> 4100.60s]  Wait, your mother got this for you when you were like
[4100.60s -> 4102.60s]  10 and you got it on Amazon? No, no, no.
[4102.60s -> 4104.60s]  When I was younger, my mother
[4104.60s -> 4106.60s]  got me a telescope, but it's what interests me so much
[4106.60s -> 4108.60s]  in the solar system. So you bought another one?
[4108.60s -> 4110.60s]  Yeah, so years later obviously
[4110.60s -> 4112.60s]  I'm a grown man now.
[4112.60s -> 4114.60s]  You know, 20, 24 and
[4114.60s -> 4116.97s]  decided I was going to
[4116.97s -> 4118.97s]  keep my passion going and that's
[4118.97s -> 4120.97s]  the solar system and the planets and those are just
[4120.97s -> 4123.27s]  images taken from the telescope.
[4123.27s -> 4127.05s]  Wait, you're 24?
[4127.05s -> 4130.95s]  What do you mean? Chat, how much is Jerma
[4130.95s -> 4133.90s]  lying? 85% of the time.
[4133.90s -> 4138.42s]  That's probably what it is.
[4138.42s -> 4140.42s]  No, he's your age. You're my age.
[4140.42s -> 4143.82s]  Yeah, but I got
[4143.82s -> 4146.06s]  We're talking about like internal age, you know?
[4146.06s -> 4148.06s]  Right, right, how do you feel?
[4148.06s -> 4150.06s]  I feel
[4150.06s -> 4152.06s]  I feel like 45, but I mean
[4152.06s -> 4154.06s]  internally I wish I was 25.
[4154.06s -> 4156.94s]  I believe that. Alright, so I've
[4156.94s -> 4158.94s]  been in the game for more than 30 seconds
[4158.94s -> 4160.94s]  and I'm not disconnected yet.
[4160.94s -> 4162.94s]  Wait, in my game?
[4162.94s -> 4165.18s]  Am I in your game?
[4165.18s -> 4167.18s]  Are you playing a death match?
[4167.18s -> 4169.18s]  Oh, I'm not, but I'm ready for you when you come out maybe.
[4169.18s -> 4171.18s]  It's possible, it's very possible
[4171.18s -> 4173.18s]  we'll get to play for like 20 minutes.
[4173.18s -> 4175.42s]  I like the idea that we're doing a co-op match
[4175.42s -> 4177.42s]  of Red Dead, but playing separately
[4177.42s -> 4179.42s]  in separate servers.
[4179.42s -> 4183.26s]  What is Sean doing here?
[4183.26s -> 4185.56s]  So here's the thing, I wanted to
[4185.56s -> 4187.56s]  actually tell you that I also had a
[4187.56s -> 4189.56s]  telescope when I was younger. This is no bullshit.
[4189.56s -> 4191.56s]  So when you say that, I was like fucking
[4191.56s -> 4193.56s]  fascinated. I wanted to be an astronomer when I was a kid.
[4193.56s -> 4195.56s]  And I had a telescope, I had books,
[4195.56s -> 4197.56s]  I had the whole fucking thing.
[4197.56s -> 4199.56s]  I'm dead serious, which then turned into alien
[4199.56s -> 4201.56s]  conspiracies, which was the
[4201.56s -> 4203.86s]  wrong way to go about that.
[4203.86s -> 4205.86s]  Alien conspiracies.
[4205.86s -> 4208.79s]  Yeah, that's true.
[4208.79s -> 4211.03s]  Well, think about it.
[4211.03s -> 4213.03s]  No, but like honest to God, when you start to really
[4213.03s -> 4215.03s]  think about, especially when you're
[4215.03s -> 4217.72s]  younger, what's up there? You know what I mean?
[4217.72s -> 4219.72s]  You're looking up there, there's like planets and the moons
[4219.72s -> 4222.02s]  up there, what the fuck is up there?
[4222.02s -> 4224.52s]  Jupiter. Jupiter is up there.
[4224.52s -> 4228.04s]  So, if
[4228.04s -> 4230.04s]  that's true, and you got that from your telescope,
[4230.04s -> 4233.48s]  that's kind of cool. Yeah.
[4235.66s -> 4237.66s]  Your emutes don't make any sense.
[4237.66s -> 4239.90s]  They don't make any sense. I'm like, okay, go
[4239.90s -> 4242.84s]  look. Go look through a telescope
[4242.84s -> 4245.40s]  of what the moon looks like.
[4245.40s -> 4247.77s]  That's just an image.
[4247.77s -> 4249.77s]  There's a lot of people that are
[4249.77s -> 4251.77s]  spouting bullshit about me.
[4255.40s -> 4257.40s]  They keep using the word doctor,
[4257.40s -> 4259.40s]  like doctor. I'm not a doctor.
[4259.40s -> 4265.53s]  I'm a fucking streamer.
[4265.53s -> 4268.28s]  Wait, you're not? No.
[4268.28s -> 4270.28s]  So what are some jobs you've had
[4270.28s -> 4272.28s]  that you've had before you were streaming? I'm just
[4272.28s -> 4274.28s]  curious. Doctor.
[4274.28s -> 4276.28s]  Physician. Mostly.
[4281.10s -> 4283.34s]  Oddly enough, I was
[4283.34s -> 4285.34s]  a substitute teacher
[4285.34s -> 4287.51s]  for a long time. Substitute.
[4287.51s -> 4289.69s]  That's cool.
[4289.69s -> 4291.69s]  I did wedding videos
[4291.69s -> 4295.72s]  for a while. Oh, you have
[4295.72s -> 4297.72s]  video editing? Yeah. Yeah.
[4297.72s -> 4299.72s]  I did some of that too, actually.
[4299.72s -> 4301.72s]  Video editing
[4301.72s -> 4303.72s]  video, just making
[4303.72s -> 4306.34s]  freelance, just kind of on the
[4306.34s -> 4308.34s]  side when I did other stuff.
[4308.34s -> 4312.44s]  I got real
[4312.44s -> 4314.44s]  gripping, thrilling stuff going on over here.
[4314.44s -> 4316.44s]  Thanks for hanging out, guys.
[4316.44s -> 4318.44s]  Oh no, I'm talking about on my stream.
[4318.44s -> 4320.44s]  How was the weather around those jobs?
[4320.44s -> 4322.44s]  It was fucking beautiful.
[4322.44s -> 4324.44s]  I'm talking about just on my stream.
[4324.44s -> 4326.44s]  I'm just riding on a road, just
[4326.44s -> 4329.38s]  holding X.
[4329.38s -> 4332.07s]  I got real thrilling stuff over here.
[4332.07s -> 4334.82s]  As you can see.
[4334.82s -> 4336.82s]  Look at those invitations.
[4336.82s -> 4338.82s]  I can't invite you to the match I'm in, but I'm going to try
[4338.82s -> 4340.82s]  to join yours.
[4340.82s -> 4343.38s]  No, just do your thing.
[4343.38s -> 4345.38s]  I've come to the
[4345.38s -> 4347.38s]  realization that this is probably just
[4347.38s -> 4349.38s]  too good to be true.
[4349.38s -> 4351.38s]  And you're going to get in here. I'm going to take
[4351.38s -> 4353.38s]  a quality photo of you coming into the stream
[4353.38s -> 4355.38s]  into the server.
[4355.38s -> 4357.38s]  And then it's going to go
[4357.38s -> 4361.16s]  grrrr.
[4361.16s -> 4363.66s]  That's what I'm hoping.
[4363.66s -> 4365.66s]  No, I'm not. What?
[4365.66s -> 4367.66s]  I'm not hoping that happens.
[4367.66s -> 4369.66s]  I've become so conditioned to think it's going to.
[4369.66s -> 4373.30s]  Am I in your server?
[4373.30s -> 4375.30s]  No, I'm not in your server, but I will. I'm going to get in there.
[4375.30s -> 4377.30s]  Maybe we get a chance to do
[4377.30s -> 4379.30s]  one more match. Let's see.
[4379.30s -> 4381.30s]  I love that urn urn thing.
[4381.30s -> 4383.30s]  I love it.
[4383.30s -> 4385.30s]  Thanks, man. Yeah, I figured that would, you know,
[4385.30s -> 4387.30s]  that's the natural evolution of Arthur's
[4387.30s -> 4390.06s]  show.
[4390.06s -> 4392.06s]  Urn urn.
[4392.06s -> 4394.06s]  Pail boss, mate.
[4394.06s -> 4397.13s]  Okay, you've
[4397.13s -> 4399.13s]  been in a match. You've been in a server for six minutes
[4399.13s -> 4401.13s]  without disconnect, apparently.
[4401.13s -> 4403.13s]  That's pretty impressive. So I'm going to join
[4403.13s -> 4405.13s]  yours.
[4405.13s -> 4407.13s]  I want a good photo of me.
[4407.13s -> 4409.75s]  This looks pretty good right here with the snowy
[4409.75s -> 4415.58s]  mountaintop. Be careful.
[4415.58s -> 4417.82s]  Okay, I'm good. So I got a good
[4417.82s -> 4419.82s]  spot for you to come on in when you get in here.
[4419.82s -> 4427.42s]  Cool.
[4427.42s -> 4430.30s]  Enable focus lock.
[4430.30s -> 4432.30s]  So are you excited for the Detective Pokemon movie?
[4432.30s -> 4435.88s]  Detective Pokemon? Yeah.
[4435.88s -> 4438.94s]  I'm excited for it.
[4438.94s -> 4440.94s]  I think it looks really
[4440.94s -> 4442.94s]  fun.
[4442.94s -> 4446.06s]  I think so. I think so, Mr. Red.
[4446.06s -> 4448.06s]  Yeah.
[4448.06s -> 4450.06s]  Did you play Pokemon Let's Go?
[4450.06s -> 4452.06s]  I've never played
[4452.06s -> 4454.06s]  a Pokemon game before in my life.
[4454.06s -> 4456.06s]  Except for- Really? So you-
[4456.06s -> 4461.80s]  Never.
[4461.80s -> 4463.80s]  Pokemon, I think I did try
[4463.80s -> 4466.30s]  to play
[4466.30s -> 4468.30s]  Pokemon Diamond or
[4468.30s -> 4470.30s]  Pearl, whatever that was, the one for DS. Oh, there you are.
[4470.30s -> 4475.35s]  Look. Hey, mister.
[4475.35s -> 4477.66s]  Okay, I got a good photo of you.
[4477.66s -> 4479.66s]  That one's going on the album of friends.
[4479.66s -> 4483.50s]  Oh.
[4483.50s -> 4486.18s]  You're fine.
[4486.18s -> 4488.81s]  You just gave me a new face.
[4488.81s -> 4493.61s]  Hey, mister.
[4493.61s -> 4496.30s]  Alright, so
[4496.30s -> 4499.37s]  we're still here. We're not disconnected.
[4499.37s -> 4501.37s]  That's amazing. Yeah, neither
[4501.37s -> 4503.37s]  of us are ghosts. Holy shit.
[4503.37s -> 4505.37s]  I guess join the posse and then we'll
[4505.37s -> 4507.37s]  go shoot some stuff and see if that lasts.
[4507.37s -> 4509.80s]  Uh, posse.
[4509.80s -> 4512.10s]  I see your posse.
[4512.10s -> 4514.10s]  I cannot join. This posse is closed
[4514.10s -> 4516.54s]  and cannot be joined. And I have no
[4516.54s -> 4523.13s]  invites.
[4523.13s -> 4527.42s]  This is just
[4527.42s -> 4529.42s]  what happens when you go
[4529.42s -> 4531.42s]  to the bird exhibit at the local zoo.
[4531.42s -> 4533.42s]  Right?
[4533.42s -> 4535.42s]  The bird room?
[4535.42s -> 4537.42s]  Yeah, this is the bird room.
[4537.42s -> 4539.42s]  Oh, Jesus. See ya.
[4539.42s -> 4541.42s]  Goodbye. See you later.
[4541.42s -> 4543.42s]  God damn it.
[4543.42s -> 4545.42s]  You know what's funny? Your horse is still
[4545.42s -> 4547.66s]  here. Yeah, he's got a better
[4547.66s -> 4549.66s]  connection to Rockstar apparently than I do.
[4549.66s -> 4553.82s]  But anyways,
[4553.82s -> 4555.82s]  just to follow up on the bird exhibit, have you
[4555.82s -> 4557.82s]  been to a butterfly exhibit?
[4557.82s -> 4559.82s]  I have, yeah. Well, I mean,
[4559.82s -> 4561.82s]  I remember the one
[4561.82s -> 4563.82s]  time I was in Texas
[4563.82s -> 4565.82s]  in Galveston there was a
[4565.82s -> 4567.82s]  butterfly room in some place and I went in
[4567.82s -> 4569.82s]  there for a bit. I don't know why I'm telling
[4569.82s -> 4571.82s]  you this, but yes, yes.
[4571.82s -> 4573.82s]  Well, I mean, it's important because
[4573.82s -> 4575.82s]  the bird
[4575.82s -> 4577.82s]  room, the butterfly room is like the bird room
[4577.82s -> 4579.99s]  .5.
[4579.99s -> 4581.99s]  But the scary part about the butterfly room
[4581.99s -> 4583.99s]  is aren't you just terrified of
[4583.99s -> 4585.99s]  just being in there because there's just butterflies
[4585.99s -> 4587.99s]  in every direction. They're above you, they're
[4587.99s -> 4589.99s]  below you, they're left and right. I feel like
[4589.99s -> 4591.99s]  I'm just gonna like
[4591.99s -> 4593.99s]  Godzilla stomp on one of them. Yeah, like
[4593.99s -> 4595.99s]  devastate one, right? Or breathe
[4595.99s -> 4598.49s]  one in?
[4598.49s -> 4600.49s]  Maybe not that.
[4600.49s -> 4602.49s]  Breathe one in?
[4602.49s -> 4604.49s]  Like throw your nose into your lungs?
[4604.49s -> 4606.49s]  Yeah.
[4606.49s -> 4608.73s]  I guess that was kind of a
[4608.73s -> 4610.73s]  weird thing to say. But yeah, I thought
[4610.73s -> 4612.73s]  maybe that was a problem.
[4612.73s -> 4614.73s]  Next time I go to a butterfly room.
[4614.73s -> 4616.73s]  Was it Moody Gardens? Does
[4616.73s -> 4618.73s]  Moody Gardens have a butterfly room?
[4618.73s -> 4624.30s]  Moody Gardens, Butterfly.
[4624.30s -> 4626.30s]  Maybe I made that up. Maybe I lied.
[4626.30s -> 4628.30s]  Yeah, they have them. Butterfly. Rainforest
[4628.30s -> 4630.30s]  pyramid, yeah. That's that. Yep.
[4630.30s -> 4632.30s]  I've been to Moody Gardens.
[4632.30s -> 4634.47s]  Jesus Christ. I was 18 when
[4634.47s -> 4636.47s]  that happened. 15 years ago.
[4636.47s -> 4639.35s]  That's as old as some of you.
[4639.35s -> 4641.35s]  No offense.
[4641.35s -> 4643.35s]  Do you forget how long ago 15
[4643.35s -> 4645.35s]  years ago is? You know what I mean?
[4645.35s -> 4647.35s]  Yeah, I know. That's a decade
[4647.35s -> 4650.23s]  and a half.
[4650.23s -> 4652.23s]  I mean, playing on the rune of time again is weird
[4652.23s -> 4654.23s]  for that reason. Brings back a lot
[4654.23s -> 4656.23s]  of memories. So what were you saying then?
[4656.23s -> 4658.23s]  I was making a call back.
[4658.23s -> 4660.23s]  I was going, okay,
[4660.23s -> 4662.23s]  so, Butter.
[4662.23s -> 4664.23s]  Alright, alright.
[4666.41s -> 4668.41s]  How's the weather around? Let's end this.
[4668.41s -> 4670.41s]  Let me
[4670.41s -> 4672.41s]  see. What's it gonna be like?
[4672.41s -> 4674.41s]  It's gonna be cloudy
[4674.41s -> 4676.41s]  with a chance of meatballs.
[4676.41s -> 4678.41s]  Why am I typing that in?
[4678.41s -> 4680.41s]  Cloudy with a chance of disconnect.
[4680.41s -> 4682.41s]  2009. That's when that came up.
[4682.41s -> 4684.41s]  Anyone's curious.
[4684.41s -> 4686.41s]  Sorry, everybody.
[4686.41s -> 4688.41s]  I really figured it was gonna be
[4688.41s -> 4690.41s]  fun. I'm sure it was nice to have you
[4690.41s -> 4692.41s]  as a special guest. Honestly, my audience always
[4692.41s -> 4694.41s]  really enjoys talking
[4694.41s -> 4696.41s]  about you, whether it be in a positive
[4696.41s -> 4698.41s]  or negative way. They enjoy you quite a bit.
[4698.41s -> 4700.41s]  Well,
[4700.41s -> 4702.41s]  thank you. Thank you,
[4702.41s -> 4704.41s]  everybody in the Vinesauce chat. Appreciate it.
[4704.41s -> 4706.41s]  Thank you, Germachat,
[4706.41s -> 4708.41s]  for tolerating me for a couple minutes.
[4708.41s -> 4710.41s]  Everybody over here loves you, dude.
[4710.41s -> 4712.90s]  You are like,
[4712.90s -> 4714.90s]  everybody here in Hearns you over here, so don't worry.
[4714.90s -> 4716.90s]  That is nice. I like that.
[4716.90s -> 4719.21s]  That's a good compliment.
[4719.21s -> 4721.21s]  But we'll try again.
[4721.21s -> 4723.21s]  Let's see what happens during the week.
[4723.21s -> 4725.64s]  Listen, I've been having
[4725.64s -> 4727.64s]  disconnects too, so maybe one day we'll both
[4727.64s -> 4729.64s]  be able to play this.
[4729.64s -> 4731.64s]  And until then, I guess,
[4731.64s -> 4733.64s]  you know, take care of yourself.
[4733.64s -> 4735.64s]  Go find some good pictures of planets.
[4735.64s -> 4737.64s]  Yeah. And you
[4737.64s -> 4739.64s]  yourself go look up, go
[4739.64s -> 4741.64s]  get a telescope and look, and you'll see.
[4741.64s -> 4744.01s]  One day I will, maybe.
[4744.01s -> 4746.01s]  Alright. Have a good one. And until then,
[4746.01s -> 4748.01s]  I'm gonna go kill a couple dudes, and then
[4748.01s -> 4750.01s]  we'll be in touch. We'll meet somewhere in
[4750.01s -> 4752.01s]  the middle. So take care, Germachat.
[4752.01s -> 4754.01s]  See you later, guys. Take care. Bye.
[4754.01s -> 4758.81s]  I wanted to
[4758.81s -> 4760.81s]  fucking play!
[4760.81s -> 4762.81s]  I wanted to play
[4762.81s -> 4764.81s]  Money Player!
[4764.81s -> 4766.81s]  I was keeping it so, so
[4766.81s -> 4768.81s]  collected the whole time!
[4768.81s -> 4770.81s]  I just wanted to play Money
[4770.81s -> 4772.81s]  Player with my friend!
[4772.81s -> 4774.81s]  Tears are fucking pouring down my face!
[4776.81s -> 4780.52s]  You know how hard it is to contain yourself?
[4780.52s -> 4782.89s]  No, that's unfortunate. It really is.
[4782.89s -> 4784.89s]  I thought this was gonna be fixed.
[4784.89s -> 4791.22s]  Uh, Vinny,
[4791.22s -> 4793.22s]  Vinny, the great guy.
[4793.22s -> 4795.22s]  Highly recommend
[4795.22s -> 4797.40s]  If you do not follow that stream,
[4797.40s -> 4800.73s]  give it a follow.
[4800.73s -> 4802.73s]  So we can talk about one thing here.
[4802.73s -> 4804.73s]  The plan today
[4804.73s -> 4807.29s]  got a little messed up.
[4807.29s -> 4810.74s]  Vinny and Vine!
[4813.69s -> 4818.17s]  It's apparently been happening all day.
[4818.17s -> 4820.17s]  The plan was
[4820.17s -> 4822.17s]  we were only gonna play this for like
[4822.17s -> 4824.54s]  two or three hours. So
[4824.54s -> 4826.71s]  it's kind of at the point where
[4826.71s -> 4828.71s]  the plan was I was only gonna
[4828.71s -> 4830.71s]  stream for like two or three hours anyways.
[4830.71s -> 4832.71s]  So, I'm sorry guys
[4832.71s -> 4834.71s]  that this kind of in the middle
[4834.71s -> 4836.71s]  extra stream here turned out to be
[4836.71s -> 4838.71s]  a little bit of a uh, you know what I mean?
[4841.53s -> 4843.53s]  For tomorrow, the reason why this stream was
[4843.53s -> 4845.53s]  not gonna be very long is cause I'm going to
[4845.53s -> 4847.53s]  prepare the movie night.
[4847.53s -> 4849.53s]  I wanna make sure it's ready to go. I wanna make sure
[4849.53s -> 4851.53s]  that it is
[4851.53s -> 4853.53s]  uh, perfect.
[4853.53s -> 4855.53s]  There are a lot of submissions,
[4855.53s -> 4857.53s]  there are a lot of, there's a lot of work
[4857.53s -> 4859.53s]  that went into it, so
[4859.53s -> 4861.53s]  the plan was I was gonna only stream for an hour or two
[4861.53s -> 4863.53s]  and I just, I just deleted an hour for some
[4863.53s -> 4865.53s]  reason because it's been an hour or two and I'm just like
[4865.53s -> 4867.53s]  I'm like inceptioning that into your brain that the stream
[4867.53s -> 4869.53s]  is only gonna be an hour.
[4869.53s -> 4871.53s]  Um, I'm so excited for it. I'm looking
[4871.53s -> 4873.53s]  forward to it. It's gonna be a lot of fun.
[4873.53s -> 4875.53s]  So, I'm gonna end the stream here.
[4875.53s -> 4877.53s]  Uh, again, I'm sorry
[4877.53s -> 4879.53s]  about the Rockstar servers. I
[4879.53s -> 4881.53s]  really, really thought after a few days it was gonna be
[4881.53s -> 4883.53s]  fixed. So, I'm gonna go
[4883.53s -> 4885.53s]  I'm gonna go fix, uh, not fix
[4885.53s -> 4887.53s]  my internet. I'm
[4887.53s -> 4891.18s]  I'm so used to saying that.
[4891.18s -> 4893.18s]  But, I'm gonna go prepare. I wanna make sure I put a lot of
[4893.18s -> 4895.18s]  time into the movie night.
[4895.18s -> 4897.18s]  So,
[4897.18s -> 4899.18s]  uh, take care.
[4899.18s -> 4901.18s]  I'll go through the bits. It's probably gonna be very quick.
[4901.18s -> 4903.93s]  I'll see you guys tomorrow. If you don't know what I'm talking
[4903.93s -> 4905.93s]  about, we're doing a movie night tomorrow
[4905.93s -> 4907.93s]  where I gave
[4907.93s -> 4909.93s]  uh, like two or three hours of brain-threat
[4909.93s -> 4911.93s]  footage to
[4911.93s -> 4913.93s]  everybody in this entire community
[4913.93s -> 4915.93s]  and some of the incredibly
[4915.93s -> 4917.93s]  talented and creative funny fucking people
[4917.93s -> 4919.93s]  that are here have made some great shit
[4919.93s -> 4921.93s]  to watch tomorrow. In the stream tomorrow,
[4921.93s -> 4923.93s]  probably only gonna be like a couple hours, two or three hours.
[4923.93s -> 4925.93s]  I don't wanna have it over states welcome. I don't want it to be
