[0.66s -> 1.16s]  How's it going?
[6756.32s -> 6757.84s]  Oh, we've been caught.
[6759.60s -> 6761.52s]  Jerma, did you, did you get the ducks or what?
[6761.72s -> 6762.88s]  Yeah, it was awesome.
[6763.44s -> 6765.56s]  I got to a million points and I'm still working.
[6765.56s -> 6771.04s]  I'm still trying to figure out how to, uh, get the box open, which is pretty,
[6771.24s -> 6772.36s]  it's been pretty interesting so far.
[6775.36s -> 6775.52s]  Okay.
[6775.52s -> 6776.48s]  I can't listen to the stream anymore.
[6776.48s -> 6777.68s]  Cause I'm listening to myself three times.
[6779.83s -> 6780.95s]  How do I get the box open?
[6791.47s -> 6792.91s]  I'm stealing your content right here.
[6792.91s -> 6793.99s]  Thanks Jerma for the content.
[6802.51s -> 6804.67s]  He just starts throwing shit in his room.
[6805.19s -> 6808.95s]  That kind of sounded like he's doing his own duck bouncing.
[6808.99s -> 6809.99s]  He's like, Oh, Hey, thanks.
[6809.99s -> 6811.71s]  I got, I got, I got some ideas now.
[6812.07s -> 6814.79s]  He just starts picking up shit in his room, throwing it into the walls.
[6819.98s -> 6820.90s]  All right, let's keep going.
[6834.56s -> 6835.16s]  Hold on a second.
[6835.44s -> 6836.04s]  This is important.
[6839.47s -> 6842.83s]  Let's see if we can get ourselves up on the, don't, don't say anything to poke.
[6879.24s -> 6880.00s]  You're sweating.
[6898.52s -> 6901.08s]  I was not sweating this much when I played Elden Ring.
[6902.64s -> 6904.52s]  It's just my right arm too.
[6904.72s -> 6907.76s]  My left arm, my left underarm is perfectly fine.
[6907.76s -> 6908.96s]  Holy shit.
[6910.01s -> 6910.37s]  All right.
[6910.37s -> 6911.05s]  Well, that was fun.
[6913.77s -> 6914.01s]  All right.
[6914.01s -> 6914.25s]  All right.
[6914.29s -> 6916.25s]  Stay with the, uh, stay with the, what I was doing.
[6920.17s -> 6921.33s]  What did I get behind him?
[6928.76s -> 6930.56s]  Was that, did I get to be on the screen behind him?
[6931.66s -> 6931.94s]  Good.
[6931.98s -> 6932.42s]  Was it good?
[6937.02s -> 6939.54s]  He's in the middle of like a hard fight in dark and darker.
[6939.54s -> 6940.62s]  And I'm just sitting there behind him.
[6942.27s -> 6943.71s]  I just start smoking behind him.
[6946.96s -> 6947.16s]  Hold on.
[6947.16s -> 6947.72s]  Here's the clip.
[6947.84s -> 6948.16s]  Hold on.
[6948.40s -> 6948.80s]  Wait, wait, wait.
[6948.80s -> 6949.28s]  This is important.
[6949.28s -> 6949.76s]  I want to see this.
[6954.50s -> 6955.10s]  Where's the clip.
[6967.35s -> 6968.27s]  I got to get this on.
[6968.79s -> 6969.47s]  Hold on a sec.
[6977.22s -> 6977.58s]  We got it.
[6977.58s -> 6978.86s]  We got to get this on the big screen.
[6978.86s -> 6979.14s]  Hold on.
[6985.15s -> 6986.23s]  Oh, where is it?
[6988.27s -> 6988.87s]  Okay.
[6989.72s -> 6990.20s]  Here we go.
[7004.25s -> 7004.81s]  All right, here we go.
[7004.81s -> 7005.21s]  Let's see.
[7014.07s -> 7015.51s]  Did your name's a bad look for me, man.
[7015.79s -> 7016.63s]  I'm just going to say it right now.
[7027.16s -> 7028.00s]  I don't know him.
[7033.02s -> 7034.22s]  That's so stupid.
[7034.54s -> 7035.06s]  I love it.
[7035.58s -> 7036.46s]  He's flipping me off.
[7037.66s -> 7039.10s]  Oh, you can see him like pull out.
[7044.28s -> 7045.44s]  Oh, that's great.
[7047.49s -> 7049.05s]  Oh, that's, I love that.
[7049.25s -> 7049.89s]  That was amazing.
[7055.55s -> 7055.87s]  Okay.
[7056.79s -> 7061.21s]  So, uh, let's get back to the game.
[7068.31s -> 7068.67s]  What was that?
[7068.67s -> 7070.19s]  What was the, I want to know what, what was I doing?
[7071.00s -> 7071.76s]  I forget what I was doing.
[7072.44s -> 7073.00s]  Back to business.
[7073.00s -> 7073.20s]  Yeah.
[7073.36s -> 7073.60s]  Yeah.
[7073.64s -> 7073.84s]  All right.
[7073.84s -> 7074.20s]  Back to this.
[7075.26s -> 7076.70s]  He stayed full screen after that.
[7076.70s -> 7077.54s]  Cause he was in the middle of it.
[7082.78s -> 7083.62s]  Oh, I need the music.
[7084.36s -> 7086.08s]  Can't just have no music on what's going on here.
[7096.22s -> 7096.58s]  Okay.
[7098.04s -> 7102.24s]  So stay with the plan.
[7115.28s -> 7117.20s]  I'm doing this and I'm, I, this is it.
[7118.37s -> 7124.28s]  I'm having fun with this, but I want to do this tutorial in armored
[7124.28s -> 7125.36s]  core and then turn my stream off.
[7139.14s -> 7140.22s]  The battery in the corner.
[7140.26s -> 7140.78s]  Yo.
[7140.78s -> 7141.02s]  Yup.
[7141.02s -> 7141.18s]  Yup.
[7141.18s -> 7141.34s]  Yup.
[7141.34s -> 7141.50s]  Yup.
[7141.50s -> 7141.70s]  Yup.
[7142.38s -> 7142.94s]  Oh, yup.
[7159.62s -> 7164.31s]  We do not want that Nyan duck to touch this.
[7164.31s -> 7165.31s]  Hopefully this is a good spot.
[7170.40s -> 7177.64s]  We need the metal duck yet.
[7177.64s -> 7178.56s]  Wooden duck right now.
[7179.16s -> 7182.82s]  Um, wouldn't, what was the process to get wooden duck?
[7182.82s -> 7183.50s]  I need to break this.
[7183.50s -> 7184.02s]  Let me break it.
[7185.16s -> 7185.32s]  Wait.
[7185.32s -> 7186.60s]  I can't break that without metal duck.
[7187.51s -> 7188.27s]  I think I have to keep going.
[7192.25s -> 7192.77s]  Ah, that's right.
[7192.77s -> 7193.13s]  It's a button.
[7193.25s -> 7193.61s]  Thank you.
[7193.77s -> 7194.17s]  Appreciate it.
[7205.86s -> 7206.26s]  Oh my God.
[7206.26s -> 7206.78s]  I've lost it.
[7207.10s -> 7207.86s]  Lost my touch here.
[7215.48s -> 7216.60s]  Looking good so far.
[7219.77s -> 7235.92s]  So now, now I just need to get enough points to get, uh, you know,
[7256.80s -> 7260.67s]  that's just putting up like fucking like Lord of the Rings.
[7263.21s -> 7264.41s]  Would we both get banned?
[7284.09s -> 7284.45s]  Okay.
[7285.10s -> 7286.14s]  I think we're close.
[7288.15s -> 7288.35s]  All right.
[7288.35s -> 7292.80s]  Do not bounce into the corner at all.
[7297.20s -> 7298.04s]  We're going to continue.
[7298.72s -> 7299.40s]  What do you mean ruined?
[7299.44s -> 7299.68s]  What?
[7303.57s -> 7304.61s]  Upgrade the normal duck.
[7305.33s -> 7306.05s]  Guard the corner.
[7306.25s -> 7307.81s]  No, it is this it's blocked over there.
[7308.84s -> 7309.04s]  Okay.
[7309.04s -> 7311.56s]  We have to, we got to hurry up because we need to start.
[7311.56s -> 7313.48s]  We need to, we need the blue duck.
[7316.36s -> 7317.64s]  Then we got to get rid of all the lights.
[7334.53s -> 7335.09s]  Did I fuck it up?
[7341.40s -> 7342.12s]  Don't break this.
[7344.59s -> 7346.27s]  What poke stream in your corner?
[7347.70s -> 7350.87s]  I can't, I can't do that.
[7355.69s -> 7356.57s]  You just broke it.
[7357.85s -> 7359.85s]  I'm paying attention to too many things right now.
[7362.17s -> 7364.01s]  I, I need the blue duck.
[7364.05s -> 7365.33s]  I'm, I'm going with what I know.
[7374.32s -> 7376.60s]  His Sims queue is full right now.
[7376.92s -> 7378.36s]  You, that is a good way to put it.
[7378.36s -> 7378.84s]  Seriously.
[7381.77s -> 7383.05s]  Actually a great way to put it.
[7384.32s -> 7385.16s]  Did we get that way though?
[7385.24s -> 7385.68s]  Honestly?
[7385.80s -> 7386.60s]  No, like joking around.
[7390.52s -> 7390.72s]  Okay.
[7390.72s -> 7397.29s]  Here comes now the strategy that that chatter said, don't you dare touch that.
[7421.47s -> 7422.67s]  You cannot upgrade the wooden one.
[7422.67s -> 7425.56s]  Unfortunately, it's not upgradeable.
[7431.55s -> 7432.59s]  I think I need like 5,000.
[7448.04s -> 7450.08s]  What pokes webcam on your stream?
[7453.22s -> 7463.41s]  Oh, but that would mean poke would have to be full cam for me to do that.
[7467.56s -> 7470.04s]  Hey, we'd have to be full cam pretending to play this game.
[7471.29s -> 7472.33s]  I don't think that's going to happen.
[7473.09s -> 7474.97s]  No, poke is, is playing dark and dark.
[7474.97s -> 7475.81s]  He's probably having a good time.
[7478.67s -> 7479.15s]  Crop it.
[7479.15s -> 7485.22s]  So you can crop it.
[7490.82s -> 7491.78s]  Now you've got me.
[7491.82s -> 7493.14s]  Now you got me interested.
[7494.44s -> 7495.20s]  All right.
[7495.20s -> 7495.88s]  Hold on.
[7495.92s -> 7496.84s]  This is going to take a minute.
[7496.84s -> 7497.92s]  Don't tell him we're doing this.
[7497.92s -> 7501.48s]  I know you, you guys are going to just, you guys are going to rat us out.
[7502.00s -> 7522.84s]  Okay.
[7522.84s -> 7523.56s]  This is going to take a second.
[7523.56s -> 7524.36s]  Cause I'm going to crop it.
[7524.48s -> 7538.88s]  Well, you know, try to stop talking to, don't tell him I'm going to stop talking
[7538.88s -> 7541.60s]  to, this is going to be actually fucking hilarious.
[7541.96s -> 7542.56s]  Hold on a second.
[7550.87s -> 7553.15s]  Nobody blow this because this might be very funny.
[7554.92s -> 7556.20s]  He's going to be talking about the game.
[7556.24s -> 7558.36s]  His game is going to be like, what is he talking about?
[7560.07s -> 7560.47s]  Okay.
[7560.55s -> 7561.03s]  Hold on.
[7561.35s -> 7566.82s]  You need this to be bigger.
[7572.47s -> 7572.95s]  Turn it up.
[7577.75s -> 7578.71s]  I have to do this quick.
[7578.71s -> 7580.91s]  Cause the background in his stream is going to change.
[7587.89s -> 7588.37s]  Okay.
[7588.37s -> 7590.85s]  Where is this?
[7597.74s -> 7597.98s]  Shit.
[7597.98s -> 7598.66s]  That's not the right one.
[7602.16s -> 7602.52s]  Okay.
[7603.47s -> 7604.23s]  Give me a sec.
[7612.45s -> 7614.09s]  It's important that nobody blows this.
[7619.10s -> 7619.74s]  Keep chilling.
[7620.26s -> 7621.06s]  You guys are doing great.
[7621.26s -> 7622.14s]  You guys are doing great.
[7626.67s -> 7627.91s]  You guys are doing great right now.
[7627.91s -> 7628.43s]  Just hold on.
[7648.32s -> 7648.68s]  Where is he?
[7675.45s -> 7676.25s]  Rat pendant.
[7676.29s -> 7677.85s]  I'm going to go for it one time, guys.
[7679.89s -> 7681.93s]  Wait, isn't rat resourcefulness?
[7682.25s -> 7683.61s]  This could be very useless, right?
[7685.00s -> 7686.80s]  Resourcefulness could be very useless.
[7687.87s -> 7689.91s]  Wait, resourcefulness is that right guys?
[7694.00s -> 7694.28s]  Yeah.
[7694.28s -> 7695.76s]  It's probably the worst one too.
[7697.15s -> 7701.86s]  But what if it's at a 900 gold, 900 gold?
[7702.90s -> 7703.34s]  Oh shit.
[7703.34s -> 7704.50s]  My food's here, guys.
[7705.44s -> 7708.24s]  I gotta go to a laughing face.
[7712.81s -> 7713.57s]  I look at my food.
[7724.84s -> 7725.12s]  Oh shit.
[7725.12s -> 7725.64s]  I can't move.
[7725.92s -> 7727.80s]  Oh, he's getting food.
[7741.72s -> 7742.60s]  He's getting food.
[7742.64s -> 7743.44s]  We can't move.
[7744.00s -> 7745.32s]  Wait, the face cam's not even right.
[7745.44s -> 7745.68s]  Fuck.
[7745.68s -> 7746.00s]  Hold on.
[7746.16s -> 7761.61s]  I got McDonald's.
[7766.00s -> 7766.76s]  I turn off the blue.
[7767.20s -> 7769.52s]  Don't never buy no weed from the gas station, bro.
[7769.88s -> 7770.20s]  Wow.
[7770.20s -> 7771.76s]  45 months in the pond.
[7771.76s -> 7772.60s]  Love you, man.
[7783.02s -> 7784.30s]  Hey, when does he notice though?
[7788.02s -> 7788.94s]  Hope he's making coffee.
[7792.00s -> 7792.92s]  Okay.
[7806.72s -> 7807.64s]  Wait, what's going on here?
[7812.60s -> 7813.04s]  What?
[7815.74s -> 7816.62s]  Wait, what's going on here?
[7819.86s -> 7820.46s]  Yo, what?
[7821.61s -> 7821.93s]  What?
[7825.52s -> 7829.40s]  I, uh, so I think what's going on with the, you know what?
[7830.38s -> 7831.46s]  I think it was bugged for a second.
[7831.46s -> 7832.10s]  Did you guys see that?
[7833.37s -> 7835.05s]  There's probably internet, something going on with the internet.
[7835.29s -> 7838.33s]  I, uh, heard that there's like an internet, like Ross thing today.
[7839.39s -> 7842.31s]  There's like a, like a cross, like some wires or something today.
[7845.56s -> 7846.52s]  Guys, well, we got food.
[7846.52s -> 7851.16s]  So let's just react to Derma now while we have eat food, but to react to my
[7851.16s -> 7852.48s]  favorite streamer and eat food.
[7852.48s -> 7860.74s]  And what, while we have like a little bit, like a little bit, but to react
[7860.74s -> 7873.66s]  to my favorite streamer, while we have like a little bit, what's happening?
[7886.94s -> 7890.76s]  Is he, was it me on his computer?
[7895.20s -> 7895.88s]  I can't hear him.
[7895.88s -> 7896.24s]  Talk.
[7896.24s -> 7896.84s]  Is it bug?
[7896.84s -> 7900.61s]  Is he, is it me on his computer?
[7905.05s -> 7905.73s]  I can't hear him.
[7905.77s -> 7906.89s]  Oh, is it buggy?
[7908.60s -> 7910.00s]  No, I just got to hit this duck more.
[7910.04s -> 7910.72s]  That's all I got to do.
[7911.80s -> 7912.92s]  We're just doing this duck thing.
[7912.92s -> 7916.40s]  And if this, if I restart one more time and get this battery hitting this, uh,
[7917.24s -> 7919.88s]  that, that duck thing, you know, it's going to piss me off more.
[7919.88s -> 7921.20s]  That's all I got to get this right.
[7921.24s -> 7922.80s]  Duck here, guys, duck thing.
[7922.80s -> 7926.24s]  And if this, if I restart one more time and get this battery hitting this, uh,
[7927.04s -> 7929.68s]  that, that duck thing, you know, it's going to piss me off more.
[7929.72s -> 7931.00s]  That's all I got to get this right.
[7931.04s -> 7932.60s]  Duck here, guys, duck thing.
[7932.68s -> 7935.76s]  And if this, if I restart one more time and get the battery hitting this.
[7935.80s -> 7939.16s]  Uh, that, that duck thing, you know, it's going to piss me off.
[7942.60s -> 7949.32s]  I feel really strong about this in my, uh, my arms hurt.
[7949.48s -> 7950.72s]  I've been a sore.
[7952.12s -> 7953.16s]  I've been sore.
[7953.16s -> 7956.68s]  And, uh, I've just, you know, yeah.
[7956.68s -> 7962.56s]  Oh, yeah, I've been just really sad about what is going on in the community of us
[7963.08s -> 7966.60s]  You know, but it's okay. We can get through this. I
[7967.16s -> 7969.52s]  Don't even know if he's hearing me right now
[7969.68s -> 7976.62s]  my butt
[7976.62s -> 7983.57s]  with enough time guys, we can get through this duck stuff and
[7986.09s -> 7987.37s]  I am
[7987.37s -> 7991.36s]  Gonna address the swollen balls allegations very soon
[7991.96s -> 8012.19s]  Jerma, what are you doing?
[8013.07s -> 8022.72s]  I don't know. I just kind of went off the rails. I'm sorry. I just want to eat my food man. I'm sorry
[8022.72s -> 8024.72s]  It's just kind of went off the rails
[8026.61s -> 8031.85s]  You got McDonald's though, enjoy your McDonald's I love McDonald's
[8034.97s -> 8046.94s]  All right, I closed a spring let's finish this out now the game is really fun poke
[8046.94s -> 8060.78s]  I don't know if you're still watching but that's fun. All wild Nyan cat is in the background makes that better
[8063.40s -> 8067.12s]  Oh
[8071.87s -> 8082.54s]  That was it that was a good that was really good that was a good call on his part. Okay, so I
[8084.66s -> 8094.54s]  What did I have to do
[8094.54s -> 8110.66s]  Get rid of that. It already upgraded. How did it upgrade twice already? What how how did I have this much negligence?
[8111.26s -> 8121.52s]  Okay. All right. I gotta get this back on track. I need the metal one. All right
[8121.52s -> 8123.52s]  No, no, no, no the chatter said to do it like this
[8123.64s -> 8127.82s]  Here we go, we're gonna make a bunch of
[8128.46s -> 8130.26s]  We have to make a bunch of babies
[8130.26s -> 8140.36s]  At least what 20 or 30 metal is already upgraded. Oh, yep. Okay. Oh, so it's over. Oh, it's over
[8140.36s -> 8151.78s]  Okay, it's actually over because it was already upgraded already upgraded
[8156.74s -> 8159.87s]  Okay, we're gonna play armored core. That was really fun
[8159.87s -> 8167.67s]  I did not think I was gonna get two hours out of this, but I did that was really fun
[8169.52s -> 8172.52s]  Poke recommendation. I'm gonna give this in a minus
[8177.12s -> 8182.23s]  All right, let's play armored core. That was fun. I enjoyed that
[8182.87s -> 8194.36s]  Okay, let me let me actually do a beer beef. I'm gonna pee refill my water and I okay
[8194.36s -> 8197.24s]  the armored core section of this stream is gonna be like
[8197.84s -> 8214.17s]  Not even 40 minutes. So I'll see you for armored core 6 in about 2 minutes. I promise
[8214.17s -> 8216.17s]  I'm not gonna leave you with this
