[0.57s -> 2.84s]  How are you doing?
[14045.14s -> 14046.02s]  eat
[14046.02s -> 14047.14s]  re
[14047.14s -> 14050.98s]  Eat re whatever
[14050.98s -> 14053.56s]  You want to bet?
[14053.56s -> 14054.70s]  um
[14054.70s -> 14058.14s]  I don't why do I think that batman's like purple? No, he had like purple underwear
[14060.12s -> 14068.54s]  Yeah, pat batman had purple underwear. He's like a purple speedo, right?
[14072.06s -> 14074.06s]  No robin had a red speedo on
[14076.81s -> 14080.39s]  um
[14080.39s -> 14082.15s]  He had purple somewhere
[14082.15s -> 14086.07s]  He's like legs his boots or something purple boots
[14086.71s -> 14098.63s]  No batgirl is purple. Is it?
[14101.69s -> 14104.10s]  Wait a minute. Hold on. Are you freaking me out?
[14106.31s -> 14108.12s]  batman
[14108.12s -> 14112.54s]  60s
[14112.54s -> 14114.94s]  And I swear to god he had like purple something
[14119.32s -> 14121.53s]  Um
[14121.53s -> 14128.44s]  No, he's not purple. Well, yeah, he kind of is. Yeah. Yeah, it is it is it's yeah it is he's purple
[14131.59s -> 14132.79s]  Yeah, he is
[14132.79s -> 14136.57s]  Why is everybody gaslighting me?
[14137.77s -> 14140.17s]  He's purple like he's completely purple
[14140.89s -> 14149.66s]  There ain't nothing here but purple
[14155.66s -> 14157.82s]  He's going completely fucking purple
[14161.42s -> 14163.42s]  Except for the yellow in the middle
[14163.58s -> 14170.87s]  And why is he on an elmo phone?
[14175.37s -> 14179.32s]  That's blue. That is
[14179.32s -> 14181.32s]  That's not blue. That's purple
[14183.66s -> 14188.22s]  That's purple. How is that blue? You think that's blue? Yeah, you say get your screen check
[14188.22s -> 14190.22s]  Some of you guys need to get your eyeglasses examined
[14190.62s -> 14195.85s]  That's purple
[14195.85s -> 14199.93s]  That's lilac. Okay. All right. I've heard about enough
[14201.16s -> 14203.16s]  I've heard just about enough
[14203.64s -> 14205.64s]  It's lilac
[14214.70s -> 14215.90s]  Lilac
[14215.90s -> 14218.97s]  No, it's not purple. It's fuchsia
[14223.59s -> 14225.59s]  No, it's lavender jeremy
[14235.77s -> 14238.01s]  Take the colorblind test already did and I got 100 on it
[14241.10s -> 14245.66s]  I got one of the highest scores you could possibly possibly get on that test. It was like a 150
[14246.46s -> 14257.85s]  100 percent colorblind. No
[14262.07s -> 14266.95s]  Silent
[14266.95s -> 14269.99s]  Hi, who's the where's the boss? I want to see the first boss penguin, right?
[14270.71s -> 14285.67s]  Don't die. Oh, you're actually you guys are listening. Well, very very you guys are very very good listeners right now
[14286.23s -> 14292.55s]  That guy was just smoking a cigarette. I'm not even sure he's a bad guy
[14292.55s -> 14294.55s]  But whatever you're in batman's way get out of the way
[14295.19s -> 14298.34s]  If you see batman fucking sprinting down
[14300.82s -> 14302.42s]  You get out of his way
[14302.42s -> 14304.42s]  um, I don't know who this is but
[14304.50s -> 14308.92s]  They got me
[14308.92s -> 14312.28s]  I think this is just a uh, extra bad guy. This is not like a batman character
[14313.51s -> 14331.18s]  All right
[14331.18s -> 14333.18s]  It's so it's fucking so hard
[14334.55s -> 14340.28s]  fake fan
[14340.28s -> 14345.72s]  Am I a fake fan? We're not knowing who that is star force
[14346.42s -> 14348.42s]  astro robo sasa
[14349.61s -> 14352.06s]  Yes
[14352.06s -> 14359.34s]  sasa
[14359.34s -> 14365.82s]  Live-action batman television series of the 1960s starring adam west featured a blue purple and gray version of the batsuit with the cape shortened
[14365.90s -> 14370.58s]  Thank you
[14370.58s -> 14372.58s]  Uh, what is it? What am I doing?
[14378.84s -> 14401.62s]  Um, this doesn't reach
[14401.62s -> 14410.26s]  I did it. This is kind of cool. Look at that cow down there. Look at how cool that cow is
[14411.37s -> 14413.37s]  Oh my god. I love this one
[14413.61s -> 14416.42s]  Look at he's like hello. It should be mr. Cow
[14417.06s -> 14425.75s]  I love that cow
[14425.75s -> 14432.34s]  I get the cow too. It was a detective comics
[14433.38s -> 14442.52s]  Yeah, he's purple. It's purple dude. Oops
[14443.16s -> 14460.14s]  This is the same level. Did I not do it stage four? I didn't they get all these e's
[14464.06s -> 14466.70s]  Destroy the balls leading up to the knock the tower down
[14467.34s -> 14474.71s]  And I just fly in there
[14474.71s -> 14484.89s]  Uh, I don't know. What do I do? I don't know what that does
[14485.53s -> 14490.28s]  Give me like powers
[14490.28s -> 14503.77s]  destroy the wall
[14504.01s -> 14505.13s]  powers
[14505.13s -> 14512.63s]  Oh wait, I can what's the point of the balls then if I can just break this? What was the point of the walls?
[14523.26s -> 14525.26s]  the store p
[14525.26s -> 14527.26s]  Oh
[14527.74s -> 14533.34s]  Come on dude, why of all the things do I have to think about that one?
[14550.70s -> 14558.41s]  Nice, ah, yeah, that was that was good. That was very good. You get that one. Absolutely
[14565.69s -> 14572.30s]  That was that was very good. All right, this one's cute, but I think i'm done
[14575.16s -> 14576.36s]  What the hell?
[14576.36s -> 14590.04s]  Yeah, that was fun. Let's get a random one
[14592.09s -> 14594.73s]  Two three four. We're going four. Oh nine
[14599.99s -> 14603.48s]  spider-man one
[14603.48s -> 14629.58s]  Okay stage one three lives spider-man. Oh, what did I think I lost? Okay, I can
[14630.14s -> 14643.14s]  All right. I get it. I get it. So you got to climb around. This is definitely, uh green goblins
[14644.26s -> 14645.94s]  Design work. I know it
[14645.94s -> 14660.97s]  The song is awful for a spider-man. This should be way more upbeat
[14664.12s -> 14674.74s]  This does not feel like spider-man music at all. And when does this end the enemy has full health?
[14676.70s -> 14697.03s]  What enemy am I supposed to be shooting at enemy full health? Well, I want to see spider-man too for oh, sorry
[14705.70s -> 14710.41s]  Different pose and this time we're climbing on the wall. Okay
[14711.74s -> 14714.16s]  That's doll. That's dr. Octopus
[14718.98s -> 14720.98s]  Okay, I have homing missiles
[14721.74s -> 14723.18s]  If he touches me, I
[14723.18s -> 14730.50s]  Okay, just spam a and you'll win. All right, beat him stage two dr. Octopus again
[14731.30s -> 14735.96s]  I guess
[14735.96s -> 14739.08s]  Oh my god, this is painful stop doing that
[14745.02s -> 14747.02s]  Stage three dr. Octopus again
[14747.10s -> 14752.70s]  Are we ever going to see another character?
[14752.70s -> 14756.06s]  There's a glitch right if you get to the top left part of his shoulder you can spam it
[14756.70s -> 14761.85s]  It's the only place you can do that. Let's get right to the top left shoulder area here
[14765.43s -> 14767.43s]  If he would stop doing that
[14769.34s -> 14784.78s]  Stage five dr. Octopus
[14784.78s -> 14787.66s]  I don't think there's anything else. I don't think this one has anything else in it
[14795.83s -> 14799.51s]  Every time he touches you it resets the whole game. Holy shit. This is awful
[14800.23s -> 14804.12s]  I'm gonna after stage 10 if it's still dr. Octopus. I'm leaving
[14813.91s -> 14816.33s]  Nope. All right stage eight
[14823.74s -> 14827.58s]  He has so much health as this goes forward. Oh my god
[14828.30s -> 14841.85s]  Okay stage 10. This is gonna be it. It's gotta be the last one
[14842.41s -> 14850.42s]  It looks like a stink bug. He yeah, he does
[14851.06s -> 14857.27s]  It's that one spot on the shoulder though. All right, what if I'm still here just i'm gonna turn the volume down
[14857.59s -> 14859.59s]  I need to see what happens after 15
[14866.62s -> 14876.30s]  Let me get i'll use 20 once I get to 20. That's it. Fuck. He's he's shooting more
[14879.29s -> 14881.37s]  It's 20 i'll get 20 when it gets 20 20 is over
[14882.82s -> 14884.66s]  25 well
[14884.66s -> 14903.19s]  Hold on. Oh, by the way, I don't have to tap it. Hold on if I hold it. It does it too. Wait a minute
[14909.64s -> 14917.16s]  And if I hit the turbo button what happens? No, it's faster without turbo
[14926.73s -> 14949.13s]  19 last one. Okay, let's say is it is it last one? I promise you lost a thousand years. I'm sorry
[14949.13s -> 14956.82s]  I wanted to see what was gonna happen. I want to see if we got another boss or is it do 420?
[14956.82s -> 14972.39s]  All right, fine. I'll do the funny meme number wonder ball. A lot of them have the same format here. Okay wonder ball
[14973.11s -> 14985.86s]  I think i'm winning
[14985.86s -> 14992.25s]  Absolutely. No idea what's going on. I'm not controlling anything. I'm not shooting that i'm not firing it. It's just doing it on its own
[14995.00s -> 15003.90s]  This is randomly ai generated music. I think this is just a little toy. That's fun to look at for kids or something
[15006.58s -> 15016.25s]  I don't have control of this. I don't have control of this
[15020.47s -> 15022.15s]  I can pause the game
[15022.15s -> 15028.38s]  How's your sunday going? It's doing pretty good. Hope your sunday's going well. I can't this is not a video game
[15028.38s -> 15032.01s]  I can't play it
[15032.01s -> 15035.27s]  Sing wonder wall
[15035.27s -> 15037.27s]  I don't know the lyrics. I just know how it goes
[15041.83s -> 15045.99s]  Hmm chubby cherub. Yeah, let's do chubby chubby cherub
[15047.64s -> 15051.61s]  uh, um
[15051.61s -> 15062.38s]  This must be cupid. I don't get it
[15064.86s -> 15092.33s]  What's about the dogs? Holy shit. The baby got stuck on the power line. Oh, no
[15093.05s -> 15095.75s]  No, no, no
[15095.75s -> 15101.82s]  dead fox gorilla war gobble bobble. This is bubble bubble tube
[15104.79s -> 15109.35s]  Now it is beginning of a fantastic story. Let's make a journey to the cave of monsters. Good luck
[15111.75s -> 15115.45s]  Oh, hell. Yeah
[15115.45s -> 15117.45s]  It's just bubble bubble too
[15121.98s -> 15123.98s]  Oh, man, I cannot contain
[15124.46s -> 15126.54s]  The pogs that are coming out of my mouth right now
[15129.40s -> 15132.78s]  See in six hours
[15132.78s -> 15134.78s]  When i'm not streaming
[15136.38s -> 15138.87s]  I'm probably lying down in my bed
[15138.87s -> 15141.51s]  I in fact probably an hour from now. I probably will be doing that as well
[15142.49s -> 15150.01s]  So i'm not gonna see you though. The stream will have been completely ended by then
[15150.33s -> 15152.33s]  For at least a few hours at least
[15152.33s -> 15158.38s]  Come on, I gotta get up there
[15158.38s -> 15165.18s]  Come on, get up there
[15165.18s -> 15166.46s]  Get up there
[15166.46s -> 15179.75s]  Oh wait, do a bed stream to erase the debt
[15180.47s -> 15183.03s]  I'm not gonna do a bed stream
[15186.30s -> 15188.30s]  How can you not like it? It's got candies
[15188.46s -> 15194.20s]  What would I do though? Like what do you want me to do for that?
[15194.84s -> 15197.21s]  Just lie down in bed
[15201.53s -> 15207.61s]  Sleep, I don't think you can do that. I maybe wait. Yeah, I can do that if I don't like give a notification out, right?
[15209.86s -> 15211.86s]  And you're not allowed to sleep on twitch
[15211.86s -> 15213.86s]  With uh as long as you don't
[15213.86s -> 15220.90s]  Something like that
[15220.90s -> 15223.14s]  You would play on the ipad until you get really sleepy
[15223.86s -> 15227.38s]  Oh, I love the thing. Yeah the slide best part
[15231.05s -> 15234.01s]  You watch somebody sleep on twitch. Yeah, but this is that that's like
[15234.49s -> 15237.53s]  Five and a half years ago or something before like all these rules were in place
[15240.14s -> 15245.18s]  Yeah, I told you that this dude was sleeping on stream and somebody was spamming this wicked loud piano
[15245.66s -> 15249.26s]  In his ears and he wasn't awake. It was like the most ridiculous thing i've ever seen in my life
[15249.66s -> 15251.82s]  He had headphones on
[15251.82s -> 15255.98s]  and somebody was just spamming this loud smashing on the piano music just like
[15258.70s -> 15261.82s]  It was so loud
[15261.82s -> 15265.10s]  And this dude's just sitting there with his eyes closed sleeping with the headphones on
[15265.66s -> 15281.13s]  I remember just sitting there laughing my ass off going like what is what is going on?
[15282.78s -> 15284.46s]  Like what happened?
[15284.46s -> 15290.42s]  How did we get here?
[15290.42s -> 15297.75s]  That really is fireman in there. He's a jump. Come on jump
[15303.66s -> 15306.09s]  There we go. No
[15309.24s -> 15310.82s]  No
[15310.82s -> 15312.17s]  No
[15312.17s -> 15313.13s]  No
[15313.13s -> 15321.24s]  Can I get can I kill? Oh my fucking god actually getting annoyed by this getting actually kind of annoyed by this one
[15328.17s -> 15346.18s]  How do I kill him? How do I get him? You don't well, how do I clear the stage?
[15349.67s -> 15351.19s]  Jump into that
[15351.19s -> 15362.97s]  other side with the bubbles
[15367.30s -> 15369.30s]  Yeah, I think I can I get them to
[15372.54s -> 15375.02s]  He sucks. Oh the controller sucks
[15380.47s -> 15383.99s]  I know I an inefficient guy blames his tools
[15384.47s -> 15386.47s]  No, you blame the shitty controller
[15386.71s -> 15389.14s]  This is how I control the avatar
[15389.30s -> 15395.38s]  If you were using a toothbrush to hammer a nail in you would blame the tool
[15400.57s -> 15418.17s]  I don't understand what's going on jump from below
[15422.31s -> 15424.95s]  Just press left six times and I didn't move left
[15426.12s -> 15429.96s]  All right, it's time. It's time. It's time. It's time to get very angry
[15432.22s -> 15446.78s]  Can I go up this way?
[15446.78s -> 15456.50s]  I'm done. I'm gonna smash something. No, I don't know. They just the the left on this I I whatever
[15457.06s -> 15464.58s]  I could say that like it doesn't matter doesn't matter. We're playing wampum now
[15470.81s -> 15482.01s]  Wampum dreamer can't beat bubble bobble and thinks batman is purple
[15486.09s -> 15488.09s]  He is he is purple
[15488.81s -> 15498.06s]  This one's kind of I like this one though
[15498.06s -> 15501.00s]  Can I jump on them?
[15504.84s -> 15507.32s]  Lilac lilac lilac lilac
[15508.20s -> 15516.14s]  I just love computer games
[15516.14s -> 15529.69s]  Anybody else love computers? What's your guys favorite color of blue?
[15530.33s -> 15532.66s]  Mine's teal
[15532.66s -> 15534.07s]  Aqua
[15534.07s -> 15536.57s]  Aqua's my favorite
[15536.57s -> 15540.01s]  I don't think that's the actual color. I think that's me saying that I like aqua
[15546.18s -> 15548.18s]  Royal. Yeah, royal blue is good, too
[15549.98s -> 15562.10s]  Good call
[15562.10s -> 15567.74s]  Electric blue. What is electric blue?
[15569.83s -> 15574.18s]  and health
[15574.18s -> 15576.74s]  batman blue
[15577.54s -> 15581.94s]  All right fire test ice ritual secret cliff water test
[15582.50s -> 15597.35s]  Magic forest or sacred woods. I think we have to go to secret cliff. This is just a good nintendo game
[15599.93s -> 15601.93s]  No frills or anything
[15601.93s -> 15609.35s]  No weird shit
[15609.35s -> 15611.99s]  fine good
[15611.99s -> 15626.76s]  Um, I don't know why these up. Oh these tnts. That's got full health somehow how it's buzzwords
[15627.32s -> 15638.31s]  Can I hit somebody going up?
[15638.31s -> 15640.31s]  Move left. Oh
[15640.55s -> 15644.89s]  Making me very upset that this left doesn't work when I want it move
[15647.40s -> 15648.68s]  Oh boy
[15648.68s -> 15663.53s]  Here comes the goblin define left
[15666.12s -> 15669.64s]  Okay, I will define left starboard there you go
[15682.15s -> 15688.17s]  bow mast starboard port what's what's right
[15689.27s -> 15691.19s]  Starboard is right. What's left?
[15691.19s -> 15698.63s]  What actually is left?
[15698.63s -> 15704.78s]  port port side starboard side
[15707.83s -> 15712.28s]  Oh my god
[15712.28s -> 15715.24s]  I still love seeing the uh dev in chat
[15715.96s -> 15718.01s]  stuff
[15718.01s -> 15720.01s]  People are still just writing it
[15720.57s -> 15724.42s]  It's like dude. He's not here man. He's not here
[15726.07s -> 15728.07s]  They're not here. They're not here
[15730.68s -> 15732.36s]  Fuck this thing sucks
[15732.36s -> 15750.49s]  Hold on. Wait, wait, wait, wait, wait. I'm gonna get it. This feels like the rage part of a mario maker level
[15764.79s -> 15773.11s]  Epic rage. All right, we're gonna go through we're gonna do
[15774.09s -> 15775.61s]  Oh shit. Hold on
[15775.61s -> 15778.81s]  Against the enemy ball
[15779.37s -> 15790.82s]  Oh, no, it's a guy
[15790.88s -> 15795.81s]  83 what's 83?
[15798.12s -> 15818.84s]  arab arabian l
[15822.58s -> 15833.35s]  Uh, it's just to collect the word the letters. All right. I'll just dump them over starboard side. You guys know what I mean?
[15848.26s -> 15849.70s]  Come on
[15849.70s -> 15853.77s]  Come on
[15853.77s -> 15857.45s]  What what was so wrong with that? It was a callback to 10 minutes ago
[15859.05s -> 15860.57s]  bonus horse
[15860.57s -> 15876.28s]  This guy's kind of fun. You get a bonus if you spell the word right. Oh, okay
[15876.84s -> 15887.27s]  This one hurts my head
[15887.27s -> 15888.15s]  um
[15888.15s -> 15894.94s]  Okay, that was fun. All right. What do you guys think chat's choice? What do you think? Let's go
[15897.35s -> 15905.27s]  I know you guys have seen some that you want me to play pikachu pikachu pikachu pikachu pikachu
[15908.07s -> 15916.10s]  Where's pikachu? I see rocking cats though. I see banana prints. Let me override you real quick
[15919.32s -> 15921.32s]  Dice is died top
[15922.04s -> 15928.98s]  And I didn't would um, is this german chose with a height?
[15929.78s -> 15931.54s]  war
[15931.54s -> 15933.86s]  And it's it's banana klar
[15935.91s -> 15940.23s]  Yeah, and die banana in sin act good quack quack
[15946.39s -> 15947.75s]  Oh nine
[15947.75s -> 15952.09s]  It is poverty college. Oh, no
[15955.91s -> 15960.60s]  banana prince
[15960.60s -> 15964.15s]  Oh nine
[15964.15s -> 15967.35s]  How do what do I do? The screen is shaking this hurts to look at
[15972.34s -> 15974.34s]  So they took the big banana
[15974.42s -> 15978.84s]  I'm getting a shitload of artifacting
[15986.87s -> 15988.87s]  But now here come the banana bros
[15993.53s -> 15995.77s]  somebody speaks german and it was just
[15996.65s -> 15999.61s]  In a tab somewhere and they're just like why is he speaking fucking german?
[16001.27s -> 16002.47s]  vending machine
[16002.47s -> 16004.31s]  Hmm. Welcome
[16004.31s -> 16006.74s]  Nim it's den
[16006.74s -> 16011.38s]  I'll take the bananas, please. It's been weirder. Da mit allen bananen
[16012.87s -> 16013.83s]  you asked
[16013.83s -> 16015.03s]  niched
[16015.03s -> 16017.43s]  a good good new good range
[16018.54s -> 16020.70s]  You asked you should get new range
[16021.34s -> 16024.06s]  You have to I I don't have enough money. I think this is that says
[16024.70s -> 16033.21s]  Okay ish wages
[16033.21s -> 16035.77s]  Why is this in german though of all things?
[16038.92s -> 16047.94s]  Code wart how do I get up there? That's such a hard jump
[16049.59s -> 16075.67s]  Excuse me
[16075.67s -> 16079.46s]  You can't this impossible jump. This doesn't work switch characters
[16081.53s -> 16083.53s]  Uh select start
[16083.53s -> 16085.51s]  select
[16085.51s -> 16087.03s]  up down
[16087.03s -> 16088.65s]  select
[16088.65s -> 16091.59s]  The sign says b
[16091.67s -> 16093.99s]  b
[16093.99s -> 16095.19s]  b taste
[16095.19s -> 16110.82s]  What does that sign say down and b?
[16114.95s -> 16123.08s]  Yep. Holy shit. All right. Nice
[16125.27s -> 16127.83s]  Ja ja ich hab die stuf
[16128.39s -> 16131.88s]  geshaft
[16131.88s -> 16133.88s]  spryron the waft the casino
[16134.52s -> 16136.52s]  Wait a minute. What do you got over here?
[16136.84s -> 16138.84s]  What do you have over here in this game?
[16140.09s -> 16146.81s]  Welcoming i'm banana man casino in spiel in casino cost is 20 wrench. Is that okay?
[16148.17s -> 16153.18s]  Yeah, can't do direll redlin. Yeah
[16154.42s -> 16156.74s]  I'm gonna wear an was with the stew
[16158.31s -> 16159.35s]  uh
[16159.35s -> 16160.70s]  mere
[16160.70s -> 16162.71s]  Here, huh? Nishwar?
[16162.71s -> 16163.99s]  uh
[16163.99s -> 16164.95s]  six
[16164.95s -> 16166.63s]  two one
[16166.63s -> 16168.63s]  Shad tut me lead
[16169.42s -> 16171.98s]  Which do ish notch in limelwerschwin?
[16173.02s -> 16175.58s]  um
[16175.58s -> 16177.90s]  You don't go to a casino if you don't know how to speak the language
[16179.26s -> 16181.26s]  Like I have a 19 here
[16181.42s -> 16183.42s]  Uh, do you want to hit?
[16184.62s -> 16186.57s]  Yeah
[16186.57s -> 16192.06s]  I oh I okay. I don't know what you're saying, but sure
[16193.11s -> 16195.93s]  You're asking who didn't wrench. I lost
[16196.73s -> 16199.22s]  Oh my god, I gotta get more rings for the casino
[16199.54s -> 16220.57s]  I don't care about anything else. Let's not those rings get up here. Definitely hidden rings over here
[16221.90s -> 16223.70s]  Yep
[16223.70s -> 16228.04s]  Shit, I want those
[16228.04s -> 16236.10s]  You killed pickle rick
[16236.50s -> 16249.82s]  Stop, okay. Okay. I got 56 rings time to go to the casino. Oh no
[16250.46s -> 16251.50s]  prince
[16251.50s -> 16252.94s]  dubest
[16252.94s -> 16254.70s]  ver let's each
[16254.70s -> 16256.70s]  He'll dust veil gluck
[16258.18s -> 16259.70s]  who's
[16259.70s -> 16260.74s]  Ray
[16260.74s -> 16262.74s]  I got a kiss or something. I don't know
[16263.30s -> 16273.67s]  Oh my god, damn it
[16273.67s -> 16274.79s]  ring
[16274.79s -> 16280.87s]  Welcome, uh, do I want stein axed coney gaxed stern axed or maggie? Uh, how about maggie?
[16282.39s -> 16284.63s]  60 rings for maggie, uh nine
[16285.51s -> 16289.56s]  only gaxed
[16289.56s -> 16292.28s]  Only gaxed this war does much 50 rings
[16293.48s -> 16294.60s]  Yeah
[16294.60s -> 16296.22s]  villain dine
[16296.22s -> 16298.22s]  It come wider
[16299.93s -> 16302.65s]  Did I just spend 50 bucks not gambling?
[16303.21s -> 16306.01s]  Are you kidding me? What did I what did anyone translate? What does that mean?
[16306.81s -> 16320.71s]  Become wider. I don't think that's what that means. I crawl
[16321.51s -> 16322.87s]  Oh shit. Nice
[16322.87s -> 16332.66s]  That's right. It's have decided to stuff it. Fuck. I can't go to the casino. All right waf
[16334.42s -> 16336.42s]  No, I don't want I don't want to stay next
[16337.38s -> 16339.78s]  No, no, no, I don't want any waf. I don't want any waf
[16341.22s -> 16342.66s]  oh, yeah
[16342.66s -> 16343.94s]  Wafen
[16343.94s -> 16346.10s]  Wafen geshaft wafen geshaft
[16346.74s -> 16352.49s]  What is wafen geshaft?
[16352.49s -> 16355.82s]  Is a weapon store?
[16355.82s -> 16358.26s]  Wafen geshaft
[16358.26s -> 16360.28s]  weapons
[16360.28s -> 16365.16s]  Weapons store. Oh, okay. Cool. This is fun. I like like learning german with you guys. This is cool
[16368.10s -> 16370.10s]  All right. I like this one. I'm gonna play this a little bit
[16370.74s -> 16383.59s]  I don't know why it's in german, but i'm not gonna ask that question. I'm just gonna play
[16384.07s -> 16392.97s]  This dude's a true banana bro. Thanks, man
[16393.61s -> 16406.87s]  It's in here. Oh, what's the guy do? I feel like he has powers
[16407.59s -> 16409.18s]  of some sort
[16409.18s -> 16411.18s]  Oh, fuck. Come on. Come on. Come on. Whatever
[16411.98s -> 16419.16s]  I think I have infinite continues, but I want at least I want 100 rings
[16423.75s -> 16425.75s]  No, he's a corn comrade
[16425.91s -> 16440.84s]  You guys have been ridiculous. How do I get?
[16442.87s -> 16444.15s]  Oh no
[16444.15s -> 16448.62s]  All right. I don't care if there's a casino. This is my last try
[16449.26s -> 16456.84s]  And i'm playing a different one
[16456.84s -> 16466.68s]  Wait, I want these. Oh shit. I just did it get in there
[16469.43s -> 16477.50s]  Whatever glitched out pixels are getting to me. Yeah me too
[16482.41s -> 16497.37s]  Now is that because this thing's like overheating or what burbles awful rushing? Yeah
[16498.57s -> 16510.73s]  When do you say this one is it's a car one. Okay. All right
[16516.90s -> 16527.19s]  Well, it sure is awful. It's very bad. It's very awful
[16535.11s -> 16556.26s]  Play pikachu. All right. Yeah, what number was it? Where's pikachu mystery friday the 13th. Oh, hold on
[16560.31s -> 16561.85s]  Circus charlie
[16564.73s -> 16586.44s]  Where's pikachu just find it bugs war mighty final fight our banger
[16589.90s -> 16595.88s]  I didn't even play rocking cats yet. I'm playing rocking cats. Which channel will you choose?
[16598.18s -> 16602.50s]  Uh, I mean five looks really kind of like it's been pressed many times
[16606.12s -> 16613.46s]  You cannot choose this channel yet. I don't have that subscription. Okay, how about one downtown street? Is this channel? Okay?
[16614.44s -> 16622.28s]  Uh, no, how about two sky ace? Is this channel? Okay? No playland. Is this channel? Okay?
[16623.08s -> 16625.08s]  Yeah
[16625.08s -> 16635.43s]  What is this channel? Is this somebody just being just kidnapped on every channel? Okay, we're gonna do chimp sky ace
[16635.83s -> 16643.13s]  Oh boy. All right. I have a I have like a comedy glove. I like it. Let's go
[16643.69s -> 16646.44s]  This looks like um
[16646.44s -> 16656.58s]  This looks like michael meyers's cat in the hat actual game. How do I get up there?
[16657.14s -> 16660.66s]  Oh, you do a super jump cool
[16670.65s -> 16673.45s]  What the fuck just happened? I just did a swing
[16680.31s -> 16683.66s]  I hate this
[16683.74s -> 16687.58s]  I genuinely don't like this at all. I genuinely hate this
[16699.51s -> 16701.75s]  I'm gonna just try to get to the end as fast I can
[16702.47s -> 16704.15s]  I don't like this
[16704.15s -> 16719.11s]  I hate it
[16719.11s -> 16727.72s]  nice
[16727.72s -> 16734.30s]  Nice. All right. Is this the end this game was made for you, dude
[16735.18s -> 16741.86s]  I mean it was is it time to fly on is a shooting level side scroller
[16746.98s -> 16750.02s]  Well, I can't fly the plane though. All I can do is jump
[16753.29s -> 16755.29s]  You fly and put a load of the ground
[16759.05s -> 16761.61s]  He's direct hitting the plane. Isn't that bad?
[16779.32s -> 16781.32s]  What the fuck is that?
[16781.48s -> 16797.27s]  All right, pikachu
[16797.27s -> 16800.86s]  Injugate in one two three
[16800.92s -> 16802.46s]  Spider-man
[16802.46s -> 16812.09s]  Just spider-man with no number peek-a-choo. Let me look for it. Pikachu binary land. Ah
[16814.57s -> 16819.98s]  Luke lu land, uh
[16819.98s -> 16821.74s]  Hyper olympics
[16821.74s -> 16823.74s]  I don't care. I'm playing hyper olympics
[16829.86s -> 16831.22s]  Okay, who am I?
[16831.22s -> 16842.60s]  100 meter dash. How do you run? Okay, it's b. I cheated
[16842.84s -> 16883.67s]  I don't know which character I am. I don't know what character I am long jump. All right, can everybody just
[16884.54s -> 16888.14s]  Settle down and I didn't go very far, but I went real high
[16890.09s -> 16926.15s]  That has to account for something that breaks a vertical record. It's not bad. The angle's too high. Is that it hurdles? Oh fuck
[16942.20s -> 16945.08s]  My fucking hand hurts
[16945.80s -> 16959.85s]  I can't do it anymore. I can't my hand hurts. I have to play one player b. What's that mean?
[16960.09s -> 16966.39s]  Am I up top now? I wonder if it's two can I do a and b hit the turbo button?
[16966.55s -> 16970.02s]  Oh, that's right. I could just hit the I could just hold turbo
[16977.22s -> 16979.78s]  That's so unfair
[16980.98s -> 16991.64s]  See you later everyone. Hey, I qualified this time. I came back with
[16992.20s -> 17005.93s]  He's doing drugs long jump. Sure. Fuck. I'm going too fast slow down a little just a little
[17009.30s -> 17011.62s]  It's so hard to get that when you're going this fast
[17014.01s -> 17024.12s]  I'm gonna not qualify because i'm too like roided out. Oh my god. Come on, man
[17024.44s -> 17058.07s]  Really disqualified go home you lose. Hold on. I'll get it. Pikachu is 582. All right, i'll get it after this
[17058.31s -> 17080.89s]  I promise play b wings. Okay. I broke all the records. They don't even have a indicator back here
[17081.13s -> 17088.17s]  I just wanted to show you how high I could go
[17100.76s -> 17102.28s]  Better than the first one
[17102.28s -> 17112.78s]  Nope long jump completed. What's the next one hurdles? Right? Okay, I might fuck this up because i'm gonna do it
[17112.78s -> 17138.76s]  I'm gonna go too fast. Even still he's right behind me. Stop letting lizard people play in the olympics
[17139.78s -> 17163.71s]  Javelin throw. Okay, it's still going up. Stop letting lizard people play in the olympics
[17164.33s -> 17172.92s]  All right. I'm gonna do this one for real didn't even use turbo for that one. I still got it
[17173.24s -> 17189.16s]  Oh, that's gonna be good. That's a line drive, dude
[17190.28s -> 17205.72s]  Over 100. Yep. I win. Wait, why was I just running?
[17206.74s -> 17230.58s]  Wait, why am I i'm not in first place? How another 100 meter dash? Let's get the world record
[17234.47s -> 17240.87s]  Oh, I got the world record like 10 minutes ago. Okay. Oh, this is all they have
[17240.95s -> 17241.43s]  All right
[17241.43s -> 17254.58s]  Oh, he looks like he went he went down into the clubhouse and uh, we didn't see him for about 25 minutes
[17254.66s -> 17260.74s]  He came back. He beat his previous record
[17270.98s -> 17272.98s]  oh
[17273.86s -> 17277.72s]  Damn it. Oh, well, okay. Who cares? All right, pikachu
[17288.42s -> 17291.24s]  582 you say
[17291.26s -> 17293.30s]  pikachu
[17293.30s -> 17298.58s]  pikachu
[17298.58s -> 17301.48s]  It's uh, it it's like tetris or something
[17302.12s -> 17319.14s]  It's fucking tetris this one it's just tetris with pikachu in the shower. What's the sound?
[17336.49s -> 17338.23s]  Not bad
[17338.23s -> 17340.23s]  Not bad guys. This is gonna be huge
