[22.33s -> 23.67s]  Somebody said,
[9934.20s -> 9936.20s]  the best I can here. Just make it
[9936.20s -> 9941.45s]  kind of industrial. I could
[9941.45s -> 9946.06s]  paint it. Oh, it's a boat.
[9946.06s -> 9962.88s]  I think the bathtub will be fine.
[9962.88s -> 9968.96s]  Should we just use the ones we were using before?
[9968.96s -> 9976.83s]  These kind of work. I think this is actually
[9976.83s -> 9980.48s]  perfect. Alright, let's spend like
[9980.48s -> 9982.48s]  a hundred thousand dollars on this
[9982.48s -> 9984.48s]  because it's going to be almost the entire floor here.
[9984.48s -> 9989.92s]  Alright, before we do anything,
[9989.92s -> 9993.37s]  this is all open.
[9993.37s -> 9997.15s]  And there's a bunch of tables.
[9997.15s -> 10003.10s]  What happened to the farm animals?
[10003.10s -> 10005.98s]  I got bullied into
[10005.98s -> 10007.98s]  making Krusty Krab.
[10007.98s -> 10020.01s]  No, I wanted to make it.
[10020.01s -> 10030.76s]  I'm kidding. That's the nature
[10030.76s -> 10033.45s]  of House Flipper. You go in with a
[10033.45s -> 10035.45s]  design and then you do
[10035.45s -> 10037.45s]  something completely different and you don't
[10037.45s -> 10039.45s]  even start on the thing that you wanted to do.
[10039.45s -> 10046.04s]  I might get halfway
[10046.04s -> 10048.04s]  through the Krusty Krab and this might turn into a different
[10048.04s -> 10060.91s]  place. Alright, so this
[10060.91s -> 10071.32s]  is...
[10071.32s -> 10074.84s]  I'm thinking about pulling this whole
[10074.84s -> 10082.52s]  wall forward, having it be across
[10082.52s -> 10100.00s]  this way. Yeah, the whole thing has to come forward
[10100.00s -> 10109.34s]  because that will give a lot more room for the
[10109.34s -> 10111.64s]  other... Yeah, this place
[10111.64s -> 10135.84s]  can really breathe. Can you upgrade
[10135.84s -> 10137.84s]  swing speed? I can upgrade
[10137.84s -> 10139.84s]  the hammer, which I'll do that now.
[10139.84s -> 10149.16s]  So the hammer's better. Yeah, that's much better.
[10149.16s -> 10155.05s]  Can we get a plankton voice?
[10155.05s -> 10157.05s]  You want me to do plankton?
[10157.05s -> 10159.05s]  SpongeBob?
[10159.05s -> 10161.05s]  I don't know if...
[10161.05s -> 10163.05s]  That was a little deeper maybe.
[10163.05s -> 10184.04s]  Don't crash my
[10184.04s -> 10186.28s]  stream's joke economy right now.
[10186.28s -> 10188.46s]  That wasn't that bad?
[10188.46s -> 10208.88s]  Why was that that bad?
[10208.88s -> 10210.88s]  That was Mitch McConnell's voice?
[10215.61s -> 10217.61s]  SpongeBob?
[10217.61s -> 10229.50s]  You're right. Yep, that's true.
[10229.50s -> 10237.05s]  Pull this forward. I don't need to get into there
[10237.05s -> 10240.38s]  from here. No, I don't. I'll seal it up later.
[10240.38s -> 10260.48s]  You went from 2100
[10260.48s -> 10263.16s]  to 1790 with that one. That's
[10263.16s -> 10265.53s]  not fair. That's not fair.
[10265.53s -> 10272.11s]  That's not fair.
[10272.11s -> 10305.63s]  Why can't I move this? Alright,
[10305.63s -> 10307.63s]  so the door to get in is
[10307.63s -> 10311.45s]  here. No, where
[10311.45s -> 10317.79s]  is it? It's right here. Right there.
[10317.79s -> 10346.12s]  One more.
[10346.12s -> 10349.45s]  Your stock just went down. That's
[10349.45s -> 10358.16s]  fine. Hey, I pay out
[10358.16s -> 10373.96s]  comedy dividends. That means every
[10373.96s -> 10375.96s]  every few months I read you out
[10375.96s -> 10378.46s]  my draft tweets and there are always
[10378.46s -> 10382.49s]  bangers.
[10382.49s -> 10404.38s]  You find me a draft tweet that you didn't like
[10404.38s -> 10406.68s]  and I will
[10406.68s -> 10408.68s]  agree or disagree with you.
[10408.68s -> 10424.88s]  It's really that big? Why is this
[10424.88s -> 10430.96s]  so huge? This is
[10430.96s -> 10450.99s]  massive. Am I
[10450.99s -> 10453.55s]  crazy or something? Why is this still
[10453.55s -> 10455.55s]  not big enough?
[10455.55s -> 10463.68s]  Come on, dude. Really?
[10463.68s -> 10489.28s]  Which is better? This or Papa's freezer
[10489.28s -> 10491.96s]  ria? This is much better. I love
[10491.96s -> 10493.96s]  Papa's freezer ria
[10493.96s -> 10496.64s]  but how slippery is it in my top
[10496.64s -> 10510.27s]  25 games of all time?
[10510.27s -> 10513.92s]  Alright, do a little bit
[10513.92s -> 10519.55s]  more cleaning up. I need a wall.
[10519.55s -> 10521.55s]  Oh, damn it.
[10521.55s -> 10523.55s]  What is it? What is it?
[10523.55s -> 10526.68s]  What is this? What is going on here?
[10526.68s -> 10533.64s]  What is this? What the hell is this?
[10533.64s -> 10558.54s]  What is this weird paneling
[10558.54s -> 10573.32s]  behind this? Okay.
[10573.32s -> 10575.82s]  I can stay there for now.
[10575.82s -> 10582.67s]  Still, okay, that's much better.
[10582.67s -> 10586.70s]  I might want to move this over a little bit.
[10586.70s -> 10594.12s]  It's not quite all the way flush.
[10594.12s -> 10597.44s]  Say my leg. My leg.
[10597.44s -> 10617.21s]  My leg. Ow.
[10617.21s -> 10638.12s]  Did I get the part?
[10638.12s -> 10640.12s]  Now I can bring this wall forward.
[10640.12s -> 10651.12s]  I'd love to pick this up. I can't pick it up
[10651.12s -> 10654.89s]  anymore. That's a problem for like
[10654.89s -> 10657.26s]  this problem next weekend.
[10657.26s -> 10679.02s]  I want, yeah, speed for sure.
[10679.02s -> 10689.95s]  Alright, I just keep making adjustments.
[10689.95s -> 10708.36s]  Okay.
[10708.36s -> 10718.92s]  Go like this. Much better.
[10718.92s -> 10726.84s]  Okay, let's just get
[10726.84s -> 10731.13s]  this over with. Front door of the
[10731.13s -> 10735.16s]  Krusty Krab is
[10735.16s -> 10737.16s]  right in, it's right here.
[10737.16s -> 10741.63s]  Right in the front. The whole
[10741.63s -> 10769.02s]  floor is green.
[10769.02s -> 10771.02s]  I'm not going to read that. You're fucking
[10771.02s -> 10774.67s]  crazy. Why did you write that?
[10774.67s -> 10780.04s]  All the things to write down
[10780.04s -> 10782.04s]  into a chat room and press enter.
[10782.04s -> 10798.62s]  It's just an immediate response.
[10798.62s -> 10801.37s]  Immediate response. You didn't
[10801.37s -> 10804.25s]  even take one second.
[10804.25s -> 10806.25s]  It was like, oh, yeah.
[10806.25s -> 10808.25s]  The floor of the Krusty Krab is green.
[10808.25s -> 10811.13s]  I look over three seconds, not even, you didn't even take
[10811.13s -> 10813.69s]  not even two seconds.
[10813.69s -> 10817.92s]  My shit is green sometimes.
[10817.92s -> 10821.44s]  Alright. Really?
[10821.44s -> 10823.44s]  Okay. Not even a
[10823.44s -> 10827.98s]  second.
[10827.98s -> 10829.98s]  Why would you share that with the glass?
[10829.98s -> 10851.74s]  Does the Krusty Krab have a bathroom?
[10851.74s -> 10861.79s]  Alright, well this has to be sealed off.
[10861.79s -> 10863.79s]  Because I want people to come through
[10863.79s -> 10865.79s]  this, which is the front door.
[10865.79s -> 10868.41s]  This is all glass,
[10868.41s -> 10870.41s]  isn't it? Big glass panels.
[10870.41s -> 10872.78s]  Can I get a
[10872.78s -> 10874.78s]  exterior of the Krusty Krab, please?
[10874.78s -> 10893.40s]  Would it be under door?
[10893.40s -> 10906.97s]  Or like glass, right?
[10906.97s -> 10916.24s]  Do it again. Okay.
[10916.24s -> 10919.18s]  Same thing on the other side. Two big
[10919.18s -> 10934.03s]  glass doors to get in. It might have to be
[10934.03s -> 10968.20s]  these side by side. Why is this so fucked up?
[10968.20s -> 11003.28s]  Is there a double door?
[11003.28s -> 11005.28s]  It has to be at the last double door.
[11005.28s -> 11015.18s]  Oh, right here. That's
[11015.18s -> 11018.38s]  much better. Oh, it's way too big
[11018.38s -> 11025.16s]  though. It's way too big.
[11025.16s -> 11040.51s]  This could work. Jesus.
[11040.51s -> 11053.31s]  Something like this is on the other side over here.
[11053.31s -> 11070.96s]  This is what's over here. Shit.
[11070.96s -> 11084.59s]  The entire front is glass. I don't think
[11084.59s -> 11104.62s]  I can do that though. It's a place
[11104.62s -> 11117.85s]  holder for now. That's gotta be glass.
[11117.85s -> 11131.29s]  That's gotta be glass. Okay. I'm gonna sneeze.
[11131.29s -> 11152.91s]  I actually caught it this time.
[11152.91s -> 11157.84s]  Okay. Now the
[11157.84s -> 11159.84s]  foundation is almost here. Now the work will speed
[11159.84s -> 11161.84s]  up very, very much intensely.
[11161.84s -> 11184.28s]  Here we go. This is a vibe
[11184.28s -> 11188.83s]  tonight. I'm glad. That makes me happy.
[11188.83s -> 11201.12s]  This will start to look more and more like
[11201.12s -> 11203.12s]  your beloved Krusty Krab
[11203.12s -> 11211.93s]  very shortly. This is
[11211.93s -> 11215.45s]  a good street to fall asleep to. Yeah, that's
[11215.45s -> 11219.74s]  cool. I don't mind that.
[11219.74s -> 11239.56s]  Big problem. I
[11239.56s -> 11242.25s]  cannot put anything
[11242.25s -> 11244.25s]  on the top or bottom here.
[11244.25s -> 11246.25s]  This has to be blocked with the bathtub.
[11246.25s -> 11249.52s]  This is actually a pretty major
[11249.52s -> 11259.12s]  problem. Can I do the half wall on
[11259.12s -> 11266.35s]  the ground? I don't know if I
[11266.35s -> 11268.84s]  can do a half wall on the ground.
[11268.84s -> 11281.56s]  I cannot. A window theoretically
[11281.56s -> 11283.56s]  is a great idea, but I
[11283.56s -> 11285.56s]  don't know if there are very many windows that
[11285.56s -> 11287.74s]  can be interior windows.
[11287.74s -> 11297.34s]  I need a fixture though.
[11297.34s -> 11310.78s]  Mountable bathtub. Where's the actual
[11310.78s -> 11313.98s]  bathtub?
[11313.98s -> 11325.42s]  This one here, right? I need the actual
[11325.42s -> 11327.42s]  thing. Where do you buy those?
[11327.42s -> 11333.23s]  Baths and showers.
[11333.23s -> 11338.35s]  Where is it? It's the
[11338.35s -> 11340.35s]  little thing that has to go into the wall.
[11340.35s -> 11360.56s]  Call something else
[11360.56s -> 11366.70s]  installations instead of this.
[11366.70s -> 11371.95s]  Okay, here we go. Yeah. Shower.
[11371.95s -> 11376.68s]  All right. Bathtub. But it's on the wall.
[11376.68s -> 11381.48s]  I need a wall.
[11381.48s -> 11391.90s]  This could hide it. I wonder how well
[11391.90s -> 11414.86s]  this hides it. Let's find out. I think this might
[11414.86s -> 11416.86s]  hide it. Yeah, this one will hide it much better.
[11416.86s -> 11446.92s]  I wonder what the biggest one is. Installation.
[11446.92s -> 11449.29s]  Oh. Where's just like
[11449.29s -> 11451.29s]  bathtub? Bathroom.
[11451.29s -> 11454.17s]  Okay, fixtures. Oh, I wish they would
[11454.17s -> 11456.17s]  I wish I could see how big they were without
[11456.17s -> 11476.40s]  having to buy it first. That's
[11476.40s -> 11479.02s]  pretty good. I don't know
[11479.02s -> 11491.24s]  if I'm going to do better than that. Maybe
[11491.24s -> 11493.87s]  I could. I doubt it though.
[11493.87s -> 11524.00s]  Wait a minute. Guys.
[11524.00s -> 11528.54s]  Guys, I could have just
[11528.54s -> 11530.54s]  made my own fucking
[11530.54s -> 11537.00s]  building. Why have I
[11537.00s -> 11539.00s]  decided to turn this
[11539.00s -> 11541.00s]  residential house
[11541.00s -> 11543.44s]  into the Krusty Krab? I could have just made the
[11543.44s -> 11545.44s]  Krusty Krab from scratch.
[11545.44s -> 11548.12s]  Well, now it's too late.
[11548.12s -> 11551.26s]  But are there any empty
[11551.26s -> 11553.26s]  lots? I didn't see an empty lot.
[11553.26s -> 11569.58s]  I'm going to see this through.
[11569.58s -> 11573.10s]  I think this is going to be good. Trust in
[11573.10s -> 11575.10s]  this process I have here.
[11575.10s -> 11581.31s]  Trust in this process.
[11581.31s -> 11615.53s]  The price is broken. Portal 3?
[11615.53s -> 11618.16s]  Hold
[11618.16s -> 11622.76s]  on. Just wait till the tables get in here.
[11622.76s -> 11627.12s]  Wait till the floor is done.
[11627.12s -> 11629.12s]  Wait till the decorations are up.
[11629.12s -> 11649.72s]  How long has this been playing for? I thought
[11649.72s -> 11662.64s]  this was still Spongebob.
[11662.64s -> 11669.48s]  Leave this on.
[11669.48s -> 11671.48s]  This was pretty good.
[11671.48s -> 11694.00s]  This is nice. We're making progress.
[11694.00s -> 11726.24s]  Here we go. One, when
[11726.24s -> 11728.80s]  the floor is installed, you're
[11728.80s -> 11731.93s]  all going to be...oh my
[11731.93s -> 11737.48s]  god. That's the
[11737.48s -> 11742.60s]  Krusty Krab. Now that's
[11742.60s -> 11764.62s]  the Krusty Krab I know.
[11764.62s -> 11766.62s]  Me doing that accent is like
[11766.62s -> 11772.06s]  Cilantro for a lot of you. You either really liked
[11772.06s -> 11774.06s]  what I just did or you hated it so
[11774.06s -> 11776.06s]  much that you just, you just
[11776.06s -> 11798.51s]  want me to turn my stream off. Alright.
[11798.51s -> 11807.08s]  Floor going in. It is a green
[11807.08s -> 11814.62s]  floor. This looks pretty good.
[11814.62s -> 11824.80s]  Let's try it.
[11824.80s -> 11848.73s]  I need lights in here. It's a green wood.
[11848.73s -> 11858.51s]  I don't know if I can do that. Green
[11858.51s -> 11863.50s]  wood. I don't think so.
[11863.50s -> 11866.36s]  This is close. Tile though.
[11866.36s -> 11881.69s]  Alright. Better. I think that's
[11881.69s -> 11886.04s]  better. It's got some more texture on it.
[11886.04s -> 11895.58s]  Can you change the color of the wood? You can, but you can
[11895.58s -> 11897.58s]  only really change it to other wood
[11897.58s -> 11904.09s]  likes. You can't make it like purple
[11904.09s -> 11926.88s]  or green or...so does this
[11926.88s -> 11929.31s]  door go anywhere in the Krusty Krab?
[11929.31s -> 11933.79s]  No. This is the Krusty Krab right
[11933.79s -> 11935.79s]  here. I'm making my
[11935.79s -> 11940.83s]  sanctuary. No. That's my
[11940.83s -> 11946.78s]  room. Alright. Where are the lights in the Krusty Krab?
[11946.78s -> 11960.97s]  Do they hang from the ceiling?
[11960.97s -> 11966.22s]  Alright. Krusty Krab
[11966.22s -> 11975.24s]  restaurant floor. Yeah.
[11975.24s -> 11980.04s]  This is as close as it's going to be though.
[11980.04s -> 11985.80s]  What do we got for lights? It kind of looks like
[11985.80s -> 11995.40s]  I can't really tell. There's glass
[11995.40s -> 11998.97s]  back here though. I was going to have
[11998.97s -> 12009.08s]  ceiling lights. These are kind of
[12009.08s -> 12022.96s]  interesting. Nice untextured
[12022.96s -> 12024.96s]  source map.
[12024.96s -> 12035.63s]  It looks fine. Where should I even put these?
[12035.63s -> 12041.77s]  There are no lights in the Krusty Krab
[12041.77s -> 12046.00s]  guys. There are no lights.
[12046.00s -> 12064.60s]  Oh! It's a jump
[12064.60s -> 12073.74s]  map. It's not done. Yeah
[12073.74s -> 12075.74s]  it does look like a dev room doesn't it? Because I'm
[12075.74s -> 12077.92s]  currently developing it right
[12077.92s -> 12102.22s]  now. It's not done. I'll do that
[12102.22s -> 12124.49s]  later. Aren't the walls wood in the dining
[12124.49s -> 12128.97s]  area? I don't know.
[12128.97s -> 12132.56s]  No. The glass. There's
[12132.56s -> 12136.97s]  wooden trim down here.
[12136.97s -> 12138.97s]  This is all this metal.
[12138.97s -> 12142.28s]  And then it's glass?
[12142.28s -> 12148.81s]  Glass. So this is a bunch of glass
[12148.81s -> 12151.63s]  glass glass. Glass and wood.
[12151.63s -> 12166.80s]  Why are these lights so high up?
[12166.80s -> 12172.81s]  Okay. I need to do, fix this
[12172.81s -> 12174.81s]  wood here. Ground.
[12174.81s -> 12182.56s]  This one I believe right here.
[12182.56s -> 12200.33s]  It is. What is casting a shadow over
[12200.33s -> 12209.80s]  here?
[12209.80s -> 12222.03s]  This is supposed to be Mr. Krab's
[12222.03s -> 12237.71s]  office.
[12237.71s -> 12239.71s]  Does Mr. Krab have the green on his floor too?
[12239.71s -> 12258.20s]  I'm sorry.
[12258.20s -> 12261.92s]  This looks like
[12261.92s -> 12264.80s]  you know those game makers
[12264.80s -> 12266.80s]  that are on you know
[12266.80s -> 12268.80s]  you can just get it like oh download this
[12268.80s -> 12274.36s]  game making studio.
[12274.36s -> 12276.36s]  This is, you just downloaded
[12276.36s -> 12278.67s]  a game maker studio. But you just opened
[12278.67s -> 12281.80s]  up Unity for the first time. And this
[12281.80s -> 12283.80s]  is what you came up with for the first, and you have no
[12283.80s -> 12288.16s]  experience at all. Zero. And
[12288.16s -> 12291.10s]  and you're twelve.
[12291.10s -> 12301.92s]  Just like oh look at my room that I made.
[12301.92s -> 12304.48s]  Yeah. There's chairs.
[12304.48s -> 12308.81s]  And there's a chair. But hey.
[12308.81s -> 12312.59s]  You gotta start somewhere. And when you first
[12312.59s -> 12314.59s]  make this room and you get really into it
[12314.59s -> 12316.89s]  and you go wow that was actually really cool. That was really
[12316.89s -> 12320.99s]  fun. And you end up making something like this.
[12320.99s -> 12324.96s]  Which is a level up from that.
[12324.96s -> 12328.60s]  And then you end up making a room like this.
[12328.60s -> 12340.75s]  Which isn't done yet. L plus
[12340.75s -> 12346.00s]  ratio plus your twelve. I
[12346.00s -> 12348.00s]  think it looks pretty good. I'm going
[12348.00s -> 12367.13s]  on the fucking lawn.
[12367.13s -> 12371.93s]  You need to hold your applause
[12371.93s -> 12379.93s]  until the end of the stream. We're going to see
[12379.93s -> 12386.84s]  all the before and after pictures.
[12386.84s -> 12400.28s]  Oh nice rain. This has been
[12400.28s -> 12402.28s]  a disastrous one guy.
[12402.28s -> 12407.08s]  I don't think so. No.
[12407.08s -> 12412.33s]  It's not done yet.
[12412.33s -> 12414.33s]  I don't want you looking over my shoulder while I'm doing
[12414.33s -> 12418.04s]  game development. This is not
[12418.04s -> 12420.04s]  even in a technical alpha right now.
[12420.04s -> 12423.69s]  This is in a Unity free
[12423.69s -> 12425.69s]  trial mode right now. This is not
[12425.69s -> 12441.82s]  a technical alpha. So
[12441.82s -> 12443.82s]  I see tables and they look pretty
[12443.82s -> 12449.71s]  cool and I know exactly where I'm putting them.
[12449.71s -> 12451.71s]  They are they have yellow in the middle and red
[12451.71s -> 12453.71s]  on the outside and they are wheels.
[12453.71s -> 12456.33s]  They are boat steering
[12456.33s -> 12460.36s]  wheels. That's not awful.
[12460.36s -> 12476.54s]  Not awful.
[12476.54s -> 12481.72s]  I could say dining table couldn't I? This one's
[12481.72s -> 12488.19s]  pretty good. Look at a picture of the Krusty. I got
[12488.19s -> 12490.19s]  a picture of the Krusty Krab right here. I'm looking at it right
[12490.19s -> 12511.48s]  now. Tables. This place
[12511.48s -> 12513.48s]  looks nothing like the Krusty Krab period.
[12513.48s -> 12516.17s]  Fuck you. Hey
[12516.17s -> 12518.17s]  come on dude.
[12518.17s -> 12520.86s]  I'm trying. I'm trying.
[12520.86s -> 12525.08s]  Oh that's pretty good.
[12525.08s -> 12538.84s]  They have the one kind
[12538.84s -> 12541.08s]  of pole in the middle.
[12541.08s -> 12543.08s]  It's on a stand. I don't think there's
[12543.08s -> 12554.80s]  any of those here though. They're red
[12554.80s -> 12567.40s]  on the outside. Close enough?
[12567.40s -> 12574.68s]  Yeah it's close enough. And
[12574.68s -> 12577.63s]  there is one here. There's
[12577.63s -> 12580.96s]  one here. There's one here.
[12580.96s -> 12582.96s]  There's one here. There's one here.
[12582.96s -> 12599.92s]  And they sit on little
[12599.92s -> 12617.88s]  barrels. Is it too big? They have little
[12617.88s -> 12623.20s]  any mini barrels?
[12623.20s -> 12631.84s]  Maybe a stool will look like it.
[12631.84s -> 12634.59s]  Pretty good if I could make it beige. Pretty good.
[12634.59s -> 12661.39s]  Right here. There we go.
[12661.39s -> 12680.20s]  They all have two or three. I can move all these
[12680.20s -> 12694.60s]  later. Guys, contrary to popular
[12694.60s -> 12698.70s]  belief, the finishings
[12698.70s -> 12704.27s]  is what ties everything together.
[12704.27s -> 12706.27s]  It's all about
[12706.27s -> 12708.27s]  the decorations and the finishings.
[12708.27s -> 12711.13s]  Already right now
[12711.13s -> 12713.13s]  it has already started to look more like
[12713.13s -> 12715.44s]  the Krusty Krab. Just simply by adding
[12715.44s -> 12718.76s]  the tables. We're going to do a bunch of stuff
[12718.76s -> 12729.96s]  here to hide this. Where's
[12729.96s -> 12732.33s]  Mr. Krab's door? It's coming.
[12732.33s -> 12737.58s]  It's going to be over here. It's going to be right
[12737.58s -> 12739.58s]  here. And you don't...
[12739.58s -> 12741.58s]  I'll show you the finishing touches
[12741.58s -> 12754.19s]  in a second. Where are the bathrooms?
[12754.19s -> 12762.92s]  That's a good question. The bathrooms
[12762.92s -> 12766.57s]  are on the right side.
[12766.57s -> 12768.57s]  So the bathrooms
[12768.57s -> 12773.80s]  need to be over here.
[12773.80s -> 12794.22s]  Bathrooms are over here. How do I move this?
[12794.22s -> 12801.58s]  I cannot take down
[12801.58s -> 12803.58s]  these walls, so I'm just going to have to
[12803.58s -> 12807.23s]  improvise a little. We're going to extend this
[12807.23s -> 12814.97s]  a little bit further. The bathroom doesn't
[12814.97s -> 12816.97s]  exist. No, it's not going to work.
[12816.97s -> 12822.35s]  It might work if I do this.
[12822.35s -> 12832.83s]  Can I build
[12832.83s -> 12840.32s]  off of the house? I don't think
[12840.32s -> 12842.32s]  I can build off of the house that
[12842.32s -> 12849.68s]  exists already. Can I?
[12849.68s -> 12854.09s]  I can't. Wait, is that actually
[12854.09s -> 12858.06s]  doing that? Wait, I can
[12858.06s -> 12862.73s]  do that. Alright. That's a big deal. Hold on.
[12862.73s -> 12889.47s]  So, if
[12889.47s -> 12891.47s]  I extend this wall
[12891.47s -> 12894.67s]  out, then I can make the bathrooms
[12894.67s -> 12905.16s]  right here. So that wall here
[12905.16s -> 12907.16s]  has to come out and match the wall over on
[12907.16s -> 12917.92s]  the other side. So if I can extend this
[12917.92s -> 12927.26s]  wall, that would be great. Because
[12927.26s -> 12929.88s]  this is the back. Let's see.
[12929.88s -> 12952.72s]  Yes! Let me
[12952.72s -> 12983.95s]  get rid of all this shit here. I just needed some space.
[12983.95s -> 12987.64s]  Alright. And now
[12987.64s -> 12992.00s]  can I bring this wall out?
[12992.00s -> 12994.00s]  What is this weird, what is this wacky
[12994.00s -> 13038.60s]  wall right here? No!
[13038.60s -> 13040.60s]  I can't get rid of this exterior
[13040.60s -> 13048.03s]  wall. No!
[13048.03s -> 13053.71s]  I can't, really?
[13053.71s -> 13055.71s]  Oh, oh well. Well, this is
[13055.71s -> 13059.98s]  the bathroom. Okay.
[13059.98s -> 13064.33s]  I gotta clean it. Put a door there?
[13064.33s -> 13068.30s]  I don't know if it'll work, though.
[13068.30s -> 13087.18s]  Because this wall can't be manipulated.
[13087.18s -> 13089.61s]  Oh! Oh!
[13089.61s -> 13094.16s]  I actually can. Alright. Where is
[13094.16s -> 13096.16s]  it? It's like right here.
[13096.16s -> 13099.47s]  Hell yeah. Nice!
[13099.47s -> 13104.52s]  It's a little messed up because
[13104.52s -> 13109.13s]  it's alright, though. Bathroom.
[13109.13s -> 13112.52s]  Beautiful. Perfect. Okay.
[13112.52s -> 13115.47s]  Bathroom.
[13115.47s -> 13122.88s]  Get a few images. A bunch of
[13122.88s -> 13137.21s]  wooden stalls, isn't it? Krusty
[13137.21s -> 13147.71s]  Krab bathroom. Okay.
[13147.71s -> 13156.80s]  So it's still green. Honestly,
[13156.80s -> 13158.80s]  the farm update will probably make this a lot easier.
[13158.80s -> 13168.52s]  So it's the same green, same blue.
[13168.52s -> 13203.84s]  Which I didn't delete at all.
[13203.84s -> 13205.84s]  Somebody doing the
[13205.84s -> 13207.84s]  chimpanzee jumping thing.
[13207.84s -> 13218.84s]  SpongeBob music! It kind of looks like
[13218.84s -> 13220.84s]  you guys are dancing to this song.
[13220.84s -> 13222.84s]  So I don't even see the anger in the chimpanzee.
[13222.84s -> 13225.47s]  I just see, I see you guys
[13225.47s -> 13235.20s]  rocking out to this music.
[13235.20s -> 13261.05s]  It's lining up with the music. Okay.
[13261.05s -> 13281.15s]  You just came back after two hours, what'd you miss?
[13281.15s -> 13284.72s]  Um, well, I think
[13284.72s -> 13286.72s]  it was just about an hour or two ago that I decided to make
[13286.72s -> 13298.68s]  this a SpongeBob house. Alright.
[13298.68s -> 13302.59s]  Good, almost done. There aren't
[13302.59s -> 13304.59s]  any more rooms after this, so it's all detail.
[13304.59s -> 13321.23s]  Damn it, it's not enough. It's fine.
[13321.23s -> 13323.23s]  Okay, so now we need the green. The green is easy.
[13323.23s -> 13332.12s]  Was these ones, no?
[13332.12s -> 13334.12s]  It was the... this one looks kind of better.
[13334.12s -> 13336.94s]  Oh, this is wall.
[13336.94s -> 13360.54s]  Damn it. Wait a minute.
[13360.54s -> 13364.06s]  These are way better. Isn't that kind of way better?
[13364.06s -> 13380.19s]  Nice. That's actually
[13380.19s -> 13384.09s]  perfect, yeah. I
[13384.09s -> 13386.33s]  don't know, you shouldn't be able to bump into stuff
[13386.33s -> 13411.10s]  when you're doing this. It's going the wrong
[13411.10s -> 13418.97s]  direction. Shit, it's got to
[13418.97s -> 13421.28s]  go vertical. You're right, damn it.
[13421.28s -> 13448.60s]  There is a vertical one, isn't there? It's actually
[13448.60s -> 13476.38s]  kind of getting there. Why is there got to be grass
[13476.38s -> 13479.39s]  sticking out? Alright, stalls.
[13479.39s -> 13481.39s]  They are made out of wood.
[13481.39s -> 13483.39s]  There are three or four toilets.
[13483.39s -> 13489.60s]  They're mounted into the wall.
[13489.60s -> 13493.12s]  They're the little mounted toilet, and they have
[13493.12s -> 13506.68s]  a life preserver. It's pretty close, but
[13506.68s -> 13512.25s]  it doesn't have the life preserver. That's close enough.
[13512.25s -> 13526.25s]  We're good. Alright, so it's one,
[13526.25s -> 13528.25s]  two, three. So I need three of those
[13528.25s -> 13539.05s]  things. Suspended toilet.
[13539.05s -> 13547.80s]  Alright, so we'll go one, two,
[13547.80s -> 13603.66s]  three. Alright, now I need to make
[13603.66s -> 13607.87s]  wooden stalls.
[13607.87s -> 13611.13s]  Do they make them anyways?
[13611.13s -> 13613.13s]  They do not, but
[13613.13s -> 13615.95s]  the farming update
[13615.95s -> 13619.84s]  gave us the ability
[13619.84s -> 13621.84s]  to make opening
[13621.84s -> 13626.57s]  kind of stall-like doors.
[13626.57s -> 13633.87s]  Greenhouse wooden segment. Oh,
[13633.87s -> 13656.59s]  here we go. This can't be inside.
[13656.59s -> 13669.96s]  Can none of this be?
[13669.96s -> 13698.96s]  So what do I do? Wooden roof side
[13698.96s -> 13702.22s]  segment. Where would the
[13702.22s -> 13704.89s]  I have no idea where they would put them. Like the
[13704.89s -> 13709.24s]  horse stable thing. There we
[13709.24s -> 13741.29s]  go. Yep, this should do it.
[13741.29s -> 13744.94s]  Are you going to play House Flipper 2? Better believe it.
[13744.94s -> 13755.24s]  Let me make these better.
[13755.24s -> 13766.88s]  I can't move these. But they have
[13766.88s -> 13769.82s]  What is hanging? There's like a cloth
[13769.82s -> 13777.18s]  or something. Hold on. So it's the wooden
[13777.18s -> 13779.36s]  doors, and then
[13779.36s -> 13781.36s]  it's two pieces of cloth that hang
[13781.36s -> 13783.36s]  from side to side. So these
[13783.36s -> 13787.26s]  technically would be the doors. I could always
[13787.26s -> 13793.85s]  add more toilets here. What's better?
[13793.85s -> 13795.85s]  House Flipper or Buffalo Chicken Sub? Buffalo
[13795.85s -> 13801.42s]  Chicken Sub all day. I'm sorry. Buffalo
[13801.42s -> 13803.42s]  Chicken Sub takes the place. It's like number
[13803.42s -> 13805.42s]  it's like number six on my
[13805.42s -> 13807.42s]  most favorite games of all time.
[13807.42s -> 13812.16s]  We were talking about like you got like Diablo 2
[13812.16s -> 13814.16s]  Team Fortress 2
[13814.16s -> 13816.16s]  Neverhood
[13816.16s -> 13818.52s]  Buffalo Chicken Sub
[13818.52s -> 13820.52s]  with blue cheese on it
[13820.52s -> 13822.52s]  obviously. And then probably Resident Evil
[13822.52s -> 13824.52s]  4 is probably up there.
[13824.52s -> 13826.52s]  Vampire Survivors is probably there too.
[13826.52s -> 13842.76s]  I need more toilets. Installation.
[13842.76s -> 13877.12s]  Good. Nothing over
[13877.12s -> 13881.34s]  there. That's fine. Blue cheese is so good. Yeah.
[13881.34s -> 13883.52s]  If I could
[13883.52s -> 13885.52s]  not get weird looks, I would
