[3.13s -> 4.33s]  All right, let's go.
[15377.12s -> 15386.91s]  my thought that's when you posed the question well remember what you asked me yeah yeah is
[15386.91s -> 15395.31s]  your dick still a man's dick given what you've gone through oh don't the other thing oh what
[15395.31s -> 15400.67s]  would you do along us if you fancy your heart racing in the form of another someone you stood
[15400.67s -> 15417.01s]  beside through danger oh you didn't forget what ended up happening with that nothing and seeing
[15419.76s -> 15434.18s]  sorry no no it's uh i just mean what guy what did you want to say i just want you've been talking
[15434.26s -> 15441.55s]  about me what is this like a you talking shit moment no this is like a he's trying to cheat
[15441.55s -> 15454.91s]  on you with me sometimes you display in a standing aptitude for missing the subtext
[15460.53s -> 15470.48s]  but along us i was talking about you gasp i hoped and i hoped i thought my chest would explode
[15470.48s -> 15480.16s]  i didn't dare hope what's happening forget thomas let's fuck it's the opposite of judicious
[15481.04s -> 15490.16s]  but will you try this with me oh that's your line i get why did you tell me what about thomas
[15490.16s -> 15499.46s]  yeah what the fuck up what about him i'll have to tell him maybe he'll take it all right i don't
[15499.46s -> 15506.50s]  know i just he's gonna hate me i tried to get him killed in that cave 10 years ago
[15506.50s -> 15511.78s]  he's just too normal for both of us look us not weird enough i don't have enough i don't know like
[15511.78s -> 15518.26s]  weird arms i don't have like a big don't ever identify with me he can't really connect it's
[15518.26s -> 15528.16s]  just too normal i don't think there's anything else we can do now we both know i'm going to the
[15528.16s -> 15532.56s]  costume store and i'm just getting like a weird mask or something and uh look guys i've got i've
[15532.56s -> 15545.54s]  got like a weird mask i didn't click it stuck like this what's happening we all are we going high
[15545.54s -> 15559.66s]  we climb the distances we walked let us here together we have fallen in love oh oh thomas
[15559.66s -> 15569.06s]  in and out of our rivals yeah slash duel i don't think you want that smoke i'm the penta of this
[15569.06s -> 15584.06s]  group fucking everything up i'm not weird enough oh no the gorgons moving great number of planes
[15584.06s -> 15589.34s]  would attack the lands that's so far away yeah they kind of this way around the corner they kind
[15589.34s -> 15595.57s]  of come in this way though i think we're good how long did you guys want to go for scary scary
[15595.81s -> 15605.97s]  here yeah i want to see how thomas reacts to our affair yeah no why don't you guys go defend the
[15605.97s -> 15618.98s]  land he's a what he's watching angry some kind of basement over here they've been late all day
[15618.98s -> 15625.68s]  late rising late on the trail late to recognize sunset and late spotting this ruin it's the
[15625.68s -> 15630.88s]  remains of a smallest structure and it rests on a cleared rocky slope where the trees find little
[15630.88s -> 15641.47s]  perches enon what do you know about this area all i've heard is that it used to be more thickly
[15641.47s -> 15650.72s]  settled guys you want to hear something crazy if if if enon and along us have a child then
[15651.87s -> 15657.65s]  we would have three new characters and then like they would all be like weirdly related that's
[15657.73s -> 15665.71s]  true i didn't mean to walk in on you step sis someone was born here oh your tail away an ancestor
[15665.71s -> 15677.02s]  of the pumpkin guy you know the guy with the pumpkins there's the serpent side line we're the
[15677.02s -> 15683.98s]  first down here in some time huh someone worked at the stable knife lines stains of sediment this
[15683.98s -> 15694.26s]  isn't about our relationship ash on the floor it's chalk what are these hash marks and what's in the
[15694.26s -> 15701.65s]  box no no why don't you open it and put open it really close to your face something wrong
[15701.65s -> 15707.46s]  that's the open border shadows back like ravens blood why is my voice being all different colors
[15707.46s -> 15717.25s]  you're reading the chalk off the wall i think oh i know how to read this it says i don't know
[15717.25s -> 15722.51s]  wait what i don't know i was lying wait you're reading a poem this place doesn't like that i
[15722.51s -> 15733.39s]  guess but nowhere is home perfect so do you see anything that we could use the box is puzzle
[15733.39s -> 15746.13s]  locked one of those magical puzzle locks oh it's a magical puzzle box magical puzzle box okay
[15746.13s -> 15749.17s]  interesting so like i could i could probably do that but you get you two could probably figure
[15749.17s -> 15753.57s]  it out you should maybe you should do it yeah useful for once you two could figure it out decide
[15753.57s -> 15758.80s]  to see yeah um so but i don't know how we can open that unless i think you two could probably
[15758.80s -> 15763.87s]  get really cozy down here and figure it out right well i think you could probably help
[15763.87s -> 15774.86s]  i could for once why can't we all just get along together remind me how these function
[15774.86s -> 15785.12s]  bogwin generations were bonkers for these things these puzzle locks yeah i could sniff or perhaps
[15785.12s -> 15792.54s]  there was some way i could bury my feces near our camp i could do that but the magic lock
[15792.54s -> 15801.41s]  presents a prompt with a clear slate to write an answer the wise wanderer finds home where
[15802.13s -> 15808.54s]  this is on you thomas you're the you're saying you can do this where does he find home
[15809.50s -> 15814.86s]  the wise wanderer finds home do i have an option or do i say it i think it's gonna give us multiple
[15814.86s -> 15821.66s]  choice i think no don't you don't give them don't make it easier what wait we want what's inside
[15821.66s -> 15836.13s]  i i veto this next i'm sure there's a systematic approach to this well air is turning out better
[15836.13s -> 15844.66s]  than i thought cook dinner and make a night of it talk some guesses maybe it's interesting
[15844.74s -> 15852.93s]  i'll grab the things i'm just as invested yeah i'll help they hold that gate on the slippery
[15852.93s -> 15857.97s]  steps thomas investigate investigates the blocked chimney pipe goes above ground a while and clears
[15857.97s -> 15864.77s]  it from the end anon's absorbed in a book he digs up it's full of creative geology a longus rushes
[15864.77s -> 15870.13s]  a rabbit stew and has to put it back on the fire after it does that why do we keep letting you cook
[15870.21s -> 15885.15s]  why do you keep killing us why is wonder where okay where where his books prove too many to haul
[15885.15s -> 15906.62s]  what were shrewd folks still are scarce i feel like thomas is onto it click click all right
[15907.62s -> 15916.46s]  i might have interfused that time sorry just then a clatter of hunting bird calls echoes into the
[15916.46s -> 15933.26s]  basement hollow must have heard our treasure box open up disappointed no i was on the wrong page
[15933.26s -> 15947.74s]  sorry it passed the time point legacy points two oh fight fight away out yeah we do oh squirrel
[15947.74s -> 15976.18s]  is it only two or it was like five right i eat it legacy point legacy point brie brie i put it in
[15976.18s -> 15996.22s]  my mouth sir could you please tell germa he looks crazy cute today tell him yourself gemma you're
[15996.22s -> 16003.92s]  looking crazy cute right now hey thanks i did put a new product in my hair oh is that like a new
[16003.92s -> 16019.95s]  webcam sound a little different all right i'm gonna ignite no i'm not oh you created fire
[16019.95s -> 16024.93s]  with it wasn't it i actually didn't i think just burnt you and then along us put out the fire
[16028.34s -> 16042.86s]  wow i'm gonna read the book that we found god this is a really dark arc for thomas
[16042.86s -> 16051.71s]  yeah oh no somebody spawned over here it's all right i don't need anybody's help
[16056.66s -> 16084.16s]  then it gets smashed into the ground there i turned off the light there the cheaters i wonder
[16084.16s -> 16091.14s]  if we're gonna have a big blow up i'm really surprised oh a tier two star you could replace
[16091.14s -> 16098.13s]  your tier one one yeah that is absolutely what i'm gonna do yeah maybe you should give it to your
[16098.13s -> 16107.82s]  son yeah i'm gonna i was gonna rename it poison apply poison as an action offhand plus two poisons
[16107.82s -> 16113.49s]  your weapon probably one of you guys right just give it no it's good to one of the kids i guess
[16113.49s -> 16126.72s]  my hands are full so yeah dakin can take it yeah he's poisonous um where are we going we're going
[16126.72s -> 16134.82s]  we're going here right yeah wait what the is the goal where's the goal down this video the raging
[16134.82s -> 16145.46s]  gorgons i don't know what we're gonna do about that war strength six mama mia wait where are we oh
[16145.46s -> 16151.92s]  wait what yeah we have this going all the way around yeah oh my goodness the only way a tile
[16151.92s -> 16160.38s]  will flood in 90 days oh shit okay they're flooding the world that march though for sure
[16160.38s -> 16166.50s]  yeah this this is the thing that we have to get rid of completely right yeah yeah let's keep going
[16166.50s -> 16181.71s]  okay these guys made us they got some stuff work and item question mark i think you can build
[16181.71s -> 16188.80s]  bridges on rivers now you can build bridges where it tells you you can though knee pads i'm gonna
[16188.80s -> 16204.59s]  need to see okay and then let's send the kids to your fabric hot fabric hide or two hides let's do
[16204.59s -> 16229.63s]  one of each all right now the item who investigate oh no no sorry that was them
[16229.63s -> 16237.65s]  i was okay oh wait we just went we walked by them they're destroying this world i guess we
[16237.65s -> 16246.78s]  gotta walk back we gotta go back we gotta go defend live stream yeah how do we we can't
[16246.78s -> 16253.17s]  because we're in the middle of scouting oh shit we just walked by them we're just doing a story now
[16253.33s -> 16253.73s]  okay
[16261.38s -> 16277.95s]  what's wrong i sense magic gorgons said magic oh it's this way what is it it's an overgrown mess
[16277.95s -> 16285.81s]  that's what it is help me uncover it ah there we go oh that's a nice strong font what a rush
[16285.81s -> 16290.48s]  well i don't know what words i just said what are you talking about we just pulled some weeds
[16290.56s -> 16298.45s]  i don't feel anything it's a font of spell thread it it feels like someone is pouring
[16298.45s -> 16308.00s]  honeyed sunlight woven with strands of fire through my body it feels so good honeyed sunlight
[16308.00s -> 16315.52s]  oh yes sunlight and starshine well at the same time it's an unfurling to the world around you
[16315.52s -> 16325.22s]  to the spirit of a place or a thing wow objects spirits well not like conscious ones it's more
[16325.22s -> 16332.58s]  that we're connected to everything spell thread woven between all of reality sometimes i feel
[16332.58s -> 16341.46s]  like there's an entire world that's how i feel when i talk when you talk about tactics ooh
[16344.40s -> 16352.46s]  i kind of like that one well i don't know i have always sort of worked with the energies from afar
[16352.46s -> 16360.19s]  i guess i could put my hand on it oh damn look at that evil grin wait go back go back you
[16360.99s -> 16368.75s]  you want me to die oh yeah our rivalry it's boiled over i it's now we're trying to kill
[16368.75s -> 16387.30s]  each other every time but that's you oh shit are you okay uh yeah no no i want that character trait
[16387.30s -> 16390.46s]  oh no that's not fair
[16395.47s -> 16398.03s]  i that was supposed to be my cool character trait
[16403.90s -> 16410.37s]  i feel connected yes exactly to everything around me
[16410.37s -> 16418.05s]  me
[16429.25s -> 16436.56s]  come on uh we can chat about this on the road i can't believe you got the awesome character
[16436.56s -> 16440.16s]  trait cosmic experience how do we we need to go back and defend how do we do this it won't
[16440.16s -> 16448.32s]  even look we need to go wait do we need to go to i don't understand he stole your man he also stole
[16448.32s -> 16458.13s]  your cool trait oh my god i did that actually did happen all right we gotta wait to defend the
[16458.13s -> 16468.85s]  world yeah enough petty bullshit we have to defend the world look how cool you guys look
[16471.01s -> 16474.69s]  i can't believe that happened dude i thought you were gonna touch it yeah
[16481.28s -> 16492.27s]  charging the battle i just we're charging charging in yeah we're yeah nothing can
[16492.27s -> 16498.03s]  fucking stop us we have a blue guy that's true you do have a blue guy no one's explained it
[16501.34s -> 16507.76s]  oh boy all right this is this is a big deal wait where are they oh they've got to be over there
[16507.76s -> 16521.62s]  right ruffle it up oh oh my goodness okay that thing is pretty scary and look at that thing
[16526.24s -> 16541.78s]  uh let's put people in cover yeah good idea what the hell is that fucking shut up
[16543.04s -> 16548.72s]  that person's like raging they're just pumping up they're getting hyped up when the
[16548.72s -> 16565.02s]  monsters actually show up oh there is a lot of monsters down there oh i have to fight the giant
[16565.02s -> 16574.59s]  bear oh i gotta i gotta get out of here i gotta run maybe character development i don't know
[16574.59s -> 16580.21s]  should i go with some character development you have to get out i'm gonna jump in where you are
[16580.21s -> 16590.24s]  oh yeah be gone did you send him away be back oh wait i thought that i thought that was me moving
[16590.32s -> 16599.42s]  is there anything to shoot there we go you need to run i don't have any more action points i don't
[16599.42s -> 16613.25s]  think okay wait wait in that case yeah this thing is going to kill me in one hit no i'm gonna stand
[16613.25s -> 16626.16s]  here and then we're gonna send out this lady to stand here and and protect you but i mean heaven
[16626.16s -> 16642.29s]  forbid i get a scar over the other eye nice sir why did you just say sis's wasd uh i can't click
[16642.29s -> 16647.25s]  out of the chat box so when i'm like going around the map it's just recording all of that
[16648.21s -> 16655.97s]  for people that don't know what i'm describing are you done i'm chat banned have you had your turn
[16656.69s -> 16670.45s]  no wait oh okay i'm chapping no that's okay five damage we did what has to be done man yep
[16671.33s -> 16682.61s]  all right i'm gonna try to uh walk backwards uh-oh thank god you were in the way
[16682.61s -> 16699.17s]  okay watch someone die you're supposed to be protecting thank god i should be attacking
[16699.17s -> 16712.64s]  those things that have hit my new husband hey it didn't say you didn't get married yeah i just
[16712.64s -> 16717.52s]  said we're in love we're eloping we had an end of a chapter cutscene of us getting married don't
[16717.52s -> 16732.82s]  forget you're still married well you know what they say say you're a real piece of crap you're
[16732.82s -> 16741.26s]  a bit of a homewrecker man uh what me yeah he's the lame boring guy who got a flute in like 20
[16741.26s -> 16748.22s]  years so much more 20 years and all he's got to show is he found a dead guy's flute and then
[16748.22s -> 16753.26s]  carried it and by the way any of the three of us could have taken that flute you guys just
[16753.26s -> 16760.06s]  let me have it yeah i lost an eye then got petrified on half my face then turned blue
[16760.06s -> 16767.63s]  you got a wolf head then a wolf arm then raven legs and wings and he has like a nice sash
[16768.19s -> 16781.12s]  yeah uh excuse me but i think i got the coolest uh outfit though this guy is wearing like all gold
[16781.12s -> 16795.39s]  how did you walk that also being a blue man oh god okay um no i'm too far away
[16805.26s -> 16823.02s]  nice so are we pick are we controlling these people too just randomly right like anybody
[16823.42s -> 16833.15s]  i'm just i'm just yeah anyone can yeah i'm uh i'm on overwatch so if either of those two things
[16833.15s -> 16843.73s]  move towards you i'll get them okay isn't your character better with fire germa yeah but where's
[16843.73s -> 16857.25s]  the i see one flame up here i'm so glad you put him there yep oh god just like our relationship
[16857.25s -> 16893.62s]  the fire seems to have burned out yeah yeah yep fuse oh that was a big hit that was big are you
[16893.70s -> 16906.45s]  staying there because you're gonna die um this this guy's here this guy's here i'm stuck i can't
[16906.45s -> 16923.63s]  move far enough i got i got to i think he should get targeted first denim denim should shoot there
[16923.63s -> 16932.02s]  we go oh actually this is kind of sad yeah we're just using them to protect you yeah oh my god
[16933.18s -> 16938.94s]  i really am i really am like completely useless we're just killing people to keep me alive
[16939.02s -> 16955.17s]  might not be enough though oh i'm good see you later i'm fine i thought that was me moving a
[16955.17s -> 16967.28s]  second time oops are you too far away to attack uh yeah but i've got my sentinel was like if they
[16967.28s -> 16973.18s]  move within two spaces i attack before they get their turn oh good good good so i'm will hit him
[16973.18s -> 16982.72s]  regardless i've no oh regardless oh another person dead man you guys i've only got one eye guys come
[16982.72s -> 17004.90s]  on no oh you think you can take care of that guy i can take care of this guy here yep um um
[17009.01s -> 17019.31s]  i think i'm i think i might need to save you might save thomas i mean i i could you should
[17019.31s -> 17025.84s]  save thomas all right he's still our companion even if the spark is gone hey i it is also a
[17025.84s -> 17032.18s]  possibility that i get a really cool scar i don't know about that champ i don't know it's up to you
[17032.18s -> 17039.78s]  you're gonna save your your actual relationship your actual husband which one of us do you save
[17039.78s -> 17047.47s]  yeah i don't know anon's looking pretty threatened right now i don't yeah maybe i don't think so though
[17048.67s -> 17054.83s]  what's your decision are you gonna let me let's see oh okay okay let's see what happens then
[17054.83s -> 17083.07s]  put that light out big damage blocked it still good we can't be stopped actually um i'm just
[17083.07s -> 17103.07s]  gonna leave and i'm gonna go like this uh until i die we're good yeah i didn't need any help
[17109.90s -> 17114.94s]  yeah see i got lover's vengeance down here because he shot at him last turn i i'm totally giving up
[17114.94s -> 17125.10s]  on you it's kind of harsh man well you know what the blue i took his blue thing imagine he'd been
[17125.10s -> 17128.70s]  blue he would finally been one of us i know it would have been so much more exciting i would
[17128.70s -> 17136.46s]  have been screaming i would have been jumping up and down in my room uh so what's the goal now
[17136.46s -> 17146.13s]  and we have to clear the reddit threshery it looks like our chapter three uh we have to meet anon
[17146.13s -> 17157.60s]  at nook belong where is that have we even found this place oh it's it's right here it's down here
[17157.60s -> 17168.93s]  lower left okay let's just go there then yeah the tile just flooded the one we needed to go through
[17168.93s -> 17178.78s]  what oh come on useless children yeah i thought that weren't they building dams and stuff over
[17178.78s -> 17190.45s]  here let's give uh dakin he's the warrior right yeah he can take that and then a pair of metal
[17190.45s -> 17203.39s]  braces yo that might make up my terrible eyesight true very true okay we can't go this way anymore
[17203.39s -> 17217.98s]  can we oh we can we're just traveling slower all right so have we made it we're nearly there
[17217.98s -> 17227.39s]  need on at the nook yeah this is the nook oh shit we should patrol it let's patrol first
[17229.22s -> 17239.71s]  you keep getting rid of the kids who wants them wait patrol in the wrong place what that's fine
[17239.71s -> 17243.71s]  we need you guys need to heal you need time to heal thomas is on three health oh my goodness
[17243.71s -> 17255.20s]  i really am almost dead dakin receives a challenge from his past he's fucking like seven what do you
[17255.28s -> 17263.60s]  mean boy one are we actually let's we're skipping this right our child's growth is irrelevant
[17267.06s -> 17277.62s]  oh it's literally it's the two children going on an adventure together no no kids can't go on
[17277.62s -> 17285.97s]  adventures my my my son is a buzzkill he says he says don't go i can't one of the real adventurers
[17285.97s -> 17297.63s]  get an opportunity right okay we cleared it no our sons what are they doing didn't we tell them
[17297.63s -> 17305.01s]  not to do this we're gonna see from a distance they're gonna be fighting this battle and that
[17305.01s -> 17310.00s]  we're gonna watch somebody die wait do we bring them into the battle is this their like coming of
[17310.00s -> 17315.28s]  age thing i think they just did it yeah now's when we find out whether our gamble makes us fools
[17316.24s -> 17325.65s]  a guy by honor's map we're nearly there are you good wrong page i read the next one
[17325.65s -> 17332.82s]  now as we find out our gamble makes us fools i've heard it said that to cut a noose is to gain a
[17332.82s -> 17341.23s]  dangerous friend in my experience i've never had the chance to test it dad why are you blue
[17341.95s -> 17350.08s]  oh yeah why are you blue you're gonna explain it for any chance limit
[17350.08s -> 17361.97s]  maybe do you have any chance hold on okay no oh dude this is rough are we bringing the kids
[17362.77s -> 17367.49s]  that's it kids are in let's let's stay back while the kids try and prove themselves
[17368.13s -> 17372.93s]  i don't like that idea let's look the kids will if they die they die man you know that was really
[17372.93s -> 17378.13s]  loud oh is it i'm sorry i went oh fuck that was loud oh yeah i don't think it came through your
[17378.13s -> 17410.13s]  mic you guys didn't hear it no you said hold on and then there was silence oh i see this is your son
[17410.93s -> 17424.45s]  this is your son control him well back on he belongs oh you motherfucker you're trying to
[17424.45s -> 17436.62s]  take me out what do you think you're doing thomas uh it was just a miscalculation that's all is that
[17436.62s -> 17445.36s]  so yeah i pressed the wrong button on my uh staff i pressed b instead of a sorry when i hold b and
[17445.36s -> 17482.67s]  i casted it uh went the wrong way i'm killing them all children protect me i'm living free and
[17482.67s -> 17490.29s]  wild what should i infuse uncle thomas what you should do is infusion is very difficult what
[17490.29s -> 17496.37s]  you have to do is grab a hold of elemental fire elemental water i think you are probably going
[17496.37s -> 17502.05s]  to be a water student if i were to take a guess grab the water there's a well over here craft it
[17502.05s -> 17507.79s]  hold down a don't hold down b i cast ignite okay you're still learning it's all right you're still
[17507.79s -> 17514.69s]  learning i'll cast ignite too i actually just walked over to him let me show let me show you how
[17514.69s -> 17527.18s]  it's done coming father i'll join you what what is this what is he doing this is your son
[17531.12s -> 17549.10s]  we shouldn't have brought these kids i'll go this way boom oh god all right i'm gonna leave
[17553.02s -> 17563.63s]  i can't go i love that voice holy smokes that was pretty good you're gonna want to flex your
[17563.63s -> 17575.20s]  violence wow use use my flame uncle nice one son i'm not your son i'm i'm in it son
[17575.76s -> 17588.50s]  oh that's all right i'm yeah come on how you doing over there son oh good dad oh think watch out for
[17588.50s -> 17598.10s]  the bear how come nobody is teaching our children i'm the only one speaking to them hides behind
[17598.10s -> 17611.04s]  double watch where that oh my my back
[17618.38s -> 17645.25s]  i just clicked a random button oh dodged it big swing oops nice we did it we have cleansed the
[17645.25s -> 17664.06s]  world a tiny little hand axe that you can throw hmm we could salvage it yeah is it more may not
[17664.06s -> 17675.82s]  be done fighting anon emerges rather suddenly from a damn shadow standing before a root framed
[17675.82s -> 17686.08s]  tunnel so you made it i was i was wondering i was wondering if you remember your dad we would
[17688.93s -> 17697.42s]  the old deepest leads them into the dark i guess he's the deepest i'm sitting here wondering what
[17697.42s -> 17703.50s]  is that the earth walls are slimy and black streams of water sloshing the side of hastily
[17703.58s -> 17710.22s]  heaped gravel path clods plop from the ceiling support beams have clearly been rushed into place
[17712.80s -> 17722.30s]  they're taking me off what tunnel they've been falling in my fucking neck deeper in
[17722.94s -> 17734.51s]  but he is the deeper the warren rots the flowing water follows cavern channels away from the main
[17734.51s -> 17748.77s]  tunnel to some dark end he's dead yeah yeah he's a he's a he's a bro oh no we can't don't do you
[17748.77s -> 17755.49s]  want uh breakfast oops it's like he doesn't speak english and he's like trying to find the
[17758.53s -> 17769.14s]  it's mid-afternoon ah but we're not chained to the sun cycle we have breakfast whenever
[17771.74s -> 17781.38s]  oh dude that's like the that's the expression that you see when you see the mcdonald's breakfast is
[17781.38s -> 17787.94s]  all day right like there are some that do that right what a weird smell beckons them through
[17788.58s -> 17805.47s]  to the other side here they are dear the badger and the root and more to follow did you offer them
[17805.47s -> 17817.41s]  sure i did no one wants lukewarm cheery old grub i keep saying well i was supposed to act in on
[17817.41s -> 17831.79s]  deep line oh i thought it was left to right oh i had interest this is some drunk i know
[17836.26s -> 17843.73s]  i come from sweden it said i was born in the basin of dried caldera the spirits of
[17843.73s -> 17856.69s]  sorted rock does get said a lot but not actually true right technically it's false you two
[17857.57s -> 17868.02s]  are married to each other and well mostly married in times of strife it's nice
[17868.02s -> 17871.94s]  oh i wonder about yeah which one of you are married uh and you've been here married
[17873.33s -> 17879.65s]  let's stay of course wait oh let's stay on course bro the reason we're in anon can they help us
[17881.92s -> 17887.12s]  the bridge speaks of recent language you came here because you must defeat the gorgons is that
[17887.12s -> 17897.10s]  right we were told you like knew how i know what the gorgons did their leader i learned of him
[17897.10s -> 17906.70s]  oothricks these are the bad guys a hundred tucks into a bowl of beige mush looks like shroomy gruel
[17906.70s -> 17913.57s]  with some kind of green gold dressing ostrich like we know that name well enough
[17915.54s -> 17920.10s]  yes oothricks raised the great number of his brethren
[17921.98s -> 17929.66s]  and they went to the valley of god beast moatana that that picture looks so weird
[17929.66s -> 17934.86s]  yeah dude what even is that uh try a little bit of foreshortening next time
[17938.62s -> 17941.74s]  and if that's a great gold beast they made
[17946.70s -> 17950.14s]  well the gaze is on all attempting from beneath the mess of
[17954.18s -> 17962.93s]  this is a serious lure come on the scowl twists are already crooked features
[17962.93s -> 17965.89s]  arnon finishes his meal pulls out his beard and wipes it on his cow
[17965.89s -> 17977.38s]  oh
[17987.97s -> 17991.73s]  dude i love how every time you do a dumb voice they have so much dialogue
[17992.29s -> 18006.05s]  yeah that froze off the water and the seas and the peaks all of a turn to big blue gorgon soup
[18007.98s -> 18015.04s]  that sounds tasty lord it'll don't it oh the carrots and the beans i'll take it and the onions
[18015.60s -> 18023.76s]  so that's why ostrich needed his army to slay a god well that's the point of what the spare
[18023.76s -> 18032.90s]  we bled over he wasn't even fucking born yet he wasn't wait i'm realizing okay we have we got a
[18032.90s -> 18039.22s]  10 year gap so these kids have to be less than 10 years old right they have to be like actually
[18039.86s -> 18044.50s]  they're like nine with beards it's like five and seven-year-olds
[18044.66s -> 18045.30s]  oh
[18047.30s -> 18057.95s]  what matters is this motana cannot die she's petrified the reason i called upon you here is
[18057.95s -> 18062.83s]  i've been hoarding a certain restorative spirit still from the roots of the extinct boutaxa what
[18062.83s -> 18076.02s]  i call it peter root beer i love root beer pug my root beer should be able to restore the great
[18076.02s -> 18078.78s]  Mo'atana, if you can get it to her.
[18078.78s -> 18081.78s]  My brain-god is Felda.
[18081.78s -> 18087.97s]  Well, assuming that's true.
[18087.97s -> 18088.97s]  Why us?
[18088.97s -> 18092.60s]  Don't you have your own lackeys?
[18092.60s -> 18094.72s]  The deep thongs some of it is.
[18094.72s -> 18098.56s]  We're afraid our people are made frail.
[18098.56s -> 18104.13s]  What are is the worst doom?
[18104.13s -> 18109.89s]  The Gorgon leader is strong and fearless, so too are his hordes.
[18109.89s -> 18112.33s]  We are too old, slow.
[18112.37s -> 18115.81s]  I'm scared to die.
[18115.81s -> 18124.28s]  Likely story, the Gorgons aren't gonna let us do this thing, are they?
[18124.28s -> 18125.72s]  Don't we know where to go?
[18125.72s -> 18130.92s]  Well, are we sure if Ivan is gonna be so fix everything?
[18130.92s -> 18136.60s]  The badger grows quite asky, but I'll answer all of your questions.
[18136.60s -> 18138.36s]  Oh, God, please don't.
[18138.36s -> 18140.20s]  Over breakfast!
[18140.20s -> 18141.52s]  Over breakfast!
[18141.52s -> 18146.98s]  I'm hungry.
[18146.98s -> 18150.19s]  Felda is true to her word and makes breakfast.
[18150.19s -> 18151.59s]  The food is surprisingly good.
[18151.59s -> 18153.87s]  What?
[18153.87s -> 18157.66s]  I've only ever had mush onion soup.
[18157.66s -> 18163.78s]  Lastly, Felda hands over a healing ale, a single sealed earthenware bottle.
[18163.78s -> 18164.98s]  Soon they're on their way again.
[18164.98s -> 18172.53s]  They carry the hope of all the land and this creature in one fragile bottle.
[18172.53s -> 18174.40s]  Uh-oh.
[18174.40s -> 18176.92s]  OK.
[18176.92s -> 18178.68s]  Uh-oh.
[18178.68s -> 18182.78s]  Confront Ulstrichs is our last thing.
[18182.78s -> 18184.06s]  The real showdown.
[18184.06s -> 18186.39s]  He's over there.
[18186.39s -> 18187.63s]  This is what everything...
[18187.67s -> 18189.39s]  Yeah, and we're taking the kids, too.
[18189.39s -> 18190.67s]  Don't leave the kids.
[18190.67s -> 18191.51s]  The kids are coming.
[18191.51s -> 18192.99s]  This is a long trip.
[18192.99s -> 18195.03s]  We're easily gonna heal up on the way.
[18195.03s -> 18197.94s]  Dachan's trying to have, like, a moment again.
[18197.94s -> 18199.82s]  No, he's not that one.
[18199.82s -> 18201.66s]  This isn't his story, it's ours.
[18201.66s -> 18205.20s]  He gets to tell the next one if he lives.
[18205.20s -> 18207.36s]  I'm kind of worried that you guys are not gonna be healed in time.
[18207.36s -> 18209.12s]  Maybe we should back up.
[18209.12s -> 18210.68s]  Uh, I think we're OK.
[18210.68s -> 18211.76s]  I'm ready.
[18211.76s -> 18213.35s]  OK.
[18213.35s -> 18215.35s]  Is this his thing?
[18215.35s -> 18219.22s]  Oh, yeah, skip that.
[18219.22s -> 18222.38s]  No one allowed to have interesting plots in our story.
[18222.38s -> 18224.18s]  Yeah, especially not if they're being the Thomas.
[18224.18s -> 18227.26s]  At least it's not you, Thomas.
[18227.26s -> 18228.96s]  OK.
[18228.96s -> 18229.96s]  This is it.
[18229.96s -> 18233.85s]  This is the big one.
[18233.85s -> 18235.45s]  We didn't even get...
[18235.45s -> 18236.49s]  True.
[18236.49s -> 18239.17s]  We're gonna patrol this over here just to give you guys more time to heal
[18239.17s -> 18240.29s]  because you're, like, half health.
[18240.29s -> 18255.52s]  Yeah.
[18255.52s -> 18255.84s]  This is it.
[18255.84s -> 18259.48s]  All our lives we've been preparing for this eventuality.
[18259.48s -> 18260.64s]  We're Gorgon slayers.
[18260.64s -> 18265.00s]  History brought us here because our people's history must continue.
[18265.00s -> 18266.44s]  Be sure of your gear.
[18266.44s -> 18271.01s]  This is our last sleep.
[18271.01s -> 18273.70s]  I'm here for your love.
[18273.70s -> 18274.86s]  Look at him in the background.
[18274.86s -> 18275.66s]  Go back.
[18275.66s -> 18277.58s]  Go back.
[18277.58s -> 18279.38s]  He's lit.
[18279.38s -> 18281.78s]  And our kids are pretending to, like, not hear it.
[18281.78s -> 18282.98s]  Oh, yeah, yeah.
[18282.98s -> 18284.36s]  Oh, yeah, yeah.
[18284.36s -> 18288.58s]  Is my dad loving your dad now?
[18288.58s -> 18293.69s]  You're like eight. You don't get it.
[18293.69s -> 18296.50s]  They don't get gear like we do.
[18296.50s -> 18298.55s]  I don't. I'm...
[18298.55s -> 18299.71s]  Oh, my God. All this drama.
[18299.71s -> 18301.71s]  You still have one-star weapons.
[18301.71s -> 18302.91s]  You have one-star weapons.
[18303.71s -> 18306.63s]  You didn't grow a wolf arm, so you need to get something.
[18306.63s -> 18308.26s]  You need to eat them.
[18308.26s -> 18310.90s]  You should kill them. Betray them in the final battle.
[18310.90s -> 18313.26s]  You can, like, upgrade your rapier.
[18313.26s -> 18317.42s]  OK, hold on. I'm doing it.
[18317.42s -> 18319.50s]  You're giving it a terrible name and description.
[18319.50s -> 18322.86s]  So spend everything, apparently, because this is the very end, right?
[18322.86s -> 18324.82s]  Yeah, yeah, yeah, we should.
[18324.82s -> 18327.78s]  Well, is there something cool I can have?
[18327.78s -> 18329.30s]  OK, I got my sword.
[18329.30s -> 18334.37s]  Yeah, we could give you, like, a tier three, like, wand or stuff.
[18334.37s -> 18336.18s]  Let's see.
