[20.73s -> 32.18s]  Hello, and welcome to the easy bake oven stream. I don't can you hear me? Can you guys hear me?
[10696.20s -> 10711.50s]  I'm cleaning up. I'm cleaning up. This is this ain't gonna fucking happen. You know, it isn't play jump king
[10712.00s -> 10725.44s]  That's not gonna happen. Well, so here's what we're gonna do. I'm gonna clean up. We'll hang out for a little bit
[10726.20s -> 10733.40s]  I'll be back in the studio here for green screen DLC for free volume 2 tomorrow. I'm gonna be in the same exact spot
[10735.22s -> 10737.40s]  Except
[10738.00s -> 10744.84s]  Obviously won't be a beach behind me will be full screen and 60 FPS and we'll do a shitload of stuff in the green screen
[10744.84s -> 10747.78s]  I have I have
[10748.54s -> 10755.45s]  At least a few hundred things to do. I have like I have a shitload of costumes
[10756.17s -> 10763.43s]  We're doing a lot of movie and TV show shit tomorrow. It's I'm I went overboard like I said in the beginning of the stream
[10764.56s -> 10767.28s]  Hopefully you get some good footage and make some fun shit
[10768.24s -> 10772.60s]  green screen movie night
[10772.76s -> 10775.00s]  What time tomorrow?
[10775.64s -> 10783.86s]  Probably around the same time probably like 4 o'clock 3 30 Pacific. Is there any Joe there?
[10783.86s -> 10787.42s]  There are no Joe Joe's bizarre adventure moves. I can promise you that I
[10791.85s -> 10796.36s]  Think if it might limit on easy big oven, that was fun. That was fun
[10796.68s -> 10803.93s]  But this is just this is not it's just gross. This is just it's just gross
[10804.45s -> 10809.21s]  Your kids will have a lot of fun with it your kids might like it
[10809.25s -> 10815.51s]  But then you have to clean up just make sure you have fucking a spit bag over here to like spit your food into
[10816.87s -> 10819.24s]  You know what sucks about this I
[10819.88s -> 10821.88s]  Am going to think about
[10822.08s -> 10825.64s]  Why am I doing doing that a lot today? I am going to put your hand on
[10826.04s -> 10828.79s]  I'm gonna think about eating that ball of cheese
[10829.63s -> 10833.32s]  That's never gonna leave my brain. I'm gonna think about it like once or twice a week
[10833.72s -> 10835.32s]  I'm gonna be in the shower
[10835.32s -> 10840.79s]  Just thinking about how it felt going down my throat and I think I'm forever changed
[10840.79s -> 10846.18s]  I think I've forever changed because of that. I'm thinking about it right now. Ah
[10852.20s -> 10859.92s]  Mom, I'm sorry. If you're watching
[10859.92s -> 10866.44s]  I'm sorry that I don't have the capable skills to be Baker couldn't get through for easy bake oven
[10867.08s -> 10875.06s]  Tutorials, this is cooking tutorial and I failed it. I failed it mom failed the cooking tutorial
[10875.58s -> 10878.60s]  Pepe hands
[10878.60s -> 10881.02s]  All right, let me come over there I get it
[10881.02s -> 10883.78s]  I'm gonna this is gonna take like a while for me to clean and I can get this place
[10883.78s -> 10885.78s]  I don't like a shit show
[10888.44s -> 10913.14s]  I'm coming over there now. All right, this is longer than I thought it was gonna be I thought it's been three hours
[10913.14s -> 10918.67s]  I thought it was like two. No, it's been okay. It's been three hours. Damn. All right
[10921.22s -> 10934.20s]  Three hours to do one. No turn that off show you cleaning three hours in two minutes
[10934.50s -> 10940.10s]  The oven is still on
[10940.14s -> 10943.89s]  Okay, that would have been very bad do a cleaning stream
[10946.36s -> 10957.96s]  Nice if I kept that plugged in what I actually what I'm gonna do is once we get out of here
[10957.96s -> 10965.20s]  I'm gonna get all my costumes ready. I'm gonna get every object ready. I got a shitload of objects. I got a lot of
[10965.92s -> 10969.22s]  toys and
[10969.22s -> 10979.90s]  Outfits and do a preview. No, no, no, no, no. No, are you serious finish saw?
[10981.76s -> 10986.40s]  I'm not I'm I'm in a studio right now. I'm not it like I'm not at my lap
[10986.40s -> 10994.59s]  I'm not at my computer. We're gonna finish saw on Sunday till the day after tomorrow. We're gonna finish saw
[10994.59s -> 11007.72s]  Yeah, I'm at the goddamn beach. Don't you see that went out of my room? All right, I'm out of here
[11007.72s -> 11010.24s]  I'll see you guys later. I'll see you guys tomorrow
[11010.76s -> 11016.64s]  Tomorrow's stream will be a lot longer than this because we have at least five plus hours of stuff to do
[11016.72s -> 11024.15s]  So I'll see you guys tomorrow. I can't even I lit that ball. I can't even fucking look at it
[11024.15s -> 11032.07s]  I don't know what to do with that ball this one here
[11032.91s -> 11042.84s]  God damn it. It's horrible. All right, I don't like have an ending here cuz I'm I can't like I can't like hold on
[11042.84s -> 11048.96s]  Let me see. Did we get any big bits to make sure I didn't miss anything. We did
[11048.96s -> 11054.22s]  We had a couple of huge bits. Hold on a second. Let me see. I have no outro or anything
[11054.22s -> 11071.02s]  I got nothing here. Jesus Christ. Yeah, there was like a holy shit. Let me move over this way
[11071.26s -> 11082.23s]  Let me at least say thanks to people that gave like fucking hundreds of dollars. Tay Rocker gave 50 bucks
[11082.23s -> 11085.48s]  Thank you. Tay Rocker. Last year. I was struggling to keep it together
[11085.48s -> 11089.69s]  I was homeless. Holy shit, but still working late hours at a stressful job
[11089.69s -> 11095.00s]  But my hard work paid off and now I share a home with the woman. I love that's fucking awesome
[11095.00s -> 11100.69s]  That's a really good turnaround. Your streams kept me sane on very cold nights
[11100.69s -> 11106.42s]  So I thought it was only fair to add to that towering pile of cash stuffed in your garage. Stay healthy
[11106.42s -> 11115.02s]  Don't let chat bully you you beautiful compact man. Hey, thanks and thanks for the $50 and that's I'm glad to hear about the turn
[11115.18s -> 11119.39s]  That's really good to hear we had
[11119.99s -> 11125.54s]  55 fucking dollars from the chef's corner. Hey looking forward to the rest of the stream
[11125.54s -> 11127.46s]  Thank you for being the most creative E clown
[11127.46s -> 11134.16s]  Thanks for the five years of laughs appreciate you dude, and they said and love you chat. There you go
[11134.20s -> 11141.93s]  Thanks for the insane amount of money phylactery give a hundred and fifty dollars, which is insane
[11142.05s -> 11154.04s]  Here's a hundred dollars you fucking legend. Enjoy your cancer. No, don't I don't say that I this
[11155.00s -> 11161.56s]  Enriched wheat enriched bleached wheat flour bleached wheat flour
[11162.24s -> 11168.41s]  iron sugar powdered shortening coconut oil maltodextrin sodium casein eight mono and
[11169.41s -> 11170.77s]  diglycerides
[11170.77s -> 11172.77s]  diposate to potassium sulfosate
[11172.89s -> 11174.69s]  silicon dioxide
[11174.69s -> 11181.25s]  hydrogenated palm oil cocoa pressed with alkali egg whites nonfat dry milk leavening sodium bicarbonate and sodium aluminum
[11181.81s -> 11189.13s]  Phosphates soy lesion salt silicon dioxide cellulose gum xanthin gum natural artificial flavor FD and see red 40
[11189.13s -> 11207.43s]  And that's just in the cake mix. Thanks for the fucking hundred and fifty dollars ride
[11208.11s -> 11210.28s]  ride
[11210.28s -> 11216.78s]  Dicow ride Eichel think I'm saying your name, right? Thanks for 50 bucks. This is so much money tonight
[11216.94s -> 11221.17s]  Jerma, I know you're a little busy eating your meal right now
[11221.17s -> 11226.70s]  But I found this to be the best time to mention my friends Jerma dream. Oh nice. He's my favorite in my Jerma dream
[11226.74s -> 11229.14s]  He was doing a vlog esque live stream
[11229.26s -> 11236.48s]  He was touring his new house and his girlfriend kept making really funny jokes and Jerma started getting jealous and got pissed and turned
[11236.48s -> 11241.56s]  Around and said if you don't shut the hell up, I'm gonna put you in my cringe compilation dead. Seriously. It's haunted me
[11241.60s -> 11262.96s]  Why why why am I such a sick fucking everybody's dreams and they call me false gave a hundred dollars to call me?
[11262.96s -> 11267.50s]  Thanks for the hundred bucks. This is the most beautifully cursed stream. I've seen it forever. Thanks for the laughs Jerma Ramsey
[11267.54s -> 11276.49s]  I thought it was fun. Just wish I had more balls. Thanks for the 10,000 bits
[11276.49s -> 11282.26s]  I also file actor a gift at 50 community subs Freddy dread came in with 20 community subs
[11282.26s -> 11286.34s]  Thanks a lot Freddy nondescript civilian 10 subs an anonymous gift of 20 subs
[11286.70s -> 11294.13s]  emo duck 10 Fez 5 for Liddy 5 for Libby 10
[11294.13s -> 11299.73s]  Actually Fez actually 10 for Liddy 20 and Ajax the mediocre
[11299.73s -> 11306.32s]  Thanks for the fucking huge amount of subs and then out right now any sub any
[11307.00s -> 11317.87s]  Neb subs here smug five community subs. I don't know they here maybe
[11319.99s -> 11323.63s]  Dude, okay. It's starting to I smell that cheese. I got to get fucking rid of this now
[11323.75s -> 11331.23s]  Like that cheese is is a heavy cloud. That's just filling the air. I got to get rid of this now
[11331.23s -> 11336.83s]  I can't believe I fucking ate that. I'm I'm disgusted at myself. I'm disgusted and I'm gonna I'm gonna watch the clip
[11336.83s -> 11342.20s]  I'm gonna check out some of the clips from the stream people gonna send it to me and I'm gonna be fucking disgusted by the way
[11343.20s -> 11351.95s]  There are over there some mats that I can probably fucking jump on and like flip on and shit
[11352.03s -> 11354.43s]  Those are like stunt mats over there
[11354.43s -> 11360.04s]  I'm gonna ask the studio if I can use those because if I can like front flip like
[11360.16s -> 11364.52s]  Over them and like jump on them and shit diving like shots and diving catches and shit
[11364.72s -> 11374.71s]  I'm gonna see if I can use those don't strain. Well, they're like big stunt pads. I'll be alright. Don't worry
[11374.75s -> 11382.32s]  I've been preparing for this very moment, but I gotta get out of here. I have to I gotta clean this up
[11382.32s -> 11384.68s]  This is gonna just start stinking and I don't want to have their
[11385.93s -> 11390.00s]  Studio, I don't want to fuck up their studio. So I gotta get out of here right at the very end fell six
[11390.00s -> 11396.60s]  Thanks with five subs and thanks for watching. By the way, I gotta get into frame. Thanks for watching the stream everybody
[11396.68s -> 11410.58s]  We'll see you tomorrow for the green screen DLC for free volume two. See you tomorrow. I'm gonna get out of here
[11410.58s -> 11429.55s]  But can you see under? Hold on ready? That doesn't that's not right. That's does that's weird
[11429.55s -> 11437.12s]  I don't know what the fuck I'm seeing but whatever. All right. Good night. See you guys tomorrow same time same place
