[22.33s -> 23.53s]  Hey, what's up?
[11533.41s -> 11547.22s]  Is this still like best in slot for this person? I feel like i'm missing out. I want the damage
[11547.86s -> 11577.48s]  You missed a party member. Uh-huh. Uh-huh. Find it maybe bio wave. It's hurts a lot
[11579.03s -> 11581.59s]  Wow poison damage really kills this thing bad
[11582.31s -> 11620.50s]  They're multiplying. Ow
[11621.14s -> 11622.88s]  Ow
[11622.88s -> 11639.56s]  Wow, that hurts get rid of these things before they they probably overwhelm you
[11640.20s -> 11664.76s]  This is doing 125 damage. That's gotta be doing like two plus 100 damage every time
[11671.14s -> 11678.82s]  125
[11678.82s -> 11681.25s]  Stop stop spawning
[11682.74s -> 11690.36s]  Is poisoning the same one over and over again do anything? I was hoping it was gonna stack
[11691.56s -> 11694.98s]  That might not be the case though
[11694.98s -> 11716.20s]  Okay, well we need to do this now do it again. They normally don't in rpgs. That's true
[11717.16s -> 11721.44s]  We gotta I gotta start focusing on the little ones
[11723.19s -> 11725.99s]  Yeah, these little ones have to die. This is what i'm gonna get overwhelmed here in a minute
[11735.09s -> 11743.99s]  It keeps spawning
[11743.99s -> 11787.89s]  Die i'm in deep trouble. I'm going for it. Yes. I got kind of hairy. This is like a boss
[11788.69s -> 11791.41s]  This thing was pretty difficult being just a regular enemy
[11792.45s -> 11819.68s]  mini boss
[11819.76s -> 11826.69s]  Thousand bucks tons of vegetables kind of an unbelievable amount of vegetables
[11827.89s -> 11836.53s]  Okay
[11836.53s -> 11847.28s]  And are these enemies?
[11847.60s -> 11866.00s]  Delicately texturize our biscuit far beyond memory. I've died a lot here
[11866.08s -> 11871.73s]  I call this place the hall of deadly statues. I'm strengthening my leg muscles so I can run past them
[11872.21s -> 11887.28s]  This thing's attacked. Ah, yeah, they do
[11888.24s -> 11890.45s]  Of course they do
[11890.45s -> 11891.81s]  Found meat
[11891.81s -> 11898.86s]  Now how do I get out of here? Oh, i'm dead. Goodbye. I got lots of meat though
[11899.10s -> 11922.91s]  So what is this other I missed a something right? Let me see. There's an island
[11922.91s -> 11934.24s]  I didn't explore. Well, I kind of want to see it. I already remember on the island
[11934.40s -> 11989.23s]  Where are they from here? Red wrong warp water cups. It's fine. Just go down. I haven't found any more cups
[11989.39s -> 12019.87s]  I can't hear the city. What if I should buy something else here? I should probably get the vegetables. I'm honest
[12020.91s -> 12054.72s]  Yeah, let's do that. This game feels like what sleep deprivation feels like let's see that. Okay, so
[12061.78s -> 12075.97s]  Um, uh
[12076.13s -> 12097.42s]  Okay. Oh, I didn't go here. That's right. Wait, what's that? The lever is off limits
[12097.50s -> 12120.48s]  I don't recommend pushing the button either. Please don't touch the lever. Please don't don't touch the lever off limits. I can't
[12131.86s -> 12146.48s]  Can I do anything else? Please stop pushing the button. Don't push it. I'll give you these muscle apt leaks
[12146.96s -> 12161.73s]  Just stop pushing it. Oh, i'm gonna keep going that sound like fatal spirit rays. I'm getting mad
[12163.44s -> 12178.80s]  Considered delusion spirit slowly stretched. You're a button-pressing maniac. Take this nice now go
[12178.88s -> 12218.11s]  There's nothing more for you. May you prepare in lards. I got a cup that it i'm giving all the power to wane interact with the bugs
[12222.78s -> 12226.06s]  What what?
[12226.06s -> 12227.18s]  Whoa
[12227.18s -> 12246.88s]  Converted the bug into might for who is a tv inserts. Whoa
[12250.38s -> 12274.77s]  Okay, token one token two. I need one more token and then this will turn on got it. Okay
[12274.77s -> 12277.63s]  Okay
[12277.63s -> 12305.60s]  This is the only place I have not gone is the middle here little town up here. Okay, what's this for?
[12314.22s -> 12325.68s]  I don't think I can do anything here triple worm poop worm single worm
[12326.48s -> 12334.90s]  Ultra poop worm coiled worm single worm worm. Whatever somebody will remember
[12339.10s -> 12369.15s]  No, i'm trying to break that paper cup at 25
[12369.87s -> 12380.24s]  Mana bobo links at noon day sing more softly than the softest flute
[12380.80s -> 12384.34s]  And lightlier than the lightest lute your fairy
[12385.12s -> 12388.78s]  tambor's ring
[12388.78s -> 12393.92s]  He falsifies its mechanized homunculus and skeleton forgetted its convexity
[12398.72s -> 12402.48s]  Hey squirrel food. I've got squirrel food 2000 for some squirrel food
[12403.30s -> 12409.25s]  Yes, i've seen a couple squirrels for sure. I think I will just stand here forever
[12409.73s -> 12414.29s]  All right, I got squirrel food squirrels whatever. You know what I was trying to say
[12422.02s -> 12424.02s]  Okay, so it was
[12425.49s -> 12428.38s]  This one
[12428.38s -> 12435.04s]  This one this one and this one nice
[12447.70s -> 12451.94s]  I am called on gorma greatest of the dread knights of vithorn
[12452.50s -> 12456.35s]  For long ages. I have waited in this vault fight me
[12457.62s -> 12459.86s]  Uh, not yet. So it goes
[12460.26s -> 12467.68s]  I want to watch your tv first
[12467.68s -> 12479.74s]  Dark flame. Whoa. All right, let's go
[12480.30s -> 12483.90s]  I think i've got enough
[12483.90s -> 12493.28s]  Gorma prepare yourself play out the ad. It's always clear the ads first, right pretty much always
[12496.46s -> 12505.38s]  Damage is all enemies slightly stronger than a normal attack. Let's try it. Yeah, let's go for it. Just do it three times. Okay
[12505.86s -> 12512.11s]  It's pretty powerful
[12512.51s -> 12520.30s]  Nice right now. We just focus
[12520.62s -> 12556.53s]  That's pretty good 86 damage of the chant. Here we go. We're pretty beefed up right now
[12556.85s -> 12564.50s]  I am defeated very well. I will follow you and aid you in your violent endeavors
[12564.98s -> 12572.50s]  By the way, I have dominion over the ambulance skulls. You wouldn't you don't need to fear them anymore. Oh shit
[12572.98s -> 12577.89s]  That's actually really helpful
[12577.89s -> 12578.93s]  Joyous
[12578.93s -> 12587.20s]  That thing's pretty heavy
[12587.20s -> 12592.42s]  Full party. Yeah sleep on the couch too. Oh, come on really
[12593.06s -> 12610.75s]  Yeah, watch the tv so he can get the skill. Yeah, so just realizing right now. That's how this works. Very cool
[12610.83s -> 12612.51s]  All right, so we got a full party
[12612.51s -> 12620.91s]  It was one other place on this island I could go to over here in the middle. Is that something to go to?
[12622.56s -> 12623.76s]  all right
[12623.76s -> 12628.10s]  Let's continue the progress
[12631.10s -> 12633.90s]  Quick name all the people in the party right now prove. I know who they are
[12634.80s -> 12642.10s]  Wayne de das us us whatever the name was som snosa
[12643.33s -> 12648.98s]  and
[12648.98s -> 12650.26s]  this
[12650.26s -> 12653.30s]  Vithyrile or something whatever it was. Let's see
[12654.69s -> 12656.69s]  Oh, no pangorma
[12657.47s -> 12659.47s]  He said he was like a vithyriel knight
[12659.87s -> 12687.28s]  That guy was close enough. Okay. I was I was just went let's go
[12701.62s -> 12708.51s]  Just join the party and you already forgot him. It's all right. Let's go
[12711.65s -> 12727.50s]  Let's play three hours 33 minutes and 33 seconds
[12728.80s -> 12762.34s]  Kind of cool. Uh, let me heal. I have many more juice boxes. Honest to goodness. Okay. I'm from the statue
[12763.33s -> 12778.26s]  It's the red portal. I went down last time this time. I'm not gonna go down. I'm gonna go up left
[12778.34s -> 12789.87s]  Maybe wait, what about up? Oh shit. I found it. Did I get it? I got oh, I got it. I got it
[12789.87s -> 12804.85s]  I got it. I was lucky at the last at last the lard is bungled inside offending
[12804.93s -> 12813.42s]  Convexatives wane is miraculously considering a mountain below insects where it's out of mere mandibles
[12813.82s -> 12819.60s]  And memories his pneumatic being will not be actualized and now the time for
[12820.16s -> 12822.48s]  austere corrosion arts draw to an end
[12823.04s -> 12831.86s]  Maybe shining work strongly below the lordly lunar fortress this season yearns for theory below the vent. It's the mirror
[12853.68s -> 12875.62s]  Touch everything press every button summon an airship. Uh
[12877.09s -> 12886.50s]  Yes, oh
[12886.50s -> 12901.82s]  Now we can go to these other places. All right, where should I go this house up here? What's over here?
[12902.14s -> 12916.75s]  Wait, what what's going on? Do we have instruments? This is a concert. Oh when it shunned his face. I
[12917.29s -> 12938.93s]  Exalted that taste. Hey now his joyful creature. Hey now to play music juice pack. Oh tv dissect
[12939.33s -> 12954.22s]  Damages all enemies and removes positive statuses. It's pretty good. Yo
[12954.22s -> 12955.42s]  Oh
[12955.42s -> 12961.57s]  Apparel passion passion apparel and speaking of apparel grotto beast dotnet
[12963.14s -> 12970.42s]  You can find yourself some hoodies t-shirts all with the grotto beast logo or some cool prints on it
[12974.42s -> 12987.49s]  This this is my digestion jam. Oh, we actually can we play music one of our fishes is here
[12988.67s -> 12996.21s]  Shall I recite the music tutorial? Yes keys one through four play notes and key five to change style
[13001.82s -> 13073.34s]  All right, you play it's kind of like if somebody picks a guitar up
[13073.58s -> 13078.56s]  So you're a guitarist and you play the guitar pretty well
[13078.88s -> 13081.57s]  But somebody decides that they're gonna pick it up
[13082.27s -> 13084.11s]  And be like, oh, you know, I I know a little bit
[13084.11s -> 13088.35s]  I know a little bit just because they can't stand to be shown up in the same room as you
[13088.59s -> 13091.14s]  So they pick the guitar up and they play like three chords
[13091.14s -> 13093.63s]  They know how to play just just to make it seem like that
[13093.63s -> 13098.24s]  They know how to play the guitar because like you can't have this like you can't have this. I'm sorry
[13098.56s -> 13100.29s]  I have this too
[13100.29s -> 13102.29s]  See I go look at I can play that
[13105.98s -> 13107.98s]  This is a seinfeld routine
[13108.88s -> 13111.12s]  Well, whatever in that episode of seinfeld. It was funny
[13111.68s -> 13119.90s]  I'm gonna try
[13119.90s -> 13159.22s]  All right. Here we go. What should I do? Super mario make the other people in the band play
[13159.30s -> 13194.51s]  I think I already am this is the worst constant i've ever been to try harder. I am i'm trying
[13204.32s -> 13213.54s]  All right. I'm getting out of here is this
[13214.34s -> 13218.62s]  I want to check out this thing too. Ooh. Yeah, whatever. This is can I do something here?
[13219.26s -> 13236.70s]  This is like kind of it's land here. What's this place? Ooh
[13238.22s -> 13253.87s]  Use back tv illusion form temporarily change appearance purely cosmetic
[13260.83s -> 13263.15s]  Oh sick, remember that new party. Remember we got
[13264.11s -> 13267.84s]  tv
[13267.84s -> 13270.56s]  Hey, I got horse food three thousand bucks. Yeah
[13276.88s -> 13296.53s]  All right, where are the horses and where are the squirrels squirrels are back at the house?
[13297.09s -> 13325.23s]  Squirrel give squirrel food acquired head squirrel horse food acquired horse loyal head squirrel prevents a negative status effect
[13325.23s -> 13332.98s]  That's amazing increases chance of preemptive attack raises mightiness. Oh, okay. That's a lot. Yeah
[13344.06s -> 13348.75s]  Is that just an item?
[13348.75s -> 13358.19s]  No, it's an outfit. Wait, why can I not put it on? Oh, it's because of that. This is okay
[13360.80s -> 13361.92s]  What's better?
[13361.92s -> 13363.92s]  uh wane with the
[13365.12s -> 13370.05s]  axe
[13370.05s -> 13376.58s]  Should I trade the I think i'm gonna trade this thing's very deadly, right?
[13378.00s -> 13380.69s]  curious
[13382.70s -> 13384.70s]  Yeah, look at this shit
[13384.86s -> 13410.30s]  101 mightiness prevent negative status. Okay, wayne's gonna be the absolute destroyer actual bicep. It's fine
[13411.63s -> 13423.86s]  Even I want the demon skull artificial bicep is fine. I think this is all good. Wait, maybe now
[13424.18s -> 13439.12s]  I think i'm good with this or is it time to take the combat bell off of make them a little better
[13441.95s -> 13447.95s]  What the hell is that emote? Wayne's garb is useless now
[13450.10s -> 13483.07s]  It is so let's put that on let's sleep and then get the vegetables and leave cool. Very nice. Very nice
[13483.63s -> 13499.14s]  I have 32 heels. I think i'll be fine. Is this thing in the middle?
[13506.90s -> 13518.35s]  One more place up there. It's like a big castle through this irl. I did I did
[13523.39s -> 13530.14s]  This irl what is going on here?
[13531.57s -> 13549.95s]  It must be the new foreman check in with claw man before you head to the lab
[13550.27s -> 13559.87s]  You're not allowed to enter the lab without claw man's permission
[13559.87s -> 13583.04s]  It would look to be claw man if I were to guess nice to finally meet you if you'll just give me the password
[13583.04s -> 13591.31s]  I can get you set up in the lab vessel from did you forget it or something?
[13591.31s -> 13602.00s]  I'll give you another chance. What's the password pneumatic art? They keep saying pneumatic. Maybe it's pneumatic
[13602.00s -> 13613.12s]  They keep saying that i'm gonna say pneumatic art. Not that either. Stop joking around. This is your final chance
[13613.36s -> 13616.37s]  I mean, they're all these are all random
[13618.36s -> 13629.22s]  Insect who are you prepare to be destroyed? Okay and begin
[13631.79s -> 13641.63s]  might increase
[13641.63s -> 13647.01s]  confusion bubbles
[13651.14s -> 13655.26s]  Dark flame no ancient odor. No dark flame
[13659.09s -> 13673.10s]  Um confused. Nope. All right. That's it. The poison's doing great. All right now detonate
[13673.66s -> 13685.74s]  This is gonna be a huge number
[13685.74s -> 13686.62s]  Oh
[13686.62s -> 13693.09s]  Shit, that's bad
[13693.63s -> 13710.01s]  377 I think should I revive?
[13710.11s -> 13717.89s]  Jesus. Oh my god. This is fucking destructive. I need to do a group heal
[13723.65s -> 13731.20s]  Shit. Oh my god. It's bad
[13732.08s -> 13734.08s]  This thing is destructive
[13734.62s -> 13737.41s]  destructive
[13737.41s -> 13739.81s]  Uh, I I don't think I was prepared for this
[13740.61s -> 13752.00s]  What is the speed on this guy?
[13761.20s -> 13762.48s]  Yes
[13762.48s -> 13763.52s]  Yes
[13763.52s -> 13765.52s]  Obviously, I went for it. I just went for it
[13768.54s -> 13777.36s]  10 000 bucks. I I went for it. Hell. Yeah
[13785.15s -> 13787.79s]  Uh, I don't want to revive yet because I might be able to bring them back
[13788.59s -> 13794.35s]  Beside his microcosm
[13794.43s -> 13797.12s]  Avenge beside it
[13797.12s -> 13798.80s]  All right. I I got permission
[13798.80s -> 13819.02s]  It's the lab these enemies. You must be the new guy the machines have been prepared. So feel free to give them a whirl
[13819.66s -> 13834.56s]  I'll never get tired of watching the machine do its thing. I selected these specimens for their exceptionally high monetization potential
[13835.04s -> 13861.60s]  Let's smear spirit rapidly press all the buttons. I made money
[13866.43s -> 13867.71s]  250
[13867.71s -> 13873.63s]  Thousand dollars. What do I do with that money? What am I supposed to do with that?
[13878.06s -> 13906.05s]  Uh a half a million. I have seven hundred and fifty thousand dollars now now what does it go?
[13906.69s -> 13926.94s]  Buy every single thing in the store. That's all I can do here. I think that's it. Yeah, that's it
[13928.30s -> 13930.96s]  Seven hundred and seventy four thousand dollars. Holy shit
[13932.16s -> 13975.87s]  Okay. Well, whoo. I'm buying everything if it's in the store. I own it. Okay, the last token
[13976.19s -> 13990.93s]  Where's the last token? Maybe the place I haven't been yet. Actually, now I want to go to the other stores
[14009.09s -> 14014.58s]  Frito token is in that statue maze
[14015.62s -> 14016.66s]  Ah
[14016.66s -> 14044.86s]  I'll go back there. I guess I don't really need anything berry shield. I wish it gets just four of these
[14046.22s -> 14066.62s]  Roam bowler. I just get like two of them. I have so much money berry shield cooking greatly increases maximum health points
[14066.62s -> 14068.62s]  I wonder if I should give that to you
[14081.82s -> 14095.42s]  336
[14095.42s -> 14097.42s]  364 that's a lot actually
[14102.02s -> 14105.54s]  I'd rather them stay alive. Yeah, i'm gonna let them have it
[14105.78s -> 14113.38s]  Okay
[14113.38s -> 14122.58s]  I'm gonna go to the statue place because I want to see I want to see what happens. Don't use all the money
[14123.34s -> 14151.28s]  Um, I got seven hundred thousand dollars. All right back outside looking good. Let's go. It was over here
[14152.24s -> 14164.35s]  So i'm gonna say down and to the left. I did not go this way
[14166.13s -> 14186.40s]  Oh, there's nothing over there to the right should I go? Yeah, that's right trash can maybe oh shit bad
[14186.72s -> 14211.73s]  Okay paper cup. Where is it? Where is it? I'll probably I
[14214.03s -> 14217.79s]  Restart I might need to restart it
[14220.00s -> 14248.30s]  I think I have to restart it. I'm dead. Whatever. Which one of these is it red one, right?
[14248.54s -> 14283.20s]  Oh like the like the very red one. Yeah, very red one. So where is it? Oh my god
[14283.28s -> 14319.52s]  You're screwing me here. Get out of the fucking way get that one stuck. How did you make it?
[14319.76s -> 14323.12s]  How did you do that? You were stuck all the way to the right, dude
[14323.52s -> 14352.82s]  How did you do? How did you do that? Shit? I'm just trying to bait him out of here. Oh, come on
[14353.22s -> 14360.67s]  No, I need to soak my right hand in warm water
[14375.70s -> 14391.17s]  Don't because my hand is sore. All right, all three of you come down this way
[14395.38s -> 14410.03s]  You better not we got it hot dog and a juice pack. I am the sage of death. I grant you my token
[14411.42s -> 14434.05s]  Take my siblings. All right, I got it. What the hell muscle times two
[14451.49s -> 14460.18s]  Thanks
[14463.60s -> 14469.04s]  You just kill me because I want to summon the um plane
[14473.36s -> 14479.23s]  The best place to summon the plane
[14479.23s -> 14501.36s]  Wait green these don't hurt me anymore. Can I do anything else on the right side? I can do here, right?
[14510.42s -> 14511.94s]  25 points
[14511.94s -> 14546.94s]  I don't think I can do anything else here, but they don't hurt me. So this was on that
[14547.26s -> 14559.94s]  Should I do this now? Why can I summon the airship should I do this later or do this now?
[14562.85s -> 14564.29s]  It's not going to end the game or anything, right?
[14564.29s -> 14576.13s]  Because there's this one spot up here that I have not been to go use the tokens now
[14585.36s -> 14601.10s]  I have to use the boat. Let's see you play the sequel 100. Yes
[14601.74s -> 14613.95s]  This has been a really enjoyable experience. I think it's great. I will 100 play the sequel. Okay
[14614.59s -> 14628.82s]  All the tokens are there as the tv say learned legend of melting the ultimate magic
[14637.98s -> 14641.74s]  Ultimate magic randomly strikes three times may briefly stun
[14642.92s -> 14647.20s]  200 mp the only one that can cast this is you
[14652.43s -> 14667.22s]  Damn sponsored stream. Why the hell would this be a sponsored stream? This game came out like fucking six years ago
[14671.38s -> 14676.40s]  What when did this game come out like 2000 fucking 16?
[14677.72s -> 14680.77s]  2013 how long is this game been out for?
[14681.71s -> 14691.28s]  It was eight years ago. That would be crazy
[14691.84s -> 14719.70s]  I'm ready
[14719.70s -> 14729.30s]  Whatever. This is we're seeing it. You got the sponsorship eight years ago and they were just really lenient on the time frame
[14730.50s -> 14738.06s]  Oh my god, that would be fucking awful. Yeah, I mean back when I was in the middle making youtube videos
[14738.46s -> 14744.75s]  Yeah, I just didn't have a time frame on it. It just said at some point in the future and I was like, yeah sure
[14749.90s -> 14758.88s]  Always read your contracts. That's what I will tell you. There was no time frame. That would be so fucked up
[14760.00s -> 14764.93s]  But no, this game's just really cool and we're doing just hanging out. We're just chilling
[14765.25s -> 14771.22s]  That's it. Can I introduce you in a hot dogs or perhaps a spaceship key? Yes
[14773.68s -> 14795.70s]  Uh, i'll take that. I gotta look at my money. I'm fucking loaded. I could buy two if I wanted. Oh shit
[14795.94s -> 14801.87s]  Um, I want to try this. I want to try the super attack. I'm gonna try the legend of melting. Let's see what it does
[14802.35s -> 14819.41s]  Okay
[14819.41s -> 14829.07s]  legend of melting
[14829.07s -> 14840.96s]  All right
[14840.96s -> 14851.50s]  Cool. This is the spaceship then spaceship is the end game. Uh
[14852.30s -> 14856.62s]  I think I think I did pretty much anything everything I could have done
[14856.62s -> 14861.28s]  Maybe there's probably some secrets I didn't see but I think I saw mostly everything
[14862.53s -> 14869.25s]  Yeah, I think I did everything. I've been to every island. I went to everything in the underground. Yeah, I did it all
[14869.33s -> 14896.34s]  Okay, let's turn the spaceship on. I'm just gonna buy an absolute shitload of hot dogs
[14896.58s -> 14910.10s]  Do I need six hundred thousand dollars? I'm just gonna buy a thousand of these and buy fifty of them
[14910.26s -> 14921.38s]  We'll buy juice in the city. Where do you buy juice? I didn't find a place to buy it
[14927.62s -> 14935.55s]  Was there a place in the city to buy juice? I didn't see it. Juice is only from kills
[14935.71s -> 14946.66s]  I think i'll be all right. I'm gonna buy like 10 of these or like 20. I got six hundred thousand dollars
[14946.74s -> 14998.69s]  Yeah, let's go. Let's do it. I'm ready. I haven't saved right before this so oh anything else wait
[14998.69s -> 15015.07s]  What about this little thing? Can I go this way? Have you ever tried cruelty squad? I have not seen cruelty squad
[15015.39s -> 15021.98s]  I'm not well, i've seen it, but i've not played it. I feel like that the game I know is awesome
[15022.30s -> 15027.30s]  I've been I've been told it's fucking awesome, but it looks a little harsh
[15027.62s -> 15033.36s]  Looks like my brain would probably get hurt like I would be like, uh, it would probably give me a headache
[15034.38s -> 15044.35s]  Let me ask you a question if I can handle this could I handle cruelty squad? I heard it's awesome
[15044.75s -> 15051.52s]  But yeah, you think so it gave me a headache gave me a headache
[15052.08s -> 15056.98s]  maybe you know what i'll do maybe i'll jump into it for like 20 minutes or so off stream to see how I feel because I
[15057.81s -> 15062.77s]  Believe it or not. I do have like audio visual stimulation that sometimes it can actually give me a headache
[15064.16s -> 15066.80s]  Sometimes dude, I tell you when I in the half-life 2 bolt level
[15066.88s -> 15069.76s]  I almost puked and I had to lie down on my floor for like 10 minutes in between
[15071.07s -> 15078.72s]  Bits of that game. I remember lying on my back on the floor should not throw up playing half-life 2
[15078.88s -> 15095.09s]  What's going on here? Do I have to fight all these? Entering the palace is forbidden leave now or be destroyed
[15095.41s -> 15098.42s]  You accidentally crushed it. Oh
[15100.67s -> 15110.40s]  Simmery axe inflicts
[15111.28s -> 15113.28s]  Electrobiological damage
[15115.65s -> 15124.22s]  I mean that's kind of all right. I can give this back to you. See this should go to sams nasa
[15126.67s -> 15128.67s]  Isn't it? Wait, why can't you use that?
[15131.25s -> 15163.07s]  It smells I can't use it interesting. Whoa. Okay. We're just wiping everybody out another tv
[15166.43s -> 15169.07s]  Exhaled he thrums despite refugent concavity
[15170.10s -> 15170.90s]  Oh
[15170.90s -> 15188.19s]  Can we sit on the couch juice pack good?
[15200.91s -> 15208.50s]  Boy, is there any other items in this room that i'm not seeing?
[15209.38s -> 15236.99s]  I can't tell why these guys were giving us trouble before why are we so powerful kind of unstoppable as the last crystal
[15238.59s -> 15242.88s]  Boy turn back. It's terribly powerful
[15246.66s -> 15249.28s]  Rehydrate out of blatantly mild
[15265.66s -> 15278.06s]  It's an orange. Is that what it is? It's like a moon an orange a what is this you dare approach me?
[15278.70s -> 15282.30s]  My theories will rescue your apparels until you beg me to consider
[15283.81s -> 15298.46s]  Now exhumed thine zesty nerve. It is the last time you will celebrate this box
[15304.78s -> 15307.34s]  Pack. Whoa, you've got other shit in this room
[15321.52s -> 15329.81s]  Great speed guys 60 damage ancient odor. All right, we're gonna we I knew I we have somebody has to
[15330.29s -> 15335.39s]  Heal only a dust ball and do that move
[15335.87s -> 15341.25s]  Okay, here we go. Check this out
[15341.25s -> 15342.99s]  Where is it?
[15342.99s -> 15344.11s]  detonate
[15344.11s -> 15346.45s]  boom
[15346.45s -> 15348.00s]  special
[15348.00s -> 15350.56s]  Health chant. Yep. Just good to get it out of the way
[15352.00s -> 15366.26s]  Attack attack maybe kill thing on the right first. Is that anything healing? Jesus
[15372.19s -> 15385.49s]  Heal 196. Mm
[15394.96s -> 15408.10s]  I didn't mean to do that, but it's okay. I think i'm fine melting melting is 292
[15408.42s -> 15428.10s]  I didn't mean to do that, but it's fine ancient odor. No poison though. There it is. All right, that's dead
[15432.96s -> 15465.97s]  Is it dead? All right legend of melting. Let's go and then attack attack pretty good dancing gremlins
[15466.05s -> 15493.97s]  Uh-oh, I got plenty of hot dogs. I didn't do the um, the melting move hot dog hot dog
[15494.13s -> 15508.00s]  Hurry eat. I need hot dogs now eat a hot dog hot dog
[15508.40s -> 15521.76s]  Oh, you're stunned you idiot eat a hot dog. I'm gonna die. I'm dead. I didn't know he's stunned. I'm god
[15523.58s -> 15524.54s]  I didn't know he was stunned
[15524.54s -> 15527.42s]  I tried to have him do three moves in a row and I was like, why is he not doing anything?
[15527.58s -> 15535.66s]  All right, we lose. Thank god, dude. It's my speed zero. I can't even attack
[15536.14s -> 15545.70s]  Okay, this dude does four moves before I can do one piece of shit
[15550.19s -> 15555.23s]  Wow, where did I get all this meat from? Holy shit. That's insane
[15556.80s -> 15558.80s]  When did I get all that meat?
[15558.86s -> 15569.14s]  104 meat. Where did I get all that from the people in the tower? Okay
[15570.18s -> 15571.14s]  All right
[15571.14s -> 15583.01s]  Now we're ready. Let's go that would have been cool to get a first try now. I'm good to go
[15583.09s -> 15590.35s]  I got almost half of the yeah. Wow go hard on the left statue
[15600.69s -> 15635.39s]  Legend of melting go first right of that attack punch hurt kill strike do it do it. Oh stinks
[15655.07s -> 15698.03s]  Mystic meat protect everybody dark flame dark flame is better. That should kill it. No, not yet. Okay, that's kind of insane
[15698.27s -> 15706.40s]  Let's do that 157 damage. That's a lot
[15711.18s -> 15714.06s]  All right. I need to eat that hot dog. Why have you not eaten the hot dog yet?
[15718.24s -> 15724.00s]  Eat the hot dog. I told you to eat a hot dog. Why have you not eaten the hot dog yet?
[15725.39s -> 15744.06s]  Eat the hot dog. It's gonna take you so long to eat a fucking hot dog. We're just gonna go straight up attack
[15758.02s -> 15773.33s]  Eat the hot dog. All right, much better shape now
[15773.65s -> 15789.92s]  Okay, did else man is just going to feed people hot dogs
[15789.92s -> 15821.39s]  That's the only thing he's doing hot dog strategies paying off poison good the detonate should be like two or three hundred, right?
[15833.29s -> 15842.06s]  Or a hundred damage. Can I do it again? I cannot but i'll do this
[15842.46s -> 15861.49s]  What am I doing? All you do is feed people hot dogs. That's the only thing I want you to do status protection
[15861.57s -> 15891.18s]  Oh shit, that's right. All right hot dog coming up 250 for the poison. Holy shit. Okay 250 that poison is so good
[15893.79s -> 15915.01s]  Hot dog, I think we're getting close fastest hot dog shooter. I don't know. I've never seen anybody do it like this
[15916.21s -> 15930.53s]  Go ahead and do calibration die
[15939.68s -> 15945.52s]  This seems like overkill, but I have like 50 of them. So i'm gonna do it detonate
[15946.94s -> 15949.26s]  Uh bubbles because that's gonna be poison
[15950.59s -> 15952.59s]  You eat a hot dog this time and you attack
[15963.73s -> 15965.57s]  999
[15965.57s -> 15971.30s]  Thousand bucks found a hot dog. Wayne is now level 63
[15972.02s -> 15976.03s]  Everybody's level 63
[15976.03s -> 15979.09s]  Oh, I am defeated
[15979.09s -> 15982.29s]  Wayne i'm sorry about everything
[15982.29s -> 15983.41s]  Oh
[15983.41s -> 15988.95s]  By the way, uh, I set this moon to explode when I die say your prayers and purify your vacuums
[15990.19s -> 15990.91s]  like
[15990.91s -> 15992.91s]  Being memory. Oh
[15992.99s -> 16014.16s]  Sit on the throne anything anything. I'll just leave one check. Okay, go. Oh no
[16017.89s -> 16042.66s]  Rock amidst a remarkable juice pick this person up and carry them out, but wane hideous luxuriously adrift
[16043.30s -> 16053.65s]  Witness the chemical amidst the delusion vacuum governments irradiance renders greatly the doth her homunculus pilot side rays
[16054.93s -> 16061.58s]  So ends the tale of the modified beasts who sought to witness yet sort of expansively texturized
[16062.20s -> 16084.75s]  Radiance the lever that I wasn't supposed to touch interesting the end
[16086.19s -> 16087.47s]  Wait, what?
[16087.47s -> 16090.85s]  That's what it was
[16090.85s -> 16103.63s]  Don't touch that lever. It makes the uh, am I missing something?
[16104.59s -> 16128.26s]  The boat I broke it did I win?
[16132.53s -> 16153.63s]  So what do we do now? What about that person that was walking around act one act two act three now spam the lever
[16153.63s -> 16181.90s]  It's no I didn't do it. That is the end with apologies. Why wait with apologies?
[16182.38s -> 16195.42s]  What was that? Remember event position more self switches knight runners variable display. Oh, it's I think it's random
[16195.66s -> 16204.11s]  That was really cool. That was a very enjoyable game
[16206.27s -> 16212.91s]  Oh, what's this? Well, that's it. There isn't anything more. Shall we return to the main menu?
[16213.31s -> 16216.90s]  Okay, let's just chill out here for a while
[16223.70s -> 16226.66s]  Check your stats 1.6 million bucks
[16236.64s -> 16242.02s]  That's a lot
[16242.10s -> 16245.71s]  Damn eel
[16245.71s -> 16250.11s]  crew
[16250.11s -> 16252.11s]  fourth five thousand damn
[16253.76s -> 16255.76s]  Nine nine nine nine nine nine
[16259.23s -> 16262.26s]  Damn cool. So what happens if I say yes?
[16262.90s -> 16274.45s]  Is there any like super boss that I have to kill because now I have a ton of hp or something
[16275.17s -> 16276.85s]  Or is that just kind of it?
[16276.85s -> 16294.38s]  Spell the end with the letters. Um, I did that's the game. Well, that was cool. All right, well done
[16294.70s -> 16297.78s]  Let's see what happens. Is it gonna be? Yeah, there it is
[16299.01s -> 16305.66s]  That was hylix 1 we are going to absolutely play hylix 2. I like that. That was cool. I liked it a lot
[16315.33s -> 16317.33s]  so is hylix 2
